id,date,prcp,tmax,tmin
THW00041018,2010-01-01,0,327,NA
THW00041018,2010-01-02,NA,325,206
THW00041018,2010-01-03,0,326,NA
THW00041018,2010-01-04,3,322,203
THW00041018,2010-01-05,NA,326,212
THW00041018,2010-01-06,33,352,214
THW00041018,2010-01-07,8,244,NA
THW00041018,2010-01-08,15,253,206
THW00041018,2010-01-09,0,306,NA
THW00041018,2010-01-10,NA,326,179
THW00041018,2010-01-11,NA,333,190
THW00041018,2010-01-12,NA,307,NA
THW00041018,2010-01-13,NA,286,NA
THW00041018,2010-01-14,NA,285,147
THW00041018,2010-01-15,NA,300,150
THW00041018,2010-01-16,NA,302,174
THW00041018,2010-01-17,NA,288,NA
THW00041018,2010-01-18,NA,285,135
THW00041018,2010-01-19,NA,305,140
THW00041018,2010-01-20,5,302,197
THW00041018,2010-01-21,155,247,NA
THW00041018,2010-01-22,241,244,210
THW00041018,2010-01-23,10,278,NA
THW00041018,2010-01-24,0,285,207
THW00041018,2010-01-25,NA,316,NA
THW00041018,2010-01-26,NA,303,184
THW00041018,2010-01-27,NA,305,186
THW00041018,2010-01-28,NA,330,185
THW00041018,2010-01-29,NA,342,194
THW00041018,2010-01-30,NA,347,204
THW00041018,2010-01-31,NA,351,NA
THW00041018,2010-02-01,NA,350,205
THW00041018,2010-02-02,NA,351,NA
THW00041018,2010-02-03,NA,351,206
THW00041018,2010-02-04,NA,340,220
THW00041018,2010-02-05,330,349,NA
THW00041018,2010-02-06,33,342,212
THW00041018,2010-02-07,18,336,218
THW00041018,2010-02-08,0,338,NA
THW00041018,2010-02-09,NA,344,211
THW00041018,2010-02-10,NA,351,NA
THW00041018,2010-02-11,NA,360,205
THW00041018,2010-02-12,NA,362,212
THW00041018,2010-02-13,NA,332,216
THW00041018,2010-02-14,NA,348,227
THW00041018,2010-02-15,NA,359,225
THW00041018,2010-02-16,NA,330,NA
THW00041018,2010-02-17,NA,305,NA
THW00041018,2010-02-18,NA,287,NA
THW00041018,2010-02-19,NA,247,170
THW00041018,2010-02-20,NA,283,160
THW00041018,2010-02-21,NA,327,185
THW00041018,2010-02-22,NA,343,191
THW00041018,2010-02-23,NA,344,203
THW00041018,2010-02-24,NA,357,NA
THW00041018,2010-02-25,NA,362,207
THW00041018,2010-02-26,NA,364,196
THW00041018,2010-02-27,NA,365,192
THW00041018,2010-02-28,NA,374,198
THW00041018,2010-03-01,NA,374,NA
THW00041018,2010-03-02,NA,378,NA
THW00041018,2010-03-03,NA,388,208
THW00041018,2010-03-04,NA,386,210
THW00041018,2010-03-05,NA,388,200
THW00041018,2010-03-06,NA,384,206
THW00041018,2010-03-07,NA,377,212
THW00041018,2010-03-08,NA,387,224
THW00041018,2010-03-09,NA,333,NA
THW00041018,2010-03-10,NA,246,NA
THW00041018,2010-03-11,NA,287,174
THW00041018,2010-03-12,NA,347,176
THW00041018,2010-03-13,NA,390,210
THW00041018,2010-03-14,NA,388,223
THW00041018,2010-03-15,NA,386,NA
THW00041018,2010-03-16,NA,371,230
THW00041018,2010-03-17,NA,340,NA
THW00041018,2010-03-18,NA,348,NA
THW00041018,2010-03-19,NA,351,202
THW00041018,2010-03-20,NA,362,218
THW00041018,2010-03-21,NA,354,237
THW00041018,2010-03-22,41,368,NA
THW00041018,2010-03-23,0,374,236
THW00041018,2010-03-24,0,388,NA
THW00041018,2010-03-25,NA,372,NA
THW00041018,2010-03-26,NA,303,196
THW00041018,2010-03-27,NA,323,195
THW00041018,2010-03-28,NA,319,211
THW00041018,2010-03-29,30,325,NA
THW00041018,2010-03-30,NA,374,203
THW00041018,2010-03-31,NA,373,240
THW00041018,2010-04-01,NA,384,239
THW00041018,2010-04-02,NA,398,245
THW00041018,2010-04-03,NA,394,263
THW00041018,2010-04-04,NA,397,272
THW00041018,2010-04-05,NA,407,NA
THW00041018,2010-04-06,NA,410,NA
THW00041018,2010-04-07,NA,406,272
THW00041018,2010-04-08,NA,393,NA
THW00041018,2010-04-09,127,390,NA
THW00041018,2010-04-10,69,382,245
THW00041018,2010-04-11,0,406,NA
THW00041018,2010-04-12,NA,410,235
THW00041018,2010-04-13,NA,410,NA
THW00041018,2010-04-14,NA,413,251
THW00041018,2010-04-15,NA,404,NA
THW00041018,2010-04-16,5,333,249
THW00041018,2010-04-17,18,340,236
THW00041018,2010-04-18,0,375,241
THW00041018,2010-04-19,170,385,NA
THW00041018,2010-04-20,41,370,234
THW00041018,2010-04-21,0,400,260
THW00041018,2010-04-22,NA,406,272
THW00041018,2010-04-23,71,371,NA
THW00041018,2010-04-24,58,334,237
THW00041018,2010-04-25,10,370,242
THW00041018,2010-04-26,292,375,NA
THW00041018,2010-04-27,8,343,225
THW00041018,2010-04-28,41,335,222
THW00041018,2010-04-29,0,359,250
THW00041018,2010-04-30,414,365,NA
THW00041018,2010-05-01,NA,316,NA
THW00041018,2010-05-02,NA,359,243
THW00041018,2010-05-03,0,357,NA
THW00041018,2010-05-04,0,377,252
THW00041018,2010-05-05,NA,381,268
THW00041018,2010-05-06,NA,393,278
THW00041018,2010-05-07,NA,403,NA
THW00041018,2010-05-08,NA,400,265
THW00041018,2010-05-09,NA,406,268
THW00041018,2010-05-10,18,386,NA
THW00041018,2010-05-11,NA,348,246
THW00041018,2010-05-12,NA,380,263
THW00041018,2010-05-13,0,384,266
THW00041018,2010-05-14,0,390,270
THW00041018,2010-05-15,NA,400,NA
THW00041018,2010-05-16,NA,365,NA
THW00041018,2010-05-17,0,376,264
THW00041018,2010-05-18,5,375,NA
THW00041018,2010-05-19,0,382,262
THW00041018,2010-05-20,0,377,272
THW00041018,2010-05-21,89,380,NA
THW00041018,2010-05-22,10,368,257
THW00041018,2010-05-23,3,354,265
THW00041018,2010-05-24,8,367,NA
THW00041018,2010-05-25,137,356,NA
THW00041018,2010-05-26,10,347,250
