id,date,prcp,tmax,tmin
TI000038836,2010-01-01,NA,NA,NA
TI000038836,2010-01-02,NA,NA,NA
TI000038836,2010-01-03,NA,170,NA
TI000038836,2010-01-04,NA,193,21
TI000038836,2010-01-05,NA,190,35
TI000038836,2010-01-06,NA,145,41
TI000038836,2010-01-07,NA,73,NA
TI000038836,2010-01-08,NA,51,NA
TI000038836,2010-01-09,NA,76,NA
TI000038836,2010-01-10,NA,83,NA
TI000038836,2010-01-11,NA,90,-54
TI000038836,2010-01-12,NA,145,-52
TI000038836,2010-01-13,NA,126,-34
TI000038836,2010-01-14,NA,153,12
TI000038836,2010-01-15,NA,140,22
TI000038836,2010-01-16,NA,180,34
TI000038836,2010-01-17,NA,NA,NA
TI000038836,2010-01-18,NA,NA,NA
TI000038836,2010-01-19,NA,83,NA
TI000038836,2010-01-20,NA,165,62
TI000038836,2010-01-21,NA,191,49
TI000038836,2010-01-22,NA,152,NA
TI000038836,2010-01-23,NA,130,41
TI000038836,2010-01-24,NA,140,NA
TI000038836,2010-01-25,NA,171,15
TI000038836,2010-01-26,NA,160,46
TI000038836,2010-01-27,NA,84,NA
TI000038836,2010-01-28,NA,NA,NA
TI000038836,2010-01-29,NA,56,-15
TI000038836,2010-01-30,NA,131,-8
TI000038836,2010-01-31,NA,115,NA
TI000038836,2010-02-01,NA,NA,11
TI000038836,2010-02-02,NA,145,3
TI000038836,2010-02-03,NA,120,NA
TI000038836,2010-02-04,NA,158,NA
TI000038836,2010-02-05,NA,NA,NA
TI000038836,2010-02-06,NA,90,58
TI000038836,2010-02-07,NA,79,NA
TI000038836,2010-02-08,NA,2,NA
TI000038836,2010-02-09,NA,-10,NA
TI000038836,2010-02-10,NA,55,NA
TI000038836,2010-02-11,NA,61,-24
TI000038836,2010-02-12,NA,15,NA
TI000038836,2010-02-13,NA,27,NA
TI000038836,2010-02-14,NA,-25,NA
TI000038836,2010-02-15,NA,-24,NA
TI000038836,2010-02-16,NA,62,NA
TI000038836,2010-02-17,NA,110,-52
TI000038836,2010-02-18,NA,85,NA
TI000038836,2010-02-19,NA,104,NA
TI000038836,2010-02-20,NA,94,NA
TI000038836,2010-02-21,NA,192,75
TI000038836,2010-02-22,NA,130,9
TI000038836,2010-02-23,NA,198,NA
TI000038836,2010-02-24,NA,NA,NA
TI000038836,2010-02-25,NA,176,NA
TI000038836,2010-02-26,NA,105,NA
TI000038836,2010-02-27,NA,138,NA
TI000038836,2010-02-28,NA,124,60
TI000038836,2010-03-01,NA,90,8
TI000038836,2010-03-02,NA,182,17
TI000038836,2010-03-03,NA,184,NA
TI000038836,2010-03-04,NA,144,NA
TI000038836,2010-03-05,NA,188,NA
TI000038836,2010-03-06,NA,173,NA
TI000038836,2010-03-07,NA,180,54
TI000038836,2010-03-08,NA,226,NA
TI000038836,2010-03-09,NA,170,NA
TI000038836,2010-03-10,NA,236,65
TI000038836,2010-03-11,NA,236,NA
TI000038836,2010-03-12,NA,130,NA
TI000038836,2010-03-13,NA,171,55
TI000038836,2010-03-14,NA,221,85
TI000038836,2010-03-15,NA,256,NA
TI000038836,2010-03-16,NA,273,NA
TI000038836,2010-03-17,NA,287,111
TI000038836,2010-03-18,NA,256,NA
TI000038836,2010-03-19,NA,311,NA
TI000038836,2010-03-20,NA,NA,NA
TI000038836,2010-03-21,NA,92,NA
TI000038836,2010-03-22,NA,NA,NA
TI000038836,2010-03-23,NA,155,10
TI000038836,2010-03-24,NA,170,65
TI000038836,2010-03-25,NA,211,51
TI000038836,2010-03-26,NA,163,NA
TI000038836,2010-03-27,NA,125,NA
TI000038836,2010-03-28,NA,202,7
TI000038836,2010-03-29,NA,NA,71
TI000038836,2010-03-30,NA,145,NA
TI000038836,2010-03-31,NA,215,65
TI000038836,2010-04-01,NA,238,56
TI000038836,2010-04-02,NA,230,76
TI000038836,2010-04-03,NA,178,NA
TI000038836,2010-04-04,NA,219,80
TI000038836,2010-04-05,NA,234,59
TI000038836,2010-04-06,NA,257,83
TI000038836,2010-04-07,NA,207,103
TI000038836,2010-04-08,NA,275,120
TI000038836,2010-04-09,NA,277,107
TI000038836,2010-04-10,NA,297,135
TI000038836,2010-04-11,NA,228,NA
TI000038836,2010-04-12,NA,198,NA
TI000038836,2010-04-13,NA,267,80
TI000038836,2010-04-14,NA,296,105
TI000038836,2010-04-15,NA,228,NA
TI000038836,2010-04-16,NA,264,119
TI000038836,2010-04-17,NA,267,NA
TI000038836,2010-04-18,NA,196,NA
TI000038836,2010-04-19,NA,266,95
TI000038836,2010-04-20,NA,246,89
TI000038836,2010-04-21,NA,156,NA
TI000038836,2010-04-22,NA,226,105
TI000038836,2010-04-23,NA,NA,NA
TI000038836,2010-04-24,NA,281,130
TI000038836,2010-04-25,NA,280,106
