id,date,prcp,tmax,tmin
TOM00065357,2010-03-01,NA,NA,NA
TOM00065357,2010-03-02,NA,NA,NA
TOM00065357,2010-03-03,NA,NA,NA
TOM00065357,2010-03-04,NA,NA,NA
TOM00065357,2010-03-05,NA,NA,NA
TOM00065357,2010-03-06,NA,NA,NA
TOM00065357,2010-03-07,NA,NA,NA
TOM00065357,2010-03-08,NA,NA,NA
TOM00065357,2010-03-09,NA,NA,NA
TOM00065357,2010-03-10,NA,NA,NA
TOM00065357,2010-03-11,NA,NA,NA
TOM00065357,2010-03-12,NA,NA,NA
TOM00065357,2010-03-13,NA,NA,NA
TOM00065357,2010-03-14,NA,NA,NA
TOM00065357,2010-03-15,NA,NA,NA
TOM00065357,2010-03-16,NA,NA,NA
TOM00065357,2010-03-17,NA,NA,NA
TOM00065357,2010-03-18,NA,NA,NA
TOM00065357,2010-03-19,NA,NA,NA
TOM00065357,2010-03-20,NA,NA,NA
TOM00065357,2010-03-21,NA,NA,NA
TOM00065357,2010-03-22,NA,NA,NA
TOM00065357,2010-03-23,NA,NA,NA
TOM00065357,2010-03-24,NA,NA,NA
TOM00065357,2010-03-25,NA,385,225
TOM00065357,2010-03-26,NA,NA,NA
TOM00065357,2010-03-27,NA,NA,NA
TOM00065357,2010-03-28,NA,NA,NA
TOM00065357,2010-03-29,NA,NA,NA
TOM00065357,2010-03-30,NA,NA,NA
TOM00065357,2010-03-31,NA,NA,NA
TOM00065357,2010-05-01,NA,NA,NA
TOM00065357,2010-05-02,NA,NA,NA
TOM00065357,2010-05-03,NA,NA,NA
TOM00065357,2010-05-04,NA,NA,NA
TOM00065357,2010-05-05,NA,NA,NA
TOM00065357,2010-05-06,NA,NA,NA
TOM00065357,2010-05-07,NA,NA,NA
TOM00065357,2010-05-08,NA,NA,NA
TOM00065357,2010-05-09,NA,NA,NA
TOM00065357,2010-05-10,NA,NA,NA
TOM00065357,2010-05-11,NA,NA,NA
TOM00065357,2010-05-12,NA,NA,NA
TOM00065357,2010-05-13,NA,NA,NA
TOM00065357,2010-05-14,NA,NA,NA
TOM00065357,2010-05-15,NA,NA,NA
TOM00065357,2010-05-16,71,368,250
TOM00065357,2010-05-17,NA,NA,NA
TOM00065357,2010-05-18,NA,NA,NA
TOM00065357,2010-05-19,NA,NA,NA
TOM00065357,2010-05-20,NA,NA,NA
TOM00065357,2010-05-21,NA,NA,NA
TOM00065357,2010-05-22,NA,NA,NA
TOM00065357,2010-05-23,NA,NA,NA
TOM00065357,2010-05-24,NA,NA,NA
TOM00065357,2010-05-25,NA,NA,NA
TOM00065357,2010-05-26,NA,NA,NA
TOM00065357,2010-05-27,NA,NA,NA
TOM00065357,2010-05-28,NA,NA,NA
TOM00065357,2010-05-29,NA,NA,NA
TOM00065357,2010-05-30,NA,NA,NA
TOM00065357,2010-05-31,NA,NA,NA
TOM00065357,2010-07-01,NA,NA,NA
TOM00065357,2010-07-02,NA,NA,NA
TOM00065357,2010-07-03,NA,NA,NA
TOM00065357,2010-07-04,NA,NA,NA
TOM00065357,2010-07-05,NA,NA,NA
TOM00065357,2010-07-06,NA,NA,NA
TOM00065357,2010-07-07,NA,NA,NA
TOM00065357,2010-07-08,NA,NA,NA
TOM00065357,2010-07-09,NA,NA,NA
TOM00065357,2010-07-10,NA,NA,NA
TOM00065357,2010-07-11,NA,NA,NA
TOM00065357,2010-07-12,NA,NA,NA
TOM00065357,2010-07-13,NA,NA,NA
TOM00065357,2010-07-14,NA,NA,NA
TOM00065357,2010-07-15,NA,NA,NA
TOM00065357,2010-07-16,NA,NA,NA
TOM00065357,2010-07-17,NA,NA,NA
TOM00065357,2010-07-18,NA,NA,NA
TOM00065357,2010-07-19,NA,NA,NA
TOM00065357,2010-07-20,NA,NA,NA
TOM00065357,2010-07-21,NA,NA,NA
TOM00065357,2010-07-22,NA,NA,NA
TOM00065357,2010-07-23,51,275,207
TOM00065357,2010-07-24,20,285,216
TOM00065357,2010-07-25,0,306,215
TOM00065357,2010-07-26,NA,330,220
TOM00065357,2010-07-27,160,285,215
TOM00065357,2010-07-28,NA,NA,NA
TOM00065357,2010-07-29,NA,NA,NA
TOM00065357,2010-07-30,NA,NA,NA
TOM00065357,2010-07-31,NA,NA,NA
TOM00065357,2010-08-01,NA,NA,NA
TOM00065357,2010-08-02,NA,NA,NA
TOM00065357,2010-08-03,NA,NA,NA
TOM00065357,2010-08-04,71,300,225
TOM00065357,2010-08-05,0,NA,224
TOM00065357,2010-08-06,NA,308,225
TOM00065357,2010-08-07,140,317,NA
TOM00065357,2010-08-08,300,288,215
TOM00065357,2010-08-09,351,272,215
TOM00065357,2010-08-10,0,285,215
TOM00065357,2010-08-11,NA,NA,NA
TOM00065357,2010-08-12,NA,NA,NA
TOM00065357,2010-08-13,191,282,226
TOM00065357,2010-08-14,NA,NA,NA
TOM00065357,2010-08-15,79,310,220
TOM00065357,2010-08-16,20,320,225
TOM00065357,2010-08-17,160,330,207
TOM00065357,2010-08-18,0,297,226
TOM00065357,2010-08-19,NA,307,224
TOM00065357,2010-08-20,NA,300,240
TOM00065357,2010-08-21,NA,NA,NA
TOM00065357,2010-08-22,NA,NA,NA
TOM00065357,2010-08-23,NA,NA,NA
TOM00065357,2010-08-24,89,330,205
TOM00065357,2010-08-25,0,320,225
TOM00065357,2010-08-26,NA,NA,NA
TOM00065357,2010-08-27,NA,317,213
TOM00065357,2010-08-28,3,300,NA
TOM00065357,2010-08-29,99,320,195
TOM00065357,2010-08-30,861,295,227
TOM00065357,2010-08-31,340,287,210
TOM00065357,2010-09-01,0,298,220
TOM00065357,2010-09-02,89,315,230
TOM00065357,2010-09-03,20,282,NA
TOM00065357,2010-09-04,140,301,220
TOM00065357,2010-09-05,140,285,205
TOM00065357,2010-09-06,61,293,217
TOM00065357,2010-09-07,5,305,225
TOM00065357,2010-09-08,191,302,210
TOM00065357,2010-09-09,5,300,220
TOM00065357,2010-09-10,NA,NA,NA
TOM00065357,2010-09-11,231,301,207
TOM00065357,2010-09-12,NA,NA,NA
TOM00065357,2010-09-13,NA,NA,NA
TOM00065357,2010-09-14,NA,NA,NA
TOM00065357,2010-09-15,310,295,200
TOM00065357,2010-09-16,61,326,218
TOM00065357,2010-09-17,0,305,232
TOM00065357,2010-09-18,41,306,NA
TOM00065357,2010-09-19,150,325,225
TOM00065357,2010-09-20,201,285,200
TOM00065357,2010-09-21,8,315,212
TOM00065357,2010-09-22,0,312,215
TOM00065357,2010-09-23,330,325,212
TOM00065357,2010-09-24,NA,NA,NA
TOM00065357,2010-09-25,NA,NA,NA
TOM00065357,2010-09-26,NA,NA,NA
TOM00065357,2010-09-27,NA,NA,NA
TOM00065357,2010-09-28,20,260,207
TOM00065357,2010-09-29,89,325,206
TOM00065357,2010-09-30,0,335,225
TOM00065357,2010-10-01,NA,NA,NA
TOM00065357,2010-10-02,30,340,225
TOM00065357,2010-10-03,NA,NA,NA
