id,date,prcp,tmax,tmin
TS000060725,2010-01-01,0,179,97
TS000060725,2010-01-02,0,178,96
TS000060725,2010-01-03,0,190,NA
TS000060725,2010-01-04,0,184,NA
TS000060725,2010-01-05,0,NA,28
TS000060725,2010-01-06,0,NA,73
TS000060725,2010-01-07,0,188,39
TS000060725,2010-01-08,0,183,NA
TS000060725,2010-01-09,8,113,NA
TS000060725,2010-01-10,0,125,10
TS000060725,2010-01-11,0,176,16
TS000060725,2010-01-12,33,141,NA
TS000060725,2010-01-13,13,156,65
TS000060725,2010-01-14,8,178,66
TS000060725,2010-01-15,15,127,84
TS000060725,2010-01-16,86,127,NA
TS000060725,2010-01-17,13,160,44
TS000060725,2010-01-18,3,143,110
TS000060725,2010-01-19,3,NA,NA
TS000060725,2010-01-20,0,NA,85
TS000060725,2010-01-21,64,140,NA
TS000060725,2010-01-22,46,153,NA
TS000060725,2010-01-23,0,147,9
TS000060725,2010-01-24,0,170,37
TS000060725,2010-01-25,0,176,NA
TS000060725,2010-01-26,0,141,32
TS000060725,2010-01-27,147,141,99
TS000060725,2010-01-28,8,123,NA
TS000060725,2010-01-29,3,143,47
TS000060725,2010-01-30,0,146,67
TS000060725,2010-01-31,43,168,55
TS000060725,2010-02-01,0,NA,NA
TS000060725,2010-02-02,23,118,NA
TS000060725,2010-02-03,5,154,-21
TS000060725,2010-02-04,0,181,-4
TS000060725,2010-02-05,0,197,75
TS000060725,2010-02-06,0,182,119
TS000060725,2010-02-07,51,151,NA
TS000060725,2010-02-08,71,155,65
TS000060725,2010-02-09,3,167,63
TS000060725,2010-02-10,38,131,NA
TS000060725,2010-02-11,5,NA,NA
TS000060725,2010-02-12,5,103,30
TS000060725,2010-02-13,0,81,8
TS000060725,2010-02-14,38,NA,39
TS000060725,2010-02-15,5,121,3
TS000060725,2010-02-16,5,164,58
TS000060725,2010-02-17,3,222,41
TS000060725,2010-02-18,3,NA,NA
TS000060725,2010-02-19,3,244,145
TS000060725,2010-02-20,0,NA,NA
TS000060725,2010-02-21,0,184,NA
TS000060725,2010-02-22,3,242,106
TS000060725,2010-02-23,0,221,61
TS000060725,2010-02-24,3,NA,NA
TS000060725,2010-02-25,0,257,98
TS000060725,2010-02-26,0,242,NA
TS000060725,2010-02-27,0,242,81
TS000060725,2010-02-28,0,280,74
TS000060725,2010-03-01,0,229,NA
TS000060725,2010-03-02,0,NA,59
TS000060725,2010-03-03,0,246,93
TS000060725,2010-03-04,0,201,79
TS000060725,2010-03-05,0,209,73
TS000060725,2010-03-06,0,137,NA
TS000060725,2010-03-07,0,NA,67
TS000060725,2010-03-08,251,180,99
TS000060725,2010-03-09,5,NA,NA
TS000060725,2010-03-10,155,NA,53
TS000060725,2010-03-11,0,152,40
TS000060725,2010-03-12,23,141,74
TS000060725,2010-03-13,124,127,NA
TS000060725,2010-03-14,18,NA,NA
TS000060725,2010-03-15,13,130,NA
TS000060725,2010-03-16,5,163,30
TS000060725,2010-03-17,0,182,21
TS000060725,2010-03-18,0,247,10
TS000060725,2010-03-19,0,241,22
TS000060725,2010-03-20,0,256,67
TS000060725,2010-03-21,0,262,NA
TS000060725,2010-03-22,0,258,117
TS000060725,2010-03-23,0,207,97
TS000060725,2010-03-24,0,236,78
TS000060725,2010-03-25,0,232,90
TS000060725,2010-03-26,0,NA,101
TS000060725,2010-03-27,0,214,83
TS000060725,2010-03-28,0,213,39
TS000060725,2010-03-29,0,281,46
TS000060725,2010-03-30,0,240,112
TS000060725,2010-03-31,0,NA,63
TS000060725,2010-04-01,0,234,NA
TS000060725,2010-04-02,15,209,87
TS000060725,2010-04-03,0,266,NA
TS000060725,2010-04-04,0,NA,114
TS000060725,2010-04-05,51,184,93
TS000060725,2010-04-06,0,185,51
TS000060725,2010-04-07,0,252,NA
TS000060725,2010-04-08,0,186,NA
TS000060725,2010-04-09,5,191,113
TS000060725,2010-04-10,28,193,117
TS000060725,2010-04-11,15,258,80
TS000060725,2010-04-12,3,236,122
TS000060725,2010-04-13,36,NA,NA
TS000060725,2010-04-14,0,254,116
TS000060725,2010-04-15,3,238,98
TS000060725,2010-04-16,41,214,150
TS000060725,2010-04-17,99,218,136
TS000060725,2010-04-18,254,204,134
TS000060725,2010-04-19,0,210,89
TS000060725,2010-04-20,0,244,75
TS000060725,2010-04-21,0,282,87
TS000060725,2010-04-22,0,246,149
