id,date,prcp,tmax,tmin
TSE00147773,2010-01-01,0,226,125
TSE00147773,2010-01-02,0,203,NA
TSE00147773,2010-01-03,0,205,96
TSE00147773,2010-01-04,0,213,67
TSE00147773,2010-01-05,0,NA,110
TSE00147773,2010-01-06,0,233,110
TSE00147773,2010-01-07,0,206,NA
TSE00147773,2010-01-08,NA,211,NA
TSE00147773,2010-01-09,0,143,NA
TSE00147773,2010-01-10,0,156,33
TSE00147773,2010-01-11,0,204,47
TSE00147773,2010-01-12,0,167,NA
TSE00147773,2010-01-13,NA,203,NA
TSE00147773,2010-01-14,0,NA,NA
TSE00147773,2010-01-15,10,157,NA
TSE00147773,2010-01-16,0,163,118
TSE00147773,2010-01-17,0,189,77
TSE00147773,2010-01-18,0,172,120
TSE00147773,2010-01-19,0,NA,73
TSE00147773,2010-01-20,0,160,93
TSE00147773,2010-01-21,10,NA,NA
TSE00147773,2010-01-22,0,175,NA
TSE00147773,2010-01-23,0,182,NA
TSE00147773,2010-01-24,0,171,73
TSE00147773,2010-01-25,0,195,83
TSE00147773,2010-01-26,0,171,NA
TSE00147773,2010-01-27,0,176,NA
TSE00147773,2010-01-28,0,189,100
TSE00147773,2010-01-29,5,187,69
TSE00147773,2010-01-30,0,192,108
TSE00147773,2010-01-31,0,205,79
TSE00147773,2010-02-01,0,194,79
TSE00147773,2010-02-02,0,137,60
TSE00147773,2010-02-03,0,186,38
TSE00147773,2010-02-04,0,221,NA
TSE00147773,2010-02-05,0,237,89
TSE00147773,2010-02-06,0,214,NA
TSE00147773,2010-02-07,0,185,119
TSE00147773,2010-02-08,NA,187,NA
TSE00147773,2010-02-09,0,203,NA
TSE00147773,2010-02-10,15,166,90
TSE00147773,2010-02-11,0,115,NA
TSE00147773,2010-02-12,13,148,64
TSE00147773,2010-02-13,0,119,22
TSE00147773,2010-02-14,107,NA,NA
TSE00147773,2010-02-15,0,156,50
TSE00147773,2010-02-16,15,210,113
TSE00147773,2010-02-17,0,250,96
TSE00147773,2010-02-18,0,278,103
TSE00147773,2010-02-19,0,NA,164
TSE00147773,2010-02-20,0,201,NA
TSE00147773,2010-02-21,0,211,80
TSE00147773,2010-02-22,0,268,138
TSE00147773,2010-02-23,0,257,128
TSE00147773,2010-02-24,0,245,123
TSE00147773,2010-02-25,0,NA,125
TSE00147773,2010-02-26,0,290,123
TSE00147773,2010-02-27,0,278,133
TSE00147773,2010-02-28,0,373,NA
TSE00147773,2010-03-01,0,NA,NA
TSE00147773,2010-03-02,0,236,129
TSE00147773,2010-03-03,0,257,128
TSE00147773,2010-03-04,0,256,121
TSE00147773,2010-03-05,NA,243,NA
TSE00147773,2010-03-06,0,161,NA
TSE00147773,2010-03-07,23,150,109
TSE00147773,2010-03-08,376,195,117
TSE00147773,2010-03-09,0,NA,NA
TSE00147773,2010-03-10,25,162,79
TSE00147773,2010-03-11,0,192,70
TSE00147773,2010-03-12,0,162,106
TSE00147773,2010-03-13,3,NA,NA
TSE00147773,2010-03-14,0,163,NA
TSE00147773,2010-03-15,0,175,NA
TSE00147773,2010-03-16,0,191,63
TSE00147773,2010-03-17,0,192,67
TSE00147773,2010-03-18,0,NA,77
TSE00147773,2010-03-19,0,266,85
TSE00147773,2010-03-20,0,254,102
TSE00147773,2010-03-21,0,301,117
TSE00147773,2010-03-22,0,298,NA
TSE00147773,2010-03-23,0,242,117
TSE00147773,2010-03-24,0,NA,140
TSE00147773,2010-03-25,0,297,140
TSE00147773,2010-03-26,0,271,157
TSE00147773,2010-03-27,0,NA,NA
TSE00147773,2010-03-28,0,250,120
TSE00147773,2010-03-29,0,299,110
TSE00147773,2010-03-30,0,279,NA
TSE00147773,2010-03-31,0,NA,148
TSE00147773,2010-04-01,0,244,NA
TSE00147773,2010-04-02,0,245,134
TSE00147773,2010-04-03,0,265,136
TSE00147773,2010-04-04,0,294,127
TSE00147773,2010-04-05,0,218,NA
TSE00147773,2010-04-06,0,202,NA
TSE00147773,2010-04-07,0,223,123
TSE00147773,2010-04-08,NA,220,NA
TSE00147773,2010-04-09,0,212,139
TSE00147773,2010-04-10,3,211,135
TSE00147773,2010-04-11,0,274,109
TSE00147773,2010-04-12,0,284,NA
TSE00147773,2010-04-13,23,253,137
TSE00147773,2010-04-14,0,257,148
TSE00147773,2010-04-15,0,NA,NA
TSE00147773,2010-04-16,0,NA,NA
TSE00147773,2010-04-17,3,235,150
TSE00147773,2010-04-18,46,236,148
TSE00147773,2010-04-19,5,NA,143
TSE00147773,2010-04-20,0,268,125
TSE00147773,2010-04-21,0,290,150
TSE00147773,2010-04-22,0,277,176
TSE00147773,2010-04-23,51,271,164
TSE00147773,2010-04-24,0,249,159
TSE00147773,2010-04-25,0,239,159
TSE00147773,2010-04-26,0,261,138
TSE00147773,2010-04-27,0,279,NA
TSE00147773,2010-04-28,0,272,NA
