id,date,prcp,tmax,tmin
TSM00060715,2010-01-01,0,191,NA
TSM00060715,2010-01-02,28,173,118
TSM00060715,2010-01-03,5,NA,NA
TSM00060715,2010-01-04,0,193,87
TSM00060715,2010-01-05,0,NA,78
TSM00060715,2010-01-06,0,211,119
TSM00060715,2010-01-07,0,202,79
TSM00060715,2010-01-08,0,210,NA
TSM00060715,2010-01-09,33,131,NA
TSM00060715,2010-01-10,0,124,50
TSM00060715,2010-01-11,0,172,NA
TSM00060715,2010-01-12,41,NA,NA
TSM00060715,2010-01-13,23,156,84
TSM00060715,2010-01-14,13,184,NA
TSM00060715,2010-01-15,33,NA,NA
TSM00060715,2010-01-16,64,160,NA
TSM00060715,2010-01-17,13,154,NA
TSM00060715,2010-01-18,20,153,NA
TSM00060715,2010-01-19,10,153,NA
TSM00060715,2010-01-20,0,152,97
TSM00060715,2010-01-21,76,166,NA
TSM00060715,2010-01-22,5,156,NA
TSM00060715,2010-01-23,5,NA,NA
TSM00060715,2010-01-24,0,NA,64
TSM00060715,2010-01-25,0,185,115
TSM00060715,2010-01-26,0,172,NA
TSM00060715,2010-01-27,15,180,110
TSM00060715,2010-01-28,0,156,NA
TSM00060715,2010-01-29,3,163,90
TSM00060715,2010-01-30,0,159,NA
TSM00060715,2010-01-31,28,174,80
TSM00060715,2010-02-01,25,NA,80
TSM00060715,2010-02-02,5,136,NA
TSM00060715,2010-02-03,0,170,39
TSM00060715,2010-02-04,0,186,28
TSM00060715,2010-02-05,0,204,99
TSM00060715,2010-02-06,5,182,NA
TSM00060715,2010-02-07,119,156,NA
TSM00060715,2010-02-08,89,156,88
TSM00060715,2010-02-09,3,199,NA
TSM00060715,2010-02-10,109,141,NA
TSM00060715,2010-02-11,84,NA,70
TSM00060715,2010-02-12,3,113,NA
TSM00060715,2010-02-13,10,120,NA
TSM00060715,2010-02-14,79,NA,66
TSM00060715,2010-02-15,5,133,NA
TSM00060715,2010-02-16,3,176,120
TSM00060715,2010-02-17,3,NA,NA
TSM00060715,2010-02-18,3,NA,70
TSM00060715,2010-02-19,0,252,NA
TSM00060715,2010-02-20,0,167,NA
TSM00060715,2010-02-21,0,204,NA
TSM00060715,2010-02-22,0,242,NA
