id,date,prcp,tmax,tmin
TUM00017064,2014-02-01,NA,NA,NA
TUM00017064,2014-02-02,NA,NA,NA
TUM00017064,2014-02-03,NA,NA,NA
TUM00017064,2014-02-04,NA,NA,NA
TUM00017064,2014-02-05,NA,NA,NA
TUM00017064,2014-02-06,NA,NA,NA
TUM00017064,2014-02-07,NA,NA,NA
TUM00017064,2014-02-08,NA,NA,NA
TUM00017064,2014-02-09,NA,NA,NA
TUM00017064,2014-02-10,NA,NA,NA
TUM00017064,2014-02-11,NA,NA,NA
TUM00017064,2014-02-12,NA,NA,NA
TUM00017064,2014-02-13,NA,NA,NA
TUM00017064,2014-02-14,NA,NA,NA
TUM00017064,2014-02-15,NA,NA,NA
TUM00017064,2014-02-16,NA,NA,NA
TUM00017064,2014-02-17,NA,NA,NA
TUM00017064,2014-02-18,NA,184,NA
TUM00017064,2014-02-19,0,118,62
TUM00017064,2014-02-20,0,183,69
TUM00017064,2014-02-21,0,183,84
TUM00017064,2014-02-22,0,115,76
TUM00017064,2014-02-23,0,131,NA
TUM00017064,2014-02-24,18,87,NA
TUM00017064,2014-02-25,124,NA,NA
TUM00017064,2014-02-26,10,63,NA
TUM00017064,2014-02-27,0,91,34
TUM00017064,2014-02-28,0,125,39
TUM00017064,2014-03-01,0,152,58
TUM00017064,2014-03-02,5,189,99
TUM00017064,2014-03-03,0,226,80
TUM00017064,2014-03-04,8,174,NA
TUM00017064,2014-03-05,8,211,80
TUM00017064,2014-03-06,25,194,78
TUM00017064,2014-03-07,0,161,NA
TUM00017064,2014-03-08,10,98,80
TUM00017064,2014-03-09,0,82,NA
TUM00017064,2014-03-10,36,87,NA
TUM00017064,2014-03-11,216,78,58
TUM00017064,2014-03-12,30,126,48
TUM00017064,2014-03-13,0,126,NA
TUM00017064,2014-03-14,0,135,19
TUM00017064,2014-03-15,0,160,38
TUM00017064,2014-03-16,5,NA,NA
TUM00017064,2014-03-17,0,171,67
TUM00017064,2014-03-18,0,192,78
TUM00017064,2014-03-19,NA,NA,78
TUM00017064,2014-03-20,71,162,NA
