id,date,prcp,tmax,tmin
TX000038687,2010-01-01,NA,173,57
TX000038687,2010-01-02,NA,NA,54
TX000038687,2010-01-03,NA,181,NA
TX000038687,2010-01-04,NA,175,NA
TX000038687,2010-01-05,NA,183,56
TX000038687,2010-01-06,NA,NA,NA
TX000038687,2010-01-07,NA,50,NA
TX000038687,2010-01-08,NA,52,NA
TX000038687,2010-01-09,NA,37,NA
TX000038687,2010-01-10,NA,31,-96
TX000038687,2010-01-11,NA,94,-73
TX000038687,2010-01-12,NA,NA,NA
TX000038687,2010-01-13,NA,93,27
TX000038687,2010-01-14,NA,NA,36
TX000038687,2010-01-15,NA,NA,NA
TX000038687,2010-01-16,NA,NA,6
TX000038687,2010-01-17,NA,NA,NA
TX000038687,2010-01-18,NA,NA,NA
TX000038687,2010-01-19,NA,70,-39
TX000038687,2010-01-20,NA,131,NA
TX000038687,2010-01-21,NA,130,-24
TX000038687,2010-01-22,NA,130,NA
TX000038687,2010-01-23,NA,71,NA
TX000038687,2010-01-24,NA,110,-9
TX000038687,2010-01-25,NA,NA,44
TX000038687,2010-01-26,NA,158,NA
TX000038687,2010-01-27,NA,NA,NA
TX000038687,2010-01-28,NA,40,NA
TX000038687,2010-01-29,NA,NA,-30
TX000038687,2010-01-30,NA,NA,NA
TX000038687,2010-01-31,NA,160,17
TX000038687,2010-02-01,NA,NA,18
TX000038687,2010-02-02,NA,175,16
TX000038687,2010-02-03,NA,161,23
TX000038687,2010-02-04,NA,164,25
TX000038687,2010-02-05,NA,169,NA
TX000038687,2010-02-06,NA,NA,-4
TX000038687,2010-02-07,NA,26,NA
TX000038687,2010-02-08,3,NA,NA
TX000038687,2010-02-09,NA,5,NA
TX000038687,2010-02-10,NA,57,-70
TX000038687,2010-02-11,NA,NA,-54
TX000038687,2010-02-12,NA,-6,NA
TX000038687,2010-02-13,NA,NA,-148
TX000038687,2010-02-14,NA,NA,-167
TX000038687,2010-02-15,NA,24,-110
TX000038687,2010-02-16,NA,70,-65
TX000038687,2010-02-17,NA,NA,8
TX000038687,2010-02-18,NA,163,NA
TX000038687,2010-02-19,NA,131,52
TX000038687,2010-02-20,NA,214,39
TX000038687,2010-02-21,10,95,NA
TX000038687,2010-02-22,NA,180,NA
TX000038687,2010-02-23,NA,176,NA
TX000038687,2010-02-24,NA,NA,NA
TX000038687,2010-02-25,NA,97,NA
TX000038687,2010-02-26,NA,140,NA
TX000038687,2010-02-27,NA,NA,48
TX000038687,2010-02-28,NA,NA,NA
TX000038687,2010-03-01,NA,117,NA
TX000038687,2010-03-02,NA,188,58
TX000038687,2010-03-03,5,NA,NA
TX000038687,2010-03-04,NA,135,NA
TX000038687,2010-03-05,NA,153,79
TX000038687,2010-03-06,NA,NA,NA
TX000038687,2010-03-07,NA,NA,99
TX000038687,2010-03-08,NA,NA,NA
TX000038687,2010-03-09,NA,144,70
TX000038687,2010-03-10,NA,273,94
TX000038687,2010-03-11,NA,NA,NA
TX000038687,2010-03-12,NA,73,NA
TX000038687,2010-03-13,NA,244,53
TX000038687,2010-03-14,NA,294,NA
TX000038687,2010-03-15,NA,289,129
TX000038687,2010-03-16,NA,334,165
TX000038687,2010-03-17,NA,NA,NA
TX000038687,2010-03-18,NA,161,81
TX000038687,2010-03-19,NA,NA,NA
TX000038687,2010-03-20,NA,82,NA
TX000038687,2010-03-21,NA,120,30
TX000038687,2010-03-22,NA,NA,NA
TX000038687,2010-03-23,NA,132,7
TX000038687,2010-03-24,NA,173,37
TX000038687,2010-03-25,NA,214,NA
TX000038687,2010-03-26,NA,220,NA
TX000038687,2010-03-27,NA,NA,NA
TX000038687,2010-03-28,NA,190,9
TX000038687,2010-03-29,NA,NA,NA
TX000038687,2010-03-30,NA,184,NA
TX000038687,2010-03-31,NA,233,60
TX000038687,2010-04-01,NA,255,NA
TX000038687,2010-04-02,119,NA,NA
TX000038687,2010-04-03,NA,184,NA
TX000038687,2010-04-04,NA,NA,93
TX000038687,2010-04-05,NA,289,127
TX000038687,2010-04-06,NA,NA,NA
TX000038687,2010-04-07,NA,205,NA
TX000038687,2010-04-08,NA,257,97
TX000038687,2010-04-09,NA,NA,126
TX000038687,2010-04-10,NA,272,NA
TX000038687,2010-04-11,140,161,NA
TX000038687,2010-04-12,NA,NA,90
TX000038687,2010-04-13,NA,NA,126
TX000038687,2010-04-14,NA,274,NA
TX000038687,2010-04-15,0,NA,NA
TX000038687,2010-04-16,NA,244,109
TX000038687,2010-04-17,NA,280,106
TX000038687,2010-04-18,NA,NA,106
TX000038687,2010-04-19,NA,271,105
TX000038687,2010-04-20,NA,240,NA
TX000038687,2010-04-21,NA,213,140
TX000038687,2010-04-22,NA,275,117
TX000038687,2010-04-23,NA,NA,126
TX000038687,2010-04-24,NA,321,133
TX000038687,2010-04-25,NA,333,157
TX000038687,2010-04-26,NA,259,NA
TX000038687,2010-04-27,NA,NA,NA
TX000038687,2010-04-28,NA,282,150
TX000038687,2010-04-29,NA,NA,134
TX000038687,2010-04-30,NA,255,NA
TX000038687,2010-05-01,NA,NA,NA
