id,date,prcp,tmax,tmin
TZ000063832,2010-01-01,NA,298,190
TZ000063832,2010-01-02,269,254,180
TZ000063832,2010-01-03,NA,NA,NA
TZ000063832,2010-01-04,NA,NA,NA
TZ000063832,2010-01-05,0,297,195
TZ000063832,2010-01-06,191,272,182
TZ000063832,2010-01-07,0,279,NA
TZ000063832,2010-01-08,490,NA,180
TZ000063832,2010-01-09,51,250,180
TZ000063832,2010-01-10,NA,NA,NA
TZ000063832,2010-01-11,NA,248,186
TZ000063832,2010-01-12,NA,290,NA
TZ000063832,2010-01-13,NA,266,186
TZ000063832,2010-01-14,30,242,190
TZ000063832,2010-01-15,61,285,190
TZ000063832,2010-01-16,0,295,188
TZ000063832,2010-01-17,NA,303,170
TZ000063832,2010-01-18,5,305,187
TZ000063832,2010-01-19,0,304,180
TZ000063832,2010-01-20,NA,320,195
TZ000063832,2010-01-21,NA,308,179
TZ000063832,2010-01-22,NA,290,180
TZ000063832,2010-01-23,NA,303,NA
TZ000063832,2010-01-24,NA,308,NA
TZ000063832,2010-01-25,211,277,182
TZ000063832,2010-01-26,41,310,170
TZ000063832,2010-01-27,0,280,208
TZ000063832,2010-01-28,20,295,191
TZ000063832,2010-01-29,NA,NA,NA
TZ000063832,2010-01-30,NA,318,184
TZ000063832,2010-01-31,NA,318,180
TZ000063832,2010-02-01,NA,NA,198
TZ000063832,2010-02-02,NA,335,186
TZ000063832,2010-02-03,5,NA,NA
TZ000063832,2010-02-04,351,248,NA
TZ000063832,2010-02-05,NA,NA,NA
TZ000063832,2010-02-06,NA,NA,NA
TZ000063832,2010-02-07,41,NA,180
TZ000063832,2010-02-08,NA,NA,NA
TZ000063832,2010-02-09,20,295,180
TZ000063832,2010-02-10,0,NA,180
TZ000063832,2010-02-11,NA,305,160
TZ000063832,2010-02-12,NA,309,NA
TZ000063832,2010-02-13,NA,NA,202
TZ000063832,2010-02-14,NA,NA,NA
TZ000063832,2010-02-15,NA,315,208
TZ000063832,2010-02-16,10,NA,NA
TZ000063832,2010-02-17,0,285,184
TZ000063832,2010-02-18,109,300,NA
TZ000063832,2010-02-19,0,305,198
TZ000063832,2010-02-20,221,NA,182
TZ000063832,2010-02-21,0,275,193
TZ000063832,2010-02-22,89,262,192
TZ000063832,2010-02-23,30,305,NA
TZ000063832,2010-02-24,0,292,205
TZ000063832,2010-02-25,NA,300,194
TZ000063832,2010-02-26,NA,270,NA
TZ000063832,2010-02-27,3,285,186
TZ000063832,2010-02-28,0,304,190
TZ000063832,2010-03-01,340,275,NA
TZ000063832,2010-03-02,109,289,NA
TZ000063832,2010-03-03,3,253,NA
TZ000063832,2010-03-04,0,290,180
TZ000063832,2010-03-05,NA,342,195
TZ000063832,2010-03-06,NA,303,188
TZ000063832,2010-03-07,310,295,190
TZ000063832,2010-03-08,0,286,NA
TZ000063832,2010-03-09,NA,298,185
TZ000063832,2010-03-10,20,NA,191
TZ000063832,2010-03-11,0,309,195
TZ000063832,2010-03-12,NA,NA,185
