id,date,prcp,tmax,tmin
UK000056225,2010-01-01,0,48,-20
UK000056225,2010-01-02,0,28,-20
UK000056225,2010-01-03,0,2,-22
UK000056225,2010-01-04,0,30,-68
UK000056225,2010-01-05,70,6,-66
UK000056225,2010-01-06,8,7,-15
UK000056225,2010-01-07,0,6,-82
UK000056225,2010-01-08,0,20,-63
UK000056225,2010-01-09,10,25,-55
UK000056225,2010-01-10,2,16,-53
UK000056225,2010-01-11,0,24,-5
UK000056225,2010-01-12,0,12,0
UK000056225,2010-01-13,0,34,-5
UK000056225,2010-01-14,109,43,-10
UK000056225,2010-01-15,20,75,4
UK000056225,2010-01-16,94,82,10
UK000056225,2010-01-17,2,107,9
UK000056225,2010-01-18,0,87,35
UK000056225,2010-01-19,64,50,50
UK000056225,2010-01-20,0,85,12
UK000056225,2010-01-21,57,99,14
UK000056225,2010-01-22,10,52,-10
UK000056225,2010-01-23,0,70,36
UK000056225,2010-01-24,136,45,15
UK000056225,2010-01-25,3,20,24
UK000056225,2010-01-26,0,80,15
UK000056225,2010-01-27,2,53,-16
UK000056225,2010-01-28,80,55,4
UK000056225,2010-01-29,2,33,26
UK000056225,2010-01-30,0,68,-17
UK000056225,2010-01-31,0,68,-28
UK000056225,2010-02-01,0,94,-15
UK000056225,2010-02-02,9,89,8
UK000056225,2010-02-03,13,89,27
UK000056225,2010-02-04,18,114,24
UK000056225,2010-02-05,21,57,56
UK000056225,2010-02-06,3,57,21
UK000056225,2010-02-07,1,27,21
UK000056225,2010-02-08,6,57,14
UK000056225,2010-02-09,8,41,5
UK000056225,2010-02-10,1,38,5
UK000056225,2010-02-11,0,60,-13
UK000056225,2010-02-12,7,66,-9
UK000056225,2010-02-13,3,56,-7
UK000056225,2010-02-14,12,56,6
UK000056225,2010-02-15,0,64,2
UK000056225,2010-02-16,19,84,14
UK000056225,2010-02-17,41,54,27
UK000056225,2010-02-18,5,72,-4
UK000056225,2010-02-19,206,59,10
UK000056225,2010-02-20,9,95,-15
UK000056225,2010-02-21,13,40,-14
UK000056225,2010-02-22,33,76,6
UK000056225,2010-02-23,41,109,0
UK000056225,2010-02-24,36,97,13
UK000056225,2010-02-25,13,87,63
UK000056225,2010-02-26,105,104,40
UK000056225,2010-02-27,42,65,31
UK000056225,2010-02-28,136,111,45
UK000056225,2010-03-01,0,102,-4
UK000056225,2010-03-02,0,73,-11
UK000056225,2010-03-03,0,81,10
UK000056225,2010-03-04,0,85,-3
UK000056225,2010-03-05,0,98,-32
UK000056225,2010-03-06,0,56,14
UK000056225,2010-03-07,0,72,-44
UK000056225,2010-03-08,0,94,-43
UK000056225,2010-03-09,0,62,5
UK000056225,2010-03-10,0,76,31
UK000056225,2010-03-11,3,98,-5
UK000056225,2010-03-12,23,98,-4
UK000056225,2010-03-13,0,136,29
UK000056225,2010-03-14,0,134,33
UK000056225,2010-03-15,0,130,26
UK000056225,2010-03-16,0,142,6
UK000056225,2010-03-17,0,178,42
UK000056225,2010-03-18,11,130,74
UK000056225,2010-03-19,81,140,80
UK000056225,2010-03-20,42,137,98
UK000056225,2010-03-21,0,127,41
UK000056225,2010-03-22,15,112,63
UK000056225,2010-03-23,25,172,35
UK000056225,2010-03-24,104,142,54
UK000056225,2010-03-25,53,120,98
UK000056225,2010-03-26,13,130,74
UK000056225,2010-03-27,3,130,73
UK000056225,2010-03-28,16,130,63
UK000056225,2010-03-29,68,125,63
UK000056225,2010-03-30,18,84,88
UK000056225,2010-03-31,1,96,33
UK000056225,2010-04-01,36,114,19
UK000056225,2010-04-02,48,116,52
UK000056225,2010-04-03,88,123,47
UK000056225,2010-04-04,0,138,50
UK000056225,2010-04-05,0,162,57
UK000056225,2010-04-06,1,130,55
UK000056225,2010-04-07,2,172,76
UK000056225,2010-04-08,0,180,42
UK000056225,2010-04-09,0,186,46
UK000056225,2010-04-10,0,143,58
UK000056225,2010-04-11,0,130,56
UK000056225,2010-04-12,1,133,43
UK000056225,2010-04-13,0,147,26
UK000056225,2010-04-14,0,135,46
UK000056225,2010-04-15,0,130,61
UK000056225,2010-04-16,0,177,50
UK000056225,2010-04-17,0,190,48
UK000056225,2010-04-18,0,177,7
UK000056225,2010-04-19,0,156,49
UK000056225,2010-04-20,0,131,31
UK000056225,2010-04-21,0,147,18
UK000056225,2010-04-22,0,177,13
UK000056225,2010-04-23,0,214,23
UK000056225,2010-04-24,9,186,27
UK000056225,2010-04-25,1,189,90
UK000056225,2010-04-26,0,209,88
UK000056225,2010-04-27,0,218,58
UK000056225,2010-04-28,0,161,59
UK000056225,2010-04-29,49,166,111
UK000056225,2010-04-30,20,162,66
