id,date,tmax,tmin
UPM00033296,2016-05-01,NA,NA
UPM00033296,2016-05-02,NA,NA
UPM00033296,2016-05-03,NA,NA
UPM00033296,2016-05-04,NA,NA
UPM00033296,2016-05-05,NA,NA
UPM00033296,2016-05-06,NA,NA
UPM00033296,2016-05-07,NA,NA
UPM00033296,2016-05-08,NA,NA
UPM00033296,2016-05-09,NA,NA
UPM00033296,2016-05-10,NA,NA
UPM00033296,2016-05-11,NA,NA
UPM00033296,2016-05-12,NA,NA
UPM00033296,2016-05-13,NA,NA
UPM00033296,2016-05-14,NA,NA
UPM00033296,2016-05-15,NA,NA
UPM00033296,2016-05-16,NA,NA
UPM00033296,2016-05-17,NA,NA
UPM00033296,2016-05-18,NA,NA
UPM00033296,2016-05-19,NA,NA
UPM00033296,2016-05-20,NA,NA
UPM00033296,2016-05-21,NA,NA
UPM00033296,2016-05-22,NA,NA
UPM00033296,2016-05-23,NA,NA
UPM00033296,2016-05-24,NA,NA
UPM00033296,2016-05-25,225,115
UPM00033296,2016-05-26,NA,NA
UPM00033296,2016-05-27,262,91
UPM00033296,2016-05-28,270,103
UPM00033296,2016-05-29,266,129
UPM00033296,2016-05-30,264,139
UPM00033296,2016-05-31,NA,NA
