id,date,prcp,tmax,tmin
UPM00033946,2010-01-01,0,157,NA
UPM00033946,2010-01-02,66,NA,NA
UPM00033946,2010-01-03,20,NA,NA
UPM00033946,2010-01-04,20,NA,NA
UPM00033946,2010-01-05,3,-7,-76
UPM00033946,2010-01-06,NA,NA,-48
UPM00033946,2010-01-07,NA,130,78
UPM00033946,2010-01-08,NA,NA,NA
UPM00033946,2010-01-09,NA,NA,40
UPM00033946,2010-01-10,NA,204,NA
UPM00033946,2010-01-11,NA,NA,48
UPM00033946,2010-01-12,10,91,NA
UPM00033946,2010-01-13,NA,55,NA
UPM00033946,2010-01-14,102,37,NA
UPM00033946,2010-01-15,NA,NA,9
UPM00033946,2010-01-16,5,NA,NA
UPM00033946,2010-01-17,5,5,NA
UPM00033946,2010-01-18,NA,1,NA
UPM00033946,2010-01-19,NA,NA,-30
UPM00033946,2010-01-20,58,NA,NA
UPM00033946,2010-01-21,51,NA,NA
UPM00033946,2010-01-22,8,NA,NA
UPM00033946,2010-01-23,5,-55,NA
UPM00033946,2010-01-24,8,NA,NA
UPM00033946,2010-01-25,0,-165,NA
UPM00033946,2010-01-26,NA,NA,-204
UPM00033946,2010-01-27,NA,-25,-156
UPM00033946,2010-01-28,30,20,-76
UPM00033946,2010-01-29,NA,46,-51
UPM00033946,2010-01-30,3,NA,-30
UPM00033946,2010-01-31,NA,151,34
UPM00033946,2010-02-01,0,NA,NA
UPM00033946,2010-02-02,NA,NA,NA
UPM00033946,2010-02-03,91,-24,NA
UPM00033946,2010-02-04,76,-4,NA
UPM00033946,2010-02-05,0,NA,NA
UPM00033946,2010-02-06,NA,-59,NA
UPM00033946,2010-02-07,NA,-49,NA
UPM00033946,2010-02-08,5,NA,-60
UPM00033946,2010-02-09,10,NA,30
UPM00033946,2010-02-10,36,42,NA
UPM00033946,2010-02-11,NA,110,-3
UPM00033946,2010-02-12,NA,136,39
UPM00033946,2010-02-13,61,141,46
UPM00033946,2010-02-14,NA,101,NA
UPM00033946,2010-02-15,20,NA,NA
UPM00033946,2010-02-16,NA,51,-1
UPM00033946,2010-02-17,NA,70,6
UPM00033946,2010-02-18,15,94,NA
UPM00033946,2010-02-19,30,94,NA
UPM00033946,2010-02-20,0,177,19
UPM00033946,2010-02-21,NA,146,NA
UPM00033946,2010-02-22,NA,60,NA
UPM00033946,2010-02-23,NA,96,-41
UPM00033946,2010-02-24,NA,132,9
UPM00033946,2010-02-25,NA,140,NA
UPM00033946,2010-02-26,NA,56,NA
UPM00033946,2010-02-27,NA,58,NA
UPM00033946,2010-02-28,NA,80,NA
UPM00033946,2010-03-01,NA,105,-20
UPM00033946,2010-03-02,NA,115,49
UPM00033946,2010-03-03,NA,76,NA
UPM00033946,2010-03-04,NA,105,-22
UPM00033946,2010-03-05,NA,104,NA
UPM00033946,2010-03-06,51,72,-7
UPM00033946,2010-03-07,76,16,NA
UPM00033946,2010-03-08,NA,NA,-53
UPM00033946,2010-03-09,10,-2,NA
UPM00033946,2010-03-10,NA,-5,-61
UPM00033946,2010-03-11,NA,31,-67
UPM00033946,2010-03-12,10,64,19
UPM00033946,2010-03-13,20,54,NA
UPM00033946,2010-03-14,3,74,NA
UPM00033946,2010-03-15,NA,98,-13
UPM00033946,2010-03-16,NA,37,-46
UPM00033946,2010-03-17,71,NA,NA
UPM00033946,2010-03-18,0,67,-36
UPM00033946,2010-03-19,NA,NA,4
UPM00033946,2010-03-20,NA,NA,NA
UPM00033946,2010-03-21,NA,177,28
UPM00033946,2010-03-22,NA,190,56
UPM00033946,2010-03-23,NA,135,NA
UPM00033946,2010-03-24,NA,180,NA
UPM00033946,2010-03-25,NA,134,24
UPM00033946,2010-03-26,NA,107,NA
UPM00033946,2010-03-27,NA,130,NA
UPM00033946,2010-03-28,NA,175,23
UPM00033946,2010-03-29,NA,131,31
UPM00033946,2010-03-30,NA,141,NA
UPM00033946,2010-03-31,NA,NA,NA
UPM00033946,2010-04-01,3,167,NA
UPM00033946,2010-04-02,NA,153,NA
UPM00033946,2010-04-03,NA,150,26
UPM00033946,2010-04-04,NA,NA,50
UPM00033946,2010-04-05,NA,200,44
UPM00033946,2010-04-06,NA,NA,73
UPM00033946,2010-04-07,NA,125,59
UPM00033946,2010-04-08,NA,73,48
UPM00033946,2010-04-09,28,66,NA
UPM00033946,2010-04-10,15,NA,NA
UPM00033946,2010-04-11,NA,146,NA
UPM00033946,2010-04-12,NA,95,14
UPM00033946,2010-04-13,NA,129,NA
UPM00033946,2010-04-14,NA,155,10
UPM00033946,2010-04-15,NA,155,32
UPM00033946,2010-04-16,NA,141,39
UPM00033946,2010-04-17,NA,150,45
UPM00033946,2010-04-18,NA,145,NA
UPM00033946,2010-04-19,NA,220,9
UPM00033946,2010-04-20,NA,246,21
UPM00033946,2010-04-21,NA,155,84
UPM00033946,2010-04-22,71,NA,NA
UPM00033946,2010-04-23,NA,170,60
UPM00033946,2010-04-24,NA,206,48
UPM00033946,2010-04-25,NA,206,56
UPM00033946,2010-04-26,NA,153,NA
UPM00033946,2010-04-27,NA,152,NA
UPM00033946,2010-04-28,NA,170,-3
UPM00033946,2010-04-29,NA,192,3
UPM00033946,2010-04-30,NA,NA,55
UPM00033946,2010-05-01,NA,215,70
UPM00033946,2010-05-02,NA,220,NA
UPM00033946,2010-05-03,NA,200,57
UPM00033946,2010-05-04,NA,190,62
UPM00033946,2010-05-05,NA,212,70
UPM00033946,2010-05-06,NA,240,80
UPM00033946,2010-05-07,NA,236,93
UPM00033946,2010-05-08,NA,197,92
UPM00033946,2010-05-09,NA,217,105
UPM00033946,2010-05-10,NA,NA,NA
UPM00033946,2010-05-11,46,180,93
UPM00033946,2010-05-12,NA,207,106
UPM00033946,2010-05-13,NA,240,100
UPM00033946,2010-05-14,NA,240,118
UPM00033946,2010-05-15,NA,252,110
UPM00033946,2010-05-16,NA,275,NA
UPM00033946,2010-05-17,NA,214,NA
UPM00033946,2010-05-18,NA,200,93
UPM00033946,2010-05-19,NA,192,90
UPM00033946,2010-05-20,NA,193,90
UPM00033946,2010-05-21,NA,NA,99
UPM00033946,2010-05-22,NA,222,90
UPM00033946,2010-05-23,NA,210,86
UPM00033946,2010-05-24,NA,220,110
UPM00033946,2010-05-25,NA,234,129
UPM00033946,2010-05-26,NA,245,135
UPM00033946,2010-05-27,NA,273,120
UPM00033946,2010-05-28,NA,286,120
UPM00033946,2010-05-29,NA,275,NA
UPM00033946,2010-05-30,NA,270,136
UPM00033946,2010-05-31,NA,284,140
UPM00033946,2010-06-01,NA,327,177
UPM00033946,2010-06-02,NA,312,NA
UPM00033946,2010-06-03,NA,240,NA
UPM00033946,2010-06-04,NA,NA,125
UPM00033946,2010-06-05,NA,272,139
UPM00033946,2010-06-06,NA,261,158
UPM00033946,2010-06-07,8,242,166
UPM00033946,2010-06-08,NA,270,170
UPM00033946,2010-06-09,NA,288,145
UPM00033946,2010-06-10,NA,NA,135
UPM00033946,2010-06-11,NA,332,160
UPM00033946,2010-06-12,NA,346,170
UPM00033946,2010-06-13,NA,301,180
UPM00033946,2010-06-14,NA,340,184
UPM00033946,2010-06-15,NA,331,197
UPM00033946,2010-06-16,NA,325,NA
UPM00033946,2010-06-17,NA,291,NA
UPM00033946,2010-06-18,NA,252,NA
UPM00033946,2010-06-19,NA,281,135
UPM00033946,2010-06-20,NA,300,169
UPM00033946,2010-06-21,NA,295,180
UPM00033946,2010-06-22,NA,295,168
UPM00033946,2010-06-23,10,NA,170
UPM00033946,2010-06-24,338,NA,174
UPM00033946,2010-06-25,NA,236,NA
UPM00033946,2010-06-26,NA,250,154
UPM00033946,2010-06-27,36,251,168
UPM00033946,2010-06-28,15,260,165
UPM00033946,2010-06-29,NA,NA,160
UPM00033946,2010-06-30,185,223,NA
UPM00033946,2010-07-01,NA,NA,NA
UPM00033946,2010-07-02,NA,274,157
UPM00033946,2010-07-03,NA,280,180
UPM00033946,2010-07-04,NA,295,174
UPM00033946,2010-07-05,NA,295,NA
UPM00033946,2010-07-06,NA,NA,NA
UPM00033946,2010-07-07,NA,265,165
UPM00033946,2010-07-08,NA,295,174
UPM00033946,2010-07-09,NA,265,190
UPM00033946,2010-07-10,NA,292,NA
UPM00033946,2010-07-11,NA,270,187
UPM00033946,2010-07-12,NA,280,190
UPM00033946,2010-07-13,NA,277,NA
UPM00033946,2010-07-14,NA,284,197
UPM00033946,2010-07-15,NA,302,NA
UPM00033946,2010-07-16,NA,NA,176
UPM00033946,2010-07-17,NA,312,NA
UPM00033946,2010-07-18,NA,330,NA
UPM00033946,2010-07-19,0,292,NA
UPM00033946,2010-07-20,NA,310,193
UPM00033946,2010-07-21,NA,320,203
UPM00033946,2010-07-22,NA,326,NA
UPM00033946,2010-07-23,NA,301,190
UPM00033946,2010-07-24,NA,NA,165
UPM00033946,2010-07-25,NA,304,NA
UPM00033946,2010-07-26,NA,310,196
UPM00033946,2010-07-27,NA,340,203
UPM00033946,2010-07-28,NA,305,210
UPM00033946,2010-07-29,NA,292,NA
UPM00033946,2010-07-30,NA,332,174
UPM00033946,2010-07-31,NA,NA,200
UPM00033946,2010-08-01,NA,360,200
UPM00033946,2010-08-02,NA,345,210
UPM00033946,2010-08-03,NA,350,214
UPM00033946,2010-08-04,NA,351,206
UPM00033946,2010-08-05,NA,374,198
UPM00033946,2010-08-06,NA,NA,217
UPM00033946,2010-08-07,NA,NA,230
UPM00033946,2010-08-08,NA,395,NA
UPM00033946,2010-08-09,NA,373,220
UPM00033946,2010-08-10,NA,374,215
UPM00033946,2010-08-11,NA,369,244
UPM00033946,2010-08-12,NA,381,228
UPM00033946,2010-08-13,NA,363,219
UPM00033946,2010-08-14,NA,374,205
UPM00033946,2010-08-15,NA,NA,206
UPM00033946,2010-08-16,NA,368,NA
UPM00033946,2010-08-17,NA,340,194
UPM00033946,2010-08-18,NA,340,187
UPM00033946,2010-08-19,NA,311,NA
UPM00033946,2010-08-20,NA,275,NA
UPM00033946,2010-08-21,NA,NA,NA
UPM00033946,2010-08-22,NA,260,116
UPM00033946,2010-08-23,NA,NA,128
UPM00033946,2010-08-24,NA,NA,125
UPM00033946,2010-08-25,NA,311,154
UPM00033946,2010-08-26,NA,290,NA
UPM00033946,2010-08-27,NA,NA,140
UPM00033946,2010-08-28,NA,335,153
UPM00033946,2010-08-29,NA,327,160
UPM00033946,2010-08-30,NA,265,NA
UPM00033946,2010-08-31,NA,350,161
UPM00033946,2010-09-01,10,291,NA
UPM00033946,2010-09-02,NA,222,NA
UPM00033946,2010-09-03,NA,NA,116
UPM00033946,2010-09-04,NA,269,120
UPM00033946,2010-09-05,NA,271,135
UPM00033946,2010-09-06,NA,250,118
UPM00033946,2010-09-07,38,199,NA
UPM00033946,2010-09-08,NA,NA,105
UPM00033946,2010-09-09,8,224,NA
UPM00033946,2010-09-10,NA,191,86
UPM00033946,2010-09-11,NA,237,109
UPM00033946,2010-09-12,NA,265,139
UPM00033946,2010-09-13,NA,251,139
UPM00033946,2010-09-14,NA,261,NA
UPM00033946,2010-09-15,NA,265,130
UPM00033946,2010-09-16,NA,274,106
UPM00033946,2010-09-17,NA,278,130
UPM00033946,2010-09-18,NA,270,125
UPM00033946,2010-09-19,NA,280,157
UPM00033946,2010-09-20,NA,300,139
UPM00033946,2010-09-21,NA,239,NA
UPM00033946,2010-09-22,NA,217,NA
UPM00033946,2010-09-23,NA,NA,NA
UPM00033946,2010-09-24,NA,240,90
UPM00033946,2010-09-25,NA,276,80
UPM00033946,2010-09-26,NA,290,128
UPM00033946,2010-09-27,NA,308,176
UPM00033946,2010-09-28,NA,272,NA
UPM00033946,2010-09-29,NA,250,148
UPM00033946,2010-09-30,38,210,NA
UPM00033946,2010-10-01,71,NA,NA
UPM00033946,2010-10-02,NA,150,80
UPM00033946,2010-10-03,NA,103,NA
UPM00033946,2010-10-04,NA,120,NA
UPM00033946,2010-10-05,91,116,NA
UPM00033946,2010-10-06,NA,NA,33
UPM00033946,2010-10-07,33,NA,NA
UPM00033946,2010-10-08,36,NA,60
UPM00033946,2010-10-09,160,NA,NA
UPM00033946,2010-10-10,NA,156,66
UPM00033946,2010-10-11,10,140,NA
UPM00033946,2010-10-12,NA,155,55
UPM00033946,2010-10-13,NA,170,NA
UPM00033946,2010-10-14,NA,125,30
UPM00033946,2010-10-15,NA,NA,29
UPM00033946,2010-10-16,NA,154,36
UPM00033946,2010-10-17,NA,NA,69
UPM00033946,2010-10-18,NA,177,105
UPM00033946,2010-10-19,10,NA,NA
UPM00033946,2010-10-20,NA,234,NA
UPM00033946,2010-10-21,8,172,NA
