id,date,prcp,tmax,tmin
USC00017674,2013-04-01,NA,NA,NA
USC00017674,2013-04-02,NA,NA,NA
USC00017674,2013-04-03,NA,NA,NA
USC00017674,2013-04-04,NA,NA,NA
USC00017674,2013-04-05,NA,NA,NA
USC00017674,2013-04-06,NA,NA,NA
USC00017674,2013-04-07,NA,NA,NA
USC00017674,2013-04-08,NA,NA,NA
USC00017674,2013-04-09,0,NA,NA
USC00017674,2013-04-10,0,NA,NA
USC00017674,2013-04-11,0,NA,NA
USC00017674,2013-04-12,188,NA,NA
USC00017674,2013-04-13,0,NA,NA
USC00017674,2013-04-14,0,NA,NA
USC00017674,2013-04-15,0,NA,NA
USC00017674,2013-04-16,0,NA,NA
USC00017674,2013-04-17,36,294,NA
USC00017674,2013-04-18,0,NA,NA
USC00017674,2013-04-19,376,122,44
USC00017674,2013-04-20,0,172,6
USC00017674,2013-04-21,0,206,50
USC00017674,2013-04-22,0,217,NA
USC00017674,2013-04-23,0,239,122
USC00017674,2013-04-24,NA,239,122
USC00017674,2013-04-25,NA,189,44
USC00017674,2013-04-26,10,233,50
USC00017674,2013-04-27,140,233,139
USC00017674,2013-04-28,419,194,144
USC00017674,2013-04-29,0,228,122
USC00017674,2013-04-30,0,261,89
USC00017674,2013-05-01,0,233,178
USC00017674,2013-05-02,0,211,156
USC00017674,2013-05-03,135,222,72
USC00017674,2013-05-04,592,111,50
USC00017674,2013-05-05,165,144,44
USC00017674,2013-05-06,445,133,89
USC00017674,2013-05-07,0,206,56
USC00017674,2013-05-08,0,256,89
USC00017674,2013-05-09,0,272,117
USC00017674,2013-05-10,117,233,156
USC00017674,2013-05-11,0,239,128
USC00017674,2013-05-12,0,189,89
USC00017674,2013-05-13,0,211,39
USC00017674,2013-05-14,0,283,83
USC00017674,2013-05-15,0,294,122
USC00017674,2013-05-16,0,278,156
USC00017674,2013-05-17,208,228,172
USC00017674,2013-05-18,0,272,183
USC00017674,2013-05-19,0,278,183
USC00017674,2013-05-20,0,289,167
USC00017674,2013-05-21,13,306,178
USC00017674,2013-05-22,0,278,183
USC00017674,2013-05-23,0,278,156
USC00017674,2013-05-24,0,233,139
USC00017674,2013-05-25,0,261,89
USC00017674,2013-05-26,0,289,106
USC00017674,2013-05-27,0,300,133
USC00017674,2013-05-28,0,294,167
USC00017674,2013-05-29,0,306,206
USC00017674,2013-05-30,0,289,206
USC00017674,2013-05-31,0,294,217
USC00017674,2013-06-01,124,294,200
USC00017674,2013-06-02,5,272,206
USC00017674,2013-06-03,0,272,178
USC00017674,2013-06-04,0,300,150
USC00017674,2013-06-05,74,267,178
USC00017674,2013-06-06,0,289,178
USC00017674,2013-06-07,3,256,189
USC00017674,2013-06-08,0,283,172
USC00017674,2013-06-09,25,300,200
USC00017674,2013-06-10,107,300,189
USC00017674,2013-06-11,0,333,211
USC00017674,2013-06-12,0,344,217
USC00017674,2013-06-13,48,328,217
USC00017674,2013-06-14,0,289,183
USC00017674,2013-06-15,0,311,150
USC00017674,2013-06-16,0,317,183
USC00017674,2013-06-17,89,322,206
USC00017674,2013-06-18,79,278,206
USC00017674,2013-06-19,0,311,178
USC00017674,2013-06-20,10,306,194
USC00017674,2013-06-21,3,306,183
USC00017674,2013-06-22,0,300,194
USC00017674,2013-06-23,0,306,183
USC00017674,2013-06-24,0,311,200
USC00017674,2013-06-25,NA,322,211
USC00017674,2013-06-26,NA,333,206
USC00017674,2013-06-27,NA,339,200
USC00017674,2013-06-28,0,306,217
USC00017674,2013-06-29,18,311,206
USC00017674,2013-06-30,5,306,167
USC00017674,2013-07-01,0,289,172
USC00017674,2013-07-02,0,294,172
USC00017674,2013-07-03,33,278,189
USC00017674,2013-07-04,800,233,194
USC00017674,2013-07-05,163,250,206
USC00017674,2013-07-06,114,228,206
USC00017674,2013-07-07,104,294,211
USC00017674,2013-07-08,3,294,211
USC00017674,2013-07-09,23,311,233
USC00017674,2013-07-10,554,333,206
USC00017674,2013-07-11,3,306,200
USC00017674,2013-07-12,0,294,206
USC00017674,2013-07-13,0,300,167
USC00017674,2013-07-14,0,306,222
USC00017674,2013-07-15,0,306,228
USC00017674,2013-07-16,0,322,222
USC00017674,2013-07-17,0,350,211
USC00017674,2013-07-18,0,322,NA
USC00017674,2013-07-19,0,328,211
USC00017674,2013-07-20,0,317,211
USC00017674,2013-07-21,NA,317,217
USC00017674,2013-07-22,NA,267,211
USC00017674,2013-07-23,NA,256,211
USC00017674,2013-07-24,NA,294,200
USC00017674,2013-07-25,NA,294,194
USC00017674,2013-07-26,NA,306,167
USC00017674,2013-07-27,0,294,NA
USC00017674,2013-07-28,0,283,200
USC00017674,2013-07-29,NA,283,183
USC00017674,2013-07-30,NA,311,161
USC00017674,2013-07-31,NA,289,211
USC00017674,2013-08-01,NA,306,211
USC00017674,2013-08-02,0,306,178
USC00017674,2013-08-03,0,272,189
USC00017674,2013-08-04,3,306,211
USC00017674,2013-08-05,0,278,194
USC00017674,2013-08-06,157,278,211
USC00017674,2013-08-07,124,311,217
USC00017674,2013-08-08,23,311,206
USC00017674,2013-08-09,0,317,217
USC00017674,2013-08-10,208,289,222
USC00017674,2013-08-11,0,322,206
USC00017674,2013-08-12,20,322,211
USC00017674,2013-08-13,0,300,222
USC00017674,2013-08-14,0,278,206
USC00017674,2013-08-15,0,256,144
USC00017674,2013-08-16,0,222,172
USC00017674,2013-08-17,0,211,183
USC00017674,2013-08-18,28,239,183
USC00017674,2013-08-19,81,289,189
USC00017674,2013-08-20,0,300,206
USC00017674,2013-08-21,3,289,222
USC00017674,2013-08-22,53,311,206
USC00017674,2013-08-23,0,322,200
USC00017674,2013-08-24,0,306,206
USC00017674,2013-08-25,0,294,194
USC00017674,2013-08-26,0,294,167
USC00017674,2013-08-27,0,306,167
USC00017674,2013-08-28,0,317,183
USC00017674,2013-08-29,0,328,194
USC00017674,2013-08-30,0,339,217
USC00017674,2013-08-31,0,339,222
USC00017674,2013-09-01,38,322,228
USC00017674,2013-09-02,338,283,206
USC00017674,2013-09-03,0,306,222
USC00017674,2013-09-04,0,300,178
USC00017674,2013-09-05,0,306,161
USC00017674,2013-09-06,0,306,167
USC00017674,2013-09-07,0,317,183
USC00017674,2013-09-08,0,322,183
USC00017674,2013-09-09,0,322,211
USC00017674,2013-09-10,0,317,228
USC00017674,2013-09-11,0,322,200
USC00017674,2013-09-12,0,328,194
USC00017674,2013-09-13,23,278,194
USC00017674,2013-09-14,0,256,117
USC00017674,2013-09-15,0,283,128
USC00017674,2013-09-16,0,306,144
USC00017674,2013-09-17,0,294,172
USC00017674,2013-09-18,0,272,189
USC00017674,2013-09-19,0,294,189
