id,date,tmax,tmin
USC00160555,2017-12-01,NA,NA
USC00160555,2017-12-02,NA,NA
USC00160555,2017-12-03,NA,NA
USC00160555,2017-12-04,NA,NA
USC00160555,2017-12-05,NA,NA
USC00160555,2017-12-06,NA,NA
USC00160555,2017-12-07,NA,NA
USC00160555,2017-12-08,NA,NA
USC00160555,2017-12-09,NA,NA
USC00160555,2017-12-10,NA,NA
USC00160555,2017-12-11,NA,NA
USC00160555,2017-12-12,NA,NA
USC00160555,2017-12-13,NA,NA
USC00160555,2017-12-14,NA,NA
USC00160555,2017-12-15,NA,NA
USC00160555,2017-12-16,NA,NA
USC00160555,2017-12-17,NA,NA
USC00160555,2017-12-18,NA,NA
USC00160555,2017-12-19,NA,NA
USC00160555,2017-12-20,NA,NA
USC00160555,2017-12-21,NA,NA
USC00160555,2017-12-22,NA,NA
USC00160555,2017-12-23,NA,NA
USC00160555,2017-12-24,NA,NA
USC00160555,2017-12-25,NA,NA
USC00160555,2017-12-26,NA,NA
USC00160555,2017-12-27,NA,NA
USC00160555,2017-12-28,NA,NA
USC00160555,2017-12-29,72,28
USC00160555,2017-12-30,133,17
USC00160555,2017-12-31,161,94
USC00160555,2018-01-01,94,-50
USC00160555,2018-01-02,11,-61
USC00160555,2018-01-03,28,-61
USC00160555,2018-01-04,44,-17
USC00160555,2018-01-05,78,-22
USC00160555,2018-01-06,100,0
USC00160555,2018-01-07,144,22
USC00160555,2018-01-08,161,78
USC00160555,2018-01-09,156,100
USC00160555,2018-01-10,139,100
USC00160555,2018-01-11,200,133
USC00160555,2018-01-12,211,39
USC00160555,2018-01-13,39,-6
USC00160555,2018-01-14,67,-33
USC00160555,2018-01-15,94,-33
USC00160555,2018-01-16,144,11
USC00160555,2018-01-17,61,-89
USC00160555,2018-01-18,6,-94
USC00160555,2018-01-19,61,-67
USC00160555,2018-01-20,128,17
USC00160555,2018-01-21,172,78
USC00160555,2018-01-22,217,111
USC00160555,2018-01-23,211,78
USC00160555,2018-01-24,161,67
USC00160555,2018-01-25,150,50
USC00160555,2018-01-26,156,44
USC00160555,2018-01-27,172,83
USC00160555,2018-01-28,161,150
USC00160555,2018-01-29,183,72
USC00160555,2018-01-30,178,28
USC00160555,2018-01-31,133,22
USC00160555,2018-02-01,183,44
USC00160555,2018-02-02,211,89
USC00160555,2018-02-03,139,50
USC00160555,2018-02-04,194,50
USC00160555,2018-02-05,194,89
USC00160555,2018-02-06,172,83
USC00160555,2018-02-07,217,150
USC00160555,2018-02-08,211,56
USC00160555,2018-02-09,178,50
USC00160555,2018-02-10,233,117
USC00160555,2018-02-11,200,167
USC00160555,2018-02-12,211,72
USC00160555,2018-02-13,89,61
USC00160555,2018-02-14,211,89
USC00160555,2018-02-15,272,144
USC00160555,2018-02-16,267,194
USC00160555,2018-02-17,278,183
USC00160555,2018-02-18,261,167
USC00160555,2018-02-19,256,167
USC00160555,2018-02-20,272,172
USC00160555,2018-02-21,283,194
USC00160555,2018-02-22,272,211
USC00160555,2018-02-23,283,194
USC00160555,2018-02-24,233,194
USC00160555,2018-02-25,272,172
USC00160555,2018-02-26,206,150
USC00160555,2018-02-27,211,150
USC00160555,2018-02-28,217,156
USC00160555,2018-03-01,272,194
USC00160555,2018-03-02,261,139
USC00160555,2018-03-03,222,100
USC00160555,2018-03-04,228,100
USC00160555,2018-03-05,233,117
USC00160555,2018-03-06,256,111
USC00160555,2018-03-07,200,106
USC00160555,2018-03-08,133,78
USC00160555,2018-03-09,167,78
USC00160555,2018-03-10,194,106
USC00160555,2018-03-11,244,144
USC00160555,2018-03-12,206,94
USC00160555,2018-03-13,156,72
USC00160555,2018-03-14,167,67
USC00160555,2018-03-15,178,61
USC00160555,2018-03-16,200,94
USC00160555,2018-03-17,222,156
USC00160555,2018-03-18,244,183
USC00160555,2018-03-19,256,183
USC00160555,2018-03-20,294,133
USC00160555,2018-03-21,172,94
USC00160555,2018-03-22,183,94
USC00160555,2018-03-23,206,94
USC00160555,2018-03-24,233,122
USC00160555,2018-03-25,239,167
USC00160555,2018-03-26,272,183
USC00160555,2018-03-27,261,183
USC00160555,2018-03-28,256,200
USC00160555,2018-03-29,272,200
USC00160555,2018-03-30,206,144
USC00160555,2018-03-31,222,122
USC00160555,2018-04-01,239,122
USC00160555,2018-04-02,239,139
USC00160555,2018-04-03,272,167
USC00160555,2018-04-04,272,150
USC00160555,2018-04-05,211,94
USC00160555,2018-04-06,217,94
USC00160555,2018-04-07,239,156
USC00160555,2018-04-08,189,61
USC00160555,2018-04-09,139,61
USC00160555,2018-04-10,206,133
USC00160555,2018-04-11,228,111
USC00160555,2018-04-12,233,111
USC00160555,2018-04-13,256,133
USC00160555,2018-04-14,261,189
USC00160555,2018-04-15,228,83
USC00160555,2018-04-16,161,72
USC00160555,2018-04-17,206,89
USC00160555,2018-04-18,256,128
USC00160555,2018-04-19,267,167
USC00160555,2018-04-20,222,94
USC00160555,2018-04-21,200,94
USC00160555,2018-04-22,239,128
USC00160555,2018-04-23,244,117
USC00160555,2018-04-24,217,122
USC00160555,2018-04-25,250,139
USC00160555,2018-04-26,272,156
USC00160555,2018-04-27,206,128
USC00160555,2018-04-28,239,128
USC00160555,2018-04-29,267,167
USC00160555,2018-04-30,278,183
USC00160555,2018-05-01,272,178
USC00160555,2018-05-02,278,178
USC00160555,2018-05-03,294,200
USC00160555,2018-05-04,289,200
USC00160555,2018-05-05,289,217
USC00160555,2018-05-06,239,178
USC00160555,2018-05-07,294,178
USC00160555,2018-05-08,306,183
USC00160555,2018-05-09,317,217
USC00160555,2018-05-10,317,200
USC00160555,2018-05-11,306,206
USC00160555,2018-05-12,311,217
USC00160555,2018-05-13,306,222
USC00160555,2018-05-14,317,228
USC00160555,2018-05-15,328,228
USC00160555,2018-05-16,339,233
USC00160555,2018-05-17,328,233
USC00160555,2018-05-18,328,239
USC00160555,2018-05-19,317,228
USC00160555,2018-05-20,328,233
USC00160555,2018-05-21,322,233
USC00160555,2018-05-22,328,233
USC00160555,2018-05-23,333,228
USC00160555,2018-05-24,333,222
USC00160555,2018-05-25,311,228
USC00160555,2018-05-26,311,233
USC00160555,2018-05-27,306,217
USC00160555,2018-05-28,311,228
USC00160555,2018-05-29,322,239
USC00160555,2018-05-30,333,250
USC00160555,2018-05-31,328,250
USC00160555,2018-06-01,333,256
USC00160555,2018-06-02,333,261
USC00160555,2018-06-03,339,244
USC00160555,2018-06-04,333,250
USC00160555,2018-06-05,333,256
USC00160555,2018-06-06,294,211
USC00160555,2018-06-07,317,217
USC00160555,2018-06-08,333,239
USC00160555,2018-06-09,328,244
USC00160555,2018-06-10,333,256
USC00160555,2018-06-11,300,244
USC00160555,2018-06-12,311,250
USC00160555,2018-06-13,339,217
USC00160555,2018-06-14,322,233
USC00160555,2018-06-15,328,244
USC00160555,2018-06-16,322,244
USC00160555,2018-06-17,322,250
USC00160555,2018-06-18,311,256
USC00160555,2018-06-19,267,228
USC00160555,2018-06-20,300,244
USC00160555,2018-06-21,322,261
USC00160555,2018-06-22,300,250
USC00160555,2018-06-23,322,250
USC00160555,2018-06-24,322,256
USC00160555,2018-06-25,328,261
USC00160555,2018-06-26,350,261
USC00160555,2018-06-27,356,267
USC00160555,2018-06-28,344,261
USC00160555,2018-06-29,339,261
USC00160555,2018-06-30,344,256
USC00160555,2018-07-01,344,256
USC00160555,2018-07-02,350,261
USC00160555,2018-07-03,344,250
USC00160555,2018-07-04,294,239
USC00160555,2018-07-05,328,244
USC00160555,2018-07-06,333,239
USC00160555,2018-07-07,322,233
USC00160555,2018-07-08,317,239
USC00160555,2018-07-09,306,244
USC00160555,2018-07-10,322,239
USC00160555,2018-07-11,322,244
USC00160555,2018-07-12,NA,NA
USC00160555,2018-07-13,NA,NA
USC00160555,2018-07-14,NA,NA
USC00160555,2018-07-15,NA,NA
USC00160555,2018-07-16,NA,NA
USC00160555,2018-07-17,NA,NA
USC00160555,2018-07-18,NA,NA
USC00160555,2018-07-19,NA,NA
USC00160555,2018-07-20,NA,NA
USC00160555,2018-07-21,NA,NA
USC00160555,2018-07-22,NA,NA
USC00160555,2018-07-23,NA,NA
USC00160555,2018-07-24,NA,NA
USC00160555,2018-07-25,NA,NA
USC00160555,2018-07-26,NA,NA
USC00160555,2018-07-27,NA,NA
USC00160555,2018-07-28,NA,NA
USC00160555,2018-07-29,NA,NA
USC00160555,2018-07-30,NA,NA
USC00160555,2018-07-31,NA,NA
