id,date,prcp,tmax
USC00457773,2010-01-01,175,NA
USC00457773,2010-01-02,226,NA
USC00457773,2010-01-03,30,NA
USC00457773,2010-01-04,64,NA
USC00457773,2010-01-05,117,NA
USC00457773,2010-01-06,64,NA
USC00457773,2010-01-07,0,NA
USC00457773,2010-01-08,61,NA
USC00457773,2010-01-09,221,NA
USC00457773,2010-01-10,3,NA
USC00457773,2010-01-11,71,NA
USC00457773,2010-01-12,114,NA
USC00457773,2010-01-13,91,NA
USC00457773,2010-01-14,269,NA
USC00457773,2010-01-15,81,NA
USC00457773,2010-01-16,155,NA
USC00457773,2010-01-17,10,NA
USC00457773,2010-01-18,8,NA
USC00457773,2010-01-19,0,NA
USC00457773,2010-01-20,0,NA
USC00457773,2010-01-21,0,NA
USC00457773,2010-01-22,0,NA
USC00457773,2010-01-23,3,NA
USC00457773,2010-01-24,20,NA
USC00457773,2010-01-25,257,NA
USC00457773,2010-01-26,0,NA
USC00457773,2010-01-27,3,NA
USC00457773,2010-01-28,0,NA
USC00457773,2010-01-29,5,NA
USC00457773,2010-01-30,25,NA
USC00457773,2010-01-31,38,NA
USC00457773,2010-02-01,18,NA
USC00457773,2010-02-02,NA,NA
USC00457773,2010-02-03,NA,NA
USC00457773,2010-02-04,33,NA
USC00457773,2010-02-05,33,NA
USC00457773,2010-02-06,0,NA
USC00457773,2010-02-07,33,NA
USC00457773,2010-02-08,5,NA
USC00457773,2010-02-09,0,NA
USC00457773,2010-02-10,0,NA
USC00457773,2010-02-11,51,NA
USC00457773,2010-02-12,46,NA
USC00457773,2010-02-13,117,NA
USC00457773,2010-02-14,86,NA
USC00457773,2010-02-15,8,NA
USC00457773,2010-02-16,81,NA
USC00457773,2010-02-17,5,NA
USC00457773,2010-02-18,0,22
USC00457773,2010-02-19,0,NA
USC00457773,2010-02-20,0,NA
USC00457773,2010-02-21,0,NA
USC00457773,2010-02-22,0,NA
USC00457773,2010-02-23,0,NA
USC00457773,2010-02-24,51,NA
USC00457773,2010-02-25,76,NA
USC00457773,2010-02-26,102,NA
USC00457773,2010-02-27,86,NA
USC00457773,2010-02-28,8,NA
USC00457773,2010-03-01,0,NA
USC00457773,2010-03-02,0,NA
USC00457773,2010-03-03,140,NA
USC00457773,2010-03-04,3,NA
USC00457773,2010-03-05,0,NA
USC00457773,2010-03-06,0,NA
USC00457773,2010-03-07,0,NA
USC00457773,2010-03-08,97,NA
USC00457773,2010-03-09,0,NA
USC00457773,2010-03-10,3,NA
USC00457773,2010-03-11,71,NA
USC00457773,2010-03-12,231,NA
USC00457773,2010-03-13,97,NA
USC00457773,2010-03-14,3,NA
USC00457773,2010-03-15,5,NA
USC00457773,2010-03-16,0,NA
USC00457773,2010-03-17,58,NA
USC00457773,2010-03-18,36,NA
USC00457773,2010-03-19,0,NA
USC00457773,2010-03-20,0,NA
USC00457773,2010-03-21,46,NA
USC00457773,2010-03-22,86,NA
USC00457773,2010-03-23,0,NA
USC00457773,2010-03-24,0,NA
USC00457773,2010-03-25,30,NA
USC00457773,2010-03-26,211,NA
USC00457773,2010-03-27,8,NA
USC00457773,2010-03-28,48,NA
USC00457773,2010-03-29,262,NA
USC00457773,2010-03-30,269,NA
USC00457773,2010-03-31,48,NA
USC00457773,2010-04-01,8,NA
USC00457773,2010-04-02,18,NA
USC00457773,2010-04-03,234,NA
USC00457773,2010-04-04,38,NA
USC00457773,2010-04-05,53,NA
USC00457773,2010-04-06,107,NA
USC00457773,2010-04-07,13,NA
USC00457773,2010-04-08,142,NA
USC00457773,2010-04-09,145,NA
USC00457773,2010-04-10,20,NA
USC00457773,2010-04-11,0,NA
USC00457773,2010-04-12,5,NA
USC00457773,2010-04-13,33,NA
USC00457773,2010-04-14,38,NA
USC00457773,2010-04-15,3,NA
USC00457773,2010-04-16,3,NA
USC00457773,2010-04-17,3,NA
USC00457773,2010-04-18,43,NA
USC00457773,2010-04-19,0,NA
USC00457773,2010-04-20,3,NA
USC00457773,2010-04-21,307,NA
USC00457773,2010-04-22,36,NA
USC00457773,2010-04-23,5,NA
USC00457773,2010-04-24,51,NA
USC00457773,2010-04-25,33,NA
USC00457773,2010-04-26,3,NA
USC00457773,2010-04-27,56,NA
USC00457773,2010-04-28,71,NA
USC00457773,2010-04-29,269,NA
USC00457773,2010-04-30,13,NA
USC00457773,2010-05-01,13,NA
USC00457773,2010-05-02,53,NA
USC00457773,2010-05-03,173,NA
USC00457773,2010-05-04,41,NA
