id,date,tmax,tmin
USR0000ASES,2010-01-01,206,22
USR0000ASES,2010-01-02,233,39
USR0000ASES,2010-01-03,233,11
USR0000ASES,2010-01-04,233,28
USR0000ASES,2010-01-05,228,22
USR0000ASES,2010-01-06,217,39
USR0000ASES,2010-01-07,222,44
USR0000ASES,2010-01-08,217,28
USR0000ASES,2010-01-09,217,28
USR0000ASES,2010-01-10,211,33
USR0000ASES,2010-01-11,233,11
USR0000ASES,2010-01-12,244,33
USR0000ASES,2010-01-13,228,61
USR0000ASES,2010-01-14,178,28
USR0000ASES,2010-01-15,211,56
USR0000ASES,2010-01-16,217,39
USR0000ASES,2010-01-17,200,50
USR0000ASES,2010-01-18,211,100
USR0000ASES,2010-01-19,178,83
USR0000ASES,2010-01-20,172,72
USR0000ASES,2010-01-21,144,94
USR0000ASES,2010-01-22,128,67
USR0000ASES,2010-01-23,122,17
USR0000ASES,2010-01-24,139,11
USR0000ASES,2010-01-25,167,11
USR0000ASES,2010-01-26,206,39
USR0000ASES,2010-01-27,172,89
USR0000ASES,2010-01-28,117,72
USR0000ASES,2010-01-29,172,72
USR0000ASES,2010-01-30,189,61
USR0000ASES,2010-01-31,189,50
USR0000ASES,2010-02-01,189,44
USR0000ASES,2010-02-02,211,67
USR0000ASES,2010-02-03,156,94
USR0000ASES,2010-02-04,172,67
USR0000ASES,2010-02-05,200,61
USR0000ASES,2010-02-06,206,56
USR0000ASES,2010-02-07,150,50
USR0000ASES,2010-02-08,150,28
USR0000ASES,2010-02-09,172,44
USR0000ASES,2010-02-10,106,39
USR0000ASES,2010-02-11,150,17
USR0000ASES,2010-02-12,183,33
USR0000ASES,2010-02-13,211,83
USR0000ASES,2010-02-14,228,72
USR0000ASES,2010-02-15,244,83
USR0000ASES,2010-02-16,233,67
USR0000ASES,2010-02-17,239,72
USR0000ASES,2010-02-18,222,67
USR0000ASES,2010-02-19,228,72
USR0000ASES,2010-02-20,133,78
USR0000ASES,2010-02-21,150,78
USR0000ASES,2010-02-22,122,33
USR0000ASES,2010-02-23,150,22
