id,date,tmax,tmin
USR0000CBAR,2010-01-01,128,100
USR0000CBAR,2010-01-02,128,83
USR0000CBAR,2010-01-03,133,61
USR0000CBAR,2010-01-04,133,56
USR0000CBAR,2010-01-05,161,44
USR0000CBAR,2010-01-06,133,44
USR0000CBAR,2010-01-07,106,39
USR0000CBAR,2010-01-08,100,44
USR0000CBAR,2010-01-09,128,56
USR0000CBAR,2010-01-10,106,61
USR0000CBAR,2010-01-11,117,50
USR0000CBAR,2010-01-12,128,100
USR0000CBAR,2010-01-13,156,83
USR0000CBAR,2010-01-14,183,50
USR0000CBAR,2010-01-15,128,72
USR0000CBAR,2010-01-16,122,67
USR0000CBAR,2010-01-17,111,78
USR0000CBAR,2010-01-18,111,89
USR0000CBAR,2010-01-19,122,72
USR0000CBAR,2010-01-20,106,61
USR0000CBAR,2010-01-21,83,28
USR0000CBAR,2010-01-22,106,33
USR0000CBAR,2010-01-23,139,50
USR0000CBAR,2010-01-24,94,56
USR0000CBAR,2010-01-25,106,72
USR0000CBAR,2010-01-26,100,61
USR0000CBAR,2010-01-27,150,61
USR0000CBAR,2010-01-28,156,39
USR0000CBAR,2010-01-29,122,72
USR0000CBAR,2010-01-30,144,61
USR0000CBAR,2010-01-31,144,39
USR0000CBAR,2010-02-01,133,67
USR0000CBAR,2010-02-02,144,56
USR0000CBAR,2010-02-03,167,72
USR0000CBAR,2010-02-04,122,78
USR0000CBAR,2010-02-05,156,89
USR0000CBAR,2010-02-06,111,78
USR0000CBAR,2010-02-07,150,61
USR0000CBAR,2010-02-08,117,50
USR0000CBAR,2010-02-09,111,56
USR0000CBAR,2010-02-10,133,56
USR0000CBAR,2010-02-11,150,56
USR0000CBAR,2010-02-12,133,94
USR0000CBAR,2010-02-13,172,72
USR0000CBAR,2010-02-14,189,67
USR0000CBAR,2010-02-15,189,83
USR0000CBAR,2010-02-16,194,83
USR0000CBAR,2010-02-17,222,89
USR0000CBAR,2010-02-18,161,72
USR0000CBAR,2010-02-19,128,72
USR0000CBAR,2010-02-20,106,72
USR0000CBAR,2010-02-21,106,72
USR0000CBAR,2010-02-22,161,39
USR0000CBAR,2010-02-23,106,56
USR0000CBAR,2010-02-24,161,89
USR0000CBAR,2010-02-25,183,78
USR0000CBAR,2010-02-26,139,89
USR0000CBAR,2010-02-27,150,72
USR0000CBAR,2010-02-28,200,61
USR0000CBAR,2010-03-01,122,67
USR0000CBAR,2010-03-02,133,83
USR0000CBAR,2010-03-03,128,39
USR0000CBAR,2010-03-04,128,22
USR0000CBAR,2010-03-05,117,33
USR0000CBAR,2010-03-06,189,67
USR0000CBAR,2010-03-07,150,83
USR0000CBAR,2010-03-08,111,39
USR0000CBAR,2010-03-09,111,28
USR0000CBAR,2010-03-10,122,22
USR0000CBAR,2010-03-11,156,22
USR0000CBAR,2010-03-12,106,33
USR0000CBAR,2010-03-13,144,28
USR0000CBAR,2010-03-14,172,44
USR0000CBAR,2010-03-15,206,50
USR0000CBAR,2010-03-16,228,89
USR0000CBAR,2010-03-17,239,78
USR0000CBAR,2010-03-18,250,89
USR0000CBAR,2010-03-19,283,100
USR0000CBAR,2010-03-20,211,61
USR0000CBAR,2010-03-21,167,67
USR0000CBAR,2010-03-22,161,78
USR0000CBAR,2010-03-23,228,67
USR0000CBAR,2010-03-24,178,67
USR0000CBAR,2010-03-25,133,56
USR0000CBAR,2010-03-26,161,39
USR0000CBAR,2010-03-27,228,56
USR0000CBAR,2010-03-28,211,61
USR0000CBAR,2010-03-29,139,106
USR0000CBAR,2010-03-30,133,44
USR0000CBAR,2010-03-31,117,33
USR0000CBAR,2010-04-01,133,39
USR0000CBAR,2010-04-02,111,50
USR0000CBAR,2010-04-03,122,39
USR0000CBAR,2010-04-04,89,39
USR0000CBAR,2010-04-05,133,22
USR0000CBAR,2010-04-06,150,39
USR0000CBAR,2010-04-07,217,61
USR0000CBAR,2010-04-08,139,56
USR0000CBAR,2010-04-09,206,56
USR0000CBAR,2010-04-10,144,83
USR0000CBAR,2010-04-11,100,56
USR0000CBAR,2010-04-12,139,72
USR0000CBAR,2010-04-13,150,56
USR0000CBAR,2010-04-14,144,50
USR0000CBAR,2010-04-15,183,50
USR0000CBAR,2010-04-16,211,72
USR0000CBAR,2010-04-17,206,78
USR0000CBAR,2010-04-18,244,67
USR0000CBAR,2010-04-19,150,61
USR0000CBAR,2010-04-20,122,72
USR0000CBAR,2010-04-21,133,61
USR0000CBAR,2010-04-22,194,56
USR0000CBAR,2010-04-23,200,72
USR0000CBAR,2010-04-24,172,67
USR0000CBAR,2010-04-25,256,72
USR0000CBAR,2010-04-26,200,78
USR0000CBAR,2010-04-27,133,83
USR0000CBAR,2010-04-28,122,50
USR0000CBAR,2010-04-29,122,50
USR0000CBAR,2010-04-30,161,50
USR0000CBAR,2010-05-01,150,61
USR0000CBAR,2010-05-02,217,56
USR0000CBAR,2010-05-03,228,78
USR0000CBAR,2010-05-04,200,67
USR0000CBAR,2010-05-05,150,-356
USR0000CBAR,2010-05-06,194,44
USR0000CBAR,2010-05-07,161,56
USR0000CBAR,2010-05-08,156,78
USR0000CBAR,2010-05-09,144,83
USR0000CBAR,2010-05-10,122,56
USR0000CBAR,2010-05-11,161,44
USR0000CBAR,2010-05-12,194,72
USR0000CBAR,2010-05-13,211,56
USR0000CBAR,2010-05-14,194,72
USR0000CBAR,2010-05-15,217,72
USR0000CBAR,2010-05-16,161,67
USR0000CBAR,2010-05-17,117,83
USR0000CBAR,2010-05-18,189,89
USR0000CBAR,2010-05-19,189,78
USR0000CBAR,2010-05-20,161,67
USR0000CBAR,2010-05-21,139,61
USR0000CBAR,2010-05-22,133,50
USR0000CBAR,2010-05-23,150,44
USR0000CBAR,2010-05-24,161,78
USR0000CBAR,2010-05-25,111,94
USR0000CBAR,2010-05-26,172,78
USR0000CBAR,2010-05-27,156,78
USR0000CBAR,2010-05-28,167,72
USR0000CBAR,2010-05-29,233,78
USR0000CBAR,2010-05-30,278,83
USR0000CBAR,2010-05-31,189,94
USR0000CBAR,2010-06-01,183,94
USR0000CBAR,2010-06-02,222,100
USR0000CBAR,2010-06-03,228,133
USR0000CBAR,2010-06-04,239,133
USR0000CBAR,2010-06-05,256,128
USR0000CBAR,2010-06-06,233,111
USR0000CBAR,2010-06-07,189,94
USR0000CBAR,2010-06-08,178,89
USR0000CBAR,2010-06-09,156,100
USR0000CBAR,2010-06-10,156,89
USR0000CBAR,2010-06-11,228,78
USR0000CBAR,2010-06-12,306,150
USR0000CBAR,2010-06-13,311,106
USR0000CBAR,2010-06-14,244,72
USR0000CBAR,2010-06-15,172,72
USR0000CBAR,2010-06-16,228,61
USR0000CBAR,2010-06-17,244,72
USR0000CBAR,2010-06-18,178,56
USR0000CBAR,2010-06-19,156,78
USR0000CBAR,2010-06-20,206,78
USR0000CBAR,2010-06-21,267,89
USR0000CBAR,2010-06-22,261,89
USR0000CBAR,2010-06-23,244,78
USR0000CBAR,2010-06-24,139,83
USR0000CBAR,2010-06-25,239,89
USR0000CBAR,2010-06-26,256,89
USR0000CBAR,2010-06-27,350,106
USR0000CBAR,2010-06-28,306,133
USR0000CBAR,2010-06-29,239,106
USR0000CBAR,2010-06-30,183,89
USR0000CBAR,2010-07-01,161,72
USR0000CBAR,2010-07-02,228,89
USR0000CBAR,2010-07-03,294,89
USR0000CBAR,2010-07-04,300,100
USR0000CBAR,2010-07-05,261,78
USR0000CBAR,2010-07-06,172,100
USR0000CBAR,2010-07-07,217,100
USR0000CBAR,2010-07-08,189,94
USR0000CBAR,2010-07-09,206,89
USR0000CBAR,2010-07-10,256,94
USR0000CBAR,2010-07-11,261,100
USR0000CBAR,2010-07-12,194,106
USR0000CBAR,2010-07-13,250,111
USR0000CBAR,2010-07-14,300,106
USR0000CBAR,2010-07-15,300,144
USR0000CBAR,2010-07-16,267,100
USR0000CBAR,2010-07-17,283,100
USR0000CBAR,2010-07-18,261,89
USR0000CBAR,2010-07-19,233,83
USR0000CBAR,2010-07-20,222,78
USR0000CBAR,2010-07-21,194,67
USR0000CBAR,2010-07-22,233,89
USR0000CBAR,2010-07-23,261,83
USR0000CBAR,2010-07-24,244,94
USR0000CBAR,2010-07-25,211,89
USR0000CBAR,2010-07-26,144,100
USR0000CBAR,2010-07-27,200,100
USR0000CBAR,2010-07-28,228,94
USR0000CBAR,2010-07-29,244,89
USR0000CBAR,2010-07-30,233,89
USR0000CBAR,2010-07-31,267,72
USR0000CBAR,2010-08-01,250,89
USR0000CBAR,2010-08-02,244,78
USR0000CBAR,2010-08-03,261,78
USR0000CBAR,2010-08-04,228,89
USR0000CBAR,2010-08-05,217,78
USR0000CBAR,2010-08-06,250,83
USR0000CBAR,2010-08-07,239,83
USR0000CBAR,2010-08-08,233,83
USR0000CBAR,2010-08-09,239,94
USR0000CBAR,2010-08-10,217,94
USR0000CBAR,2010-08-11,167,94
USR0000CBAR,2010-08-12,261,89
USR0000CBAR,2010-08-13,239,78
USR0000CBAR,2010-08-14,211,100
USR0000CBAR,2010-08-15,200,100
USR0000CBAR,2010-08-16,239,94
USR0000CBAR,2010-08-17,206,100
USR0000CBAR,2010-08-18,211,100
USR0000CBAR,2010-08-19,283,83
USR0000CBAR,2010-08-20,228,78
USR0000CBAR,2010-08-21,172,94
USR0000CBAR,2010-08-22,261,94
USR0000CBAR,2010-08-23,350,178
USR0000CBAR,2010-08-24,406,217
USR0000CBAR,2010-08-25,383,133
USR0000CBAR,2010-08-26,233,106
USR0000CBAR,2010-08-27,228,89
USR0000CBAR,2010-08-28,172,94
USR0000CBAR,2010-08-29,233,72
USR0000CBAR,2010-08-30,206,78
USR0000CBAR,2010-08-31,289,117
USR0000CBAR,2010-09-01,344,161
USR0000CBAR,2010-09-02,361,133
USR0000CBAR,2010-09-03,300,94
USR0000CBAR,2010-09-04,256,94
USR0000CBAR,2010-09-05,283,89
USR0000CBAR,2010-09-06,339,122
USR0000CBAR,2010-09-07,200,89
USR0000CBAR,2010-09-08,183,100
USR0000CBAR,2010-09-09,228,89
USR0000CBAR,2010-09-10,283,106
USR0000CBAR,2010-09-11,306,133
USR0000CBAR,2010-09-12,239,83
USR0000CBAR,2010-09-13,206,94
USR0000CBAR,2010-09-14,222,72
USR0000CBAR,2010-09-15,228,72
USR0000CBAR,2010-09-16,233,128
USR0000CBAR,2010-09-17,189,139
USR0000CBAR,2010-09-18,211,139
USR0000CBAR,2010-09-19,200,128
USR0000CBAR,2010-09-20,239,106
USR0000CBAR,2010-09-21,189,111
USR0000CBAR,2010-09-22,183,100
USR0000CBAR,2010-09-23,256,94
USR0000CBAR,2010-09-24,322,150
USR0000CBAR,2010-09-25,350,139
USR0000CBAR,2010-09-26,328,128
USR0000CBAR,2010-09-27,400,178
USR0000CBAR,2010-09-28,394,211
USR0000CBAR,2010-09-29,367,172
USR0000CBAR,2010-09-30,261,111
USR0000CBAR,2010-10-01,194,111
USR0000CBAR,2010-10-02,261,100
USR0000CBAR,2010-10-03,161,106
USR0000CBAR,2010-10-04,178,94
USR0000CBAR,2010-10-05,250,100
USR0000CBAR,2010-10-06,239,106
USR0000CBAR,2010-10-07,222,100
USR0000CBAR,2010-10-08,233,83
USR0000CBAR,2010-10-09,250,111
USR0000CBAR,2010-10-10,256,128
USR0000CBAR,2010-10-11,311,117
USR0000CBAR,2010-10-12,344,178
USR0000CBAR,2010-10-13,356,189
USR0000CBAR,2010-10-14,361,200
USR0000CBAR,2010-10-15,300,89
USR0000CBAR,2010-10-16,178,72
USR0000CBAR,2010-10-17,117,89
USR0000CBAR,2010-10-18,217,78
USR0000CBAR,2010-10-19,244,78
USR0000CBAR,2010-10-20,194,67
USR0000CBAR,2010-10-21,183,100
USR0000CBAR,2010-10-22,139,89
USR0000CBAR,2010-10-23,139,100
USR0000CBAR,2010-10-24,161,122
USR0000CBAR,2010-10-25,172,89
USR0000CBAR,2010-10-26,178,72
USR0000CBAR,2010-10-27,156,61
USR0000CBAR,2010-10-28,183,106
USR0000CBAR,2010-10-29,133,94
USR0000CBAR,2010-10-30,133,89
USR0000CBAR,2010-10-31,200,100
USR0000CBAR,2010-11-01,228,94
USR0000CBAR,2010-11-02,261,122
USR0000CBAR,2010-11-03,256,144
USR0000CBAR,2010-11-04,261,156
USR0000CBAR,2010-11-05,178,111
USR0000CBAR,2010-11-06,172,94
USR0000CBAR,2010-11-07,150,94
USR0000CBAR,2010-11-08,144,56
USR0000CBAR,2010-11-09,156,56
USR0000CBAR,2010-11-10,156,78
USR0000CBAR,2010-11-11,211,83
USR0000CBAR,2010-11-12,200,78
USR0000CBAR,2010-11-13,239,100
USR0000CBAR,2010-11-14,272,144
USR0000CBAR,2010-11-15,272,144
USR0000CBAR,2010-11-16,217,111
USR0000CBAR,2010-11-17,239,56
USR0000CBAR,2010-11-18,150,33
USR0000CBAR,2010-11-19,122,44
USR0000CBAR,2010-11-20,111,44
USR0000CBAR,2010-11-21,106,44
USR0000CBAR,2010-11-22,133,61
USR0000CBAR,2010-11-23,100,33
USR0000CBAR,2010-11-24,106,0
USR0000CBAR,2010-11-25,133,17
USR0000CBAR,2010-11-26,122,22
USR0000CBAR,2010-11-27,94,44
USR0000CBAR,2010-11-28,111,28
USR0000CBAR,2010-11-29,150,11
USR0000CBAR,2010-11-30,100,28
USR0000CBAR,2010-12-01,144,39
USR0000CBAR,2010-12-02,133,67
USR0000CBAR,2010-12-03,100,67
USR0000CBAR,2010-12-04,128,78
USR0000CBAR,2010-12-05,111,83
USR0000CBAR,2010-12-06,139,78
USR0000CBAR,2010-12-07,178,78
USR0000CBAR,2010-12-08,122,100
USR0000CBAR,2010-12-09,189,111
USR0000CBAR,2010-12-10,167,117
USR0000CBAR,2010-12-11,211,111
USR0000CBAR,2010-12-12,128,106
USR0000CBAR,2010-12-13,144,100
USR0000CBAR,2010-12-14,133,78
USR0000CBAR,2010-12-15,128,33
USR0000CBAR,2010-12-16,117,28
USR0000CBAR,2010-12-17,111,56
USR0000CBAR,2010-12-18,122,106
USR0000CBAR,2010-12-19,111,67
USR0000CBAR,2010-12-20,94,61
USR0000CBAR,2010-12-21,111,72
USR0000CBAR,2010-12-22,111,61
USR0000CBAR,2010-12-23,161,33
USR0000CBAR,2010-12-24,139,56
USR0000CBAR,2010-12-25,106,72
USR0000CBAR,2010-12-26,117,83
USR0000CBAR,2010-12-27,139,56
USR0000CBAR,2010-12-28,122,78
USR0000CBAR,2010-12-29,106,28
USR0000CBAR,2010-12-30,100,22
USR0000CBAR,2010-12-31,61,11
USR0000CBAR,2011-01-01,56,33
USR0000CBAR,2011-01-02,72,50
USR0000CBAR,2011-01-03,128,33
USR0000CBAR,2011-01-04,133,28
USR0000CBAR,2011-01-05,133,28
USR0000CBAR,2011-01-06,117,17
USR0000CBAR,2011-01-07,78,11
USR0000CBAR,2011-01-08,72,28
USR0000CBAR,2011-01-09,111,6
USR0000CBAR,2011-01-10,89,6
USR0000CBAR,2011-01-11,61,28
USR0000CBAR,2011-01-12,139,50
USR0000CBAR,2011-01-13,133,72
USR0000CBAR,2011-01-14,183,89
USR0000CBAR,2011-01-15,222,89
USR0000CBAR,2011-01-16,211,67
USR0000CBAR,2011-01-17,194,83
USR0000CBAR,2011-01-18,222,50
USR0000CBAR,2011-01-19,156,83
USR0000CBAR,2011-01-20,194,78
USR0000CBAR,2011-01-21,211,78
USR0000CBAR,2011-01-22,206,89
USR0000CBAR,2011-01-23,222,83
USR0000CBAR,2011-01-24,200,78
