id,date,tmax,tmin
USR0000CBDR,2010-01-01,78,-28
USR0000CBDR,2010-01-02,106,-11
USR0000CBDR,2010-01-03,28,-72
USR0000CBDR,2010-01-04,61,-78
USR0000CBDR,2010-01-05,67,0
USR0000CBDR,2010-01-06,44,-167
USR0000CBDR,2010-01-07,-61,-189
USR0000CBDR,2010-01-08,72,-161
USR0000CBDR,2010-01-09,106,-6
USR0000CBDR,2010-01-10,122,0
USR0000CBDR,2010-01-11,117,-11
USR0000CBDR,2010-01-12,167,6
USR0000CBDR,2010-01-13,128,-6
USR0000CBDR,2010-01-14,67,-17
USR0000CBDR,2010-01-15,78,-28
USR0000CBDR,2010-01-16,167,22
USR0000CBDR,2010-01-17,111,11
USR0000CBDR,2010-01-18,106,6
USR0000CBDR,2010-01-19,67,-17
USR0000CBDR,2010-01-20,17,-39
USR0000CBDR,2010-01-21,44,-33
USR0000CBDR,2010-01-22,111,-28
USR0000CBDR,2010-01-23,61,-39
USR0000CBDR,2010-01-24,11,-28
USR0000CBDR,2010-01-25,33,-67
USR0000CBDR,2010-01-26,44,-67
USR0000CBDR,2010-01-27,44,-39
USR0000CBDR,2010-01-28,-22,-61
USR0000CBDR,2010-01-29,72,-61
USR0000CBDR,2010-01-30,94,-44
USR0000CBDR,2010-01-31,56,-56
USR0000CBDR,2010-02-01,67,-44
USR0000CBDR,2010-02-02,67,-50
USR0000CBDR,2010-02-03,78,-6
USR0000CBDR,2010-02-04,61,-22
USR0000CBDR,2010-02-05,83,-33
USR0000CBDR,2010-02-06,50,-61
USR0000CBDR,2010-02-07,-17,-56
USR0000CBDR,2010-02-08,-61,-83
USR0000CBDR,2010-02-09,6,-94
USR0000CBDR,2010-02-10,50,-89
USR0000CBDR,2010-02-11,39,-56
USR0000CBDR,2010-02-12,50,-44
USR0000CBDR,2010-02-13,56,-33
USR0000CBDR,2010-02-14,-33,-122
USR0000CBDR,2010-02-15,6,-122
USR0000CBDR,2010-02-16,39,-100
USR0000CBDR,2010-02-17,56,-28
USR0000CBDR,2010-02-18,33,-67
USR0000CBDR,2010-02-19,-11,-83
USR0000CBDR,2010-02-20,-67,-78
USR0000CBDR,2010-02-21,NA,NA
USR0000CBDR,2010-02-22,-11,-128
USR0000CBDR,2010-02-23,78,-100
USR0000CBDR,2010-02-24,106,-22
USR0000CBDR,2010-02-25,72,-33
USR0000CBDR,2010-02-26,83,-72
USR0000CBDR,2010-02-27,106,-44
USR0000CBDR,2010-02-28,67,-33
USR0000CBDR,2010-03-01,78,-44
USR0000CBDR,2010-03-02,117,-28
USR0000CBDR,2010-03-03,111,-11
USR0000CBDR,2010-03-04,111,6
USR0000CBDR,2010-03-05,72,-17
USR0000CBDR,2010-03-06,111,-22
USR0000CBDR,2010-03-07,89,-28
USR0000CBDR,2010-03-08,56,11
USR0000CBDR,2010-03-09,106,-17
USR0000CBDR,2010-03-10,61,-39
USR0000CBDR,2010-03-11,67,-56
USR0000CBDR,2010-03-12,122,-17
USR0000CBDR,2010-03-13,128,-11
USR0000CBDR,2010-03-14,6,-28
USR0000CBDR,2010-03-15,94,-50
USR0000CBDR,2010-03-16,150,-6
USR0000CBDR,2010-03-17,189,17
USR0000CBDR,2010-03-18,161,-11
USR0000CBDR,2010-03-19,-17,-100
USR0000CBDR,2010-03-20,56,-133
USR0000CBDR,2010-03-21,161,-17
USR0000CBDR,2010-03-22,150,28
USR0000CBDR,2010-03-23,56,-33
USR0000CBDR,2010-03-24,78,-44
USR0000CBDR,2010-03-25,111,-50
USR0000CBDR,2010-03-26,72,-22
USR0000CBDR,2010-03-27,83,-22
USR0000CBDR,2010-03-28,156,-6
USR0000CBDR,2010-03-29,189,50
USR0000CBDR,2010-03-30,244,72
USR0000CBDR,2010-03-31,128,28
USR0000CBDR,2010-04-01,100,-17
USR0000CBDR,2010-04-02,56,-28
USR0000CBDR,2010-04-03,89,-22
USR0000CBDR,2010-04-04,144,-22
USR0000CBDR,2010-04-05,156,-17
USR0000CBDR,2010-04-06,44,-6
USR0000CBDR,2010-04-07,78,-28
USR0000CBDR,2010-04-08,156,-33
USR0000CBDR,2010-04-09,161,22
USR0000CBDR,2010-04-10,100,0
USR0000CBDR,2010-04-11,189,0
USR0000CBDR,2010-04-12,211,67
USR0000CBDR,2010-04-13,133,22
USR0000CBDR,2010-04-14,178,6
USR0000CBDR,2010-04-15,172,33
USR0000CBDR,2010-04-16,78,28
USR0000CBDR,2010-04-17,111,22
USR0000CBDR,2010-04-18,183,28
USR0000CBDR,2010-04-19,206,56
USR0000CBDR,2010-04-20,150,50
USR0000CBDR,2010-04-21,117,28
USR0000CBDR,2010-04-22,128,11
USR0000CBDR,2010-04-23,33,0
USR0000CBDR,2010-04-24,139,0
USR0000CBDR,2010-04-25,133,-17
USR0000CBDR,2010-04-26,100,-33
USR0000CBDR,2010-04-27,178,-11
USR0000CBDR,2010-04-28,211,17
USR0000CBDR,2010-04-29,83,-22
USR0000CBDR,2010-04-30,78,-33
USR0000CBDR,2010-05-01,133,-11
USR0000CBDR,2010-05-02,67,0
USR0000CBDR,2010-05-03,150,0
USR0000CBDR,2010-05-04,183,78
USR0000CBDR,2010-05-05,150,0
USR0000CBDR,2010-05-06,94,-17
USR0000CBDR,2010-05-07,106,-50
USR0000CBDR,2010-05-08,106,-28
USR0000CBDR,2010-05-09,178,28
USR0000CBDR,2010-05-10,150,17
USR0000CBDR,2010-05-11,22,0
USR0000CBDR,2010-05-12,33,-17
USR0000CBDR,2010-05-13,117,-39
USR0000CBDR,2010-05-14,100,0
USR0000CBDR,2010-05-15,133,28
USR0000CBDR,2010-05-16,167,11
USR0000CBDR,2010-05-17,200,50
USR0000CBDR,2010-05-18,172,50
USR0000CBDR,2010-05-19,183,28
USR0000CBDR,2010-05-20,183,50
USR0000CBDR,2010-05-21,206,72
USR0000CBDR,2010-05-22,272,56
USR0000CBDR,2010-05-23,183,33
USR0000CBDR,2010-05-24,206,61
USR0000CBDR,2010-05-25,183,56
USR0000CBDR,2010-05-26,200,56
USR0000CBDR,2010-05-27,261,106
USR0000CBDR,2010-05-28,289,150
USR0000CBDR,2010-05-29,211,56
USR0000CBDR,2010-05-30,189,39
USR0000CBDR,2010-05-31,239,72
USR0000CBDR,2010-06-01,244,89
USR0000CBDR,2010-06-02,222,83
USR0000CBDR,2010-06-03,250,128
USR0000CBDR,2010-06-04,306,144
USR0000CBDR,2010-06-05,233,144
USR0000CBDR,2010-06-06,283,111
USR0000CBDR,2010-06-07,322,133
USR0000CBDR,2010-06-08,217,122
USR0000CBDR,2010-06-09,256,100
USR0000CBDR,2010-06-10,244,128
USR0000CBDR,2010-06-11,194,89
USR0000CBDR,2010-06-12,78,61
USR0000CBDR,2010-06-13,83,61
USR0000CBDR,2010-06-14,161,50
USR0000CBDR,2010-06-15,228,89
USR0000CBDR,2010-06-16,272,106
USR0000CBDR,2010-06-17,272,122
USR0000CBDR,2010-06-18,256,89
USR0000CBDR,2010-06-19,233,117
USR0000CBDR,2010-06-20,222,128
USR0000CBDR,2010-06-21,256,106
USR0000CBDR,2010-06-22,272,128
USR0000CBDR,2010-06-23,222,89
USR0000CBDR,2010-06-24,311,111
USR0000CBDR,2010-06-25,322,167
USR0000CBDR,2010-06-26,289,128
USR0000CBDR,2010-06-27,233,100
USR0000CBDR,2010-06-28,278,133
USR0000CBDR,2010-06-29,283,150
USR0000CBDR,2010-06-30,294,150
USR0000CBDR,2010-07-01,272,144
USR0000CBDR,2010-07-02,272,156
USR0000CBDR,2010-07-03,294,150
USR0000CBDR,2010-07-04,228,89
USR0000CBDR,2010-07-05,267,78
USR0000CBDR,2010-07-06,272,106
USR0000CBDR,2010-07-07,172,100
USR0000CBDR,2010-07-08,183,72
USR0000CBDR,2010-07-09,233,106
USR0000CBDR,2010-07-10,278,144
USR0000CBDR,2010-07-11,267,139
USR0000CBDR,2010-07-12,306,133
USR0000CBDR,2010-07-13,339,172
USR0000CBDR,2010-07-14,322,156
USR0000CBDR,2010-07-15,283,133
USR0000CBDR,2010-07-16,317,178
USR0000CBDR,2010-07-17,339,183
USR0000CBDR,2010-07-18,300,167
USR0000CBDR,2010-07-19,339,172
USR0000CBDR,2010-07-20,211,128
USR0000CBDR,2010-07-21,261,161
USR0000CBDR,2010-07-22,294,156
USR0000CBDR,2010-07-23,333,178
USR0000CBDR,2010-07-24,250,144
USR0000CBDR,2010-07-25,278,139
USR0000CBDR,2010-07-26,317,167
USR0000CBDR,2010-07-27,317,189
USR0000CBDR,2010-07-28,267,156
USR0000CBDR,2010-07-29,283,161
USR0000CBDR,2010-07-30,289,150
USR0000CBDR,2010-07-31,283,150
USR0000CBDR,2010-08-01,283,156
USR0000CBDR,2010-08-02,261,144
USR0000CBDR,2010-08-03,272,144
USR0000CBDR,2010-08-04,261,128
USR0000CBDR,2010-08-05,261,133
USR0000CBDR,2010-08-06,256,139
USR0000CBDR,2010-08-07,294,144
USR0000CBDR,2010-08-08,278,139
USR0000CBDR,2010-08-09,250,133
USR0000CBDR,2010-08-10,289,122
USR0000CBDR,2010-08-11,306,161
USR0000CBDR,2010-08-12,300,156
USR0000CBDR,2010-08-13,272,150
USR0000CBDR,2010-08-14,228,122
USR0000CBDR,2010-08-15,250,111
USR0000CBDR,2010-08-16,222,106
USR0000CBDR,2010-08-17,272,100
USR0000CBDR,2010-08-18,339,172
USR0000CBDR,2010-08-19,283,122
USR0000CBDR,2010-08-20,283,156
USR0000CBDR,2010-08-21,311,156
USR0000CBDR,2010-08-22,311,172
USR0000CBDR,2010-08-23,294,144
USR0000CBDR,2010-08-24,228,111
USR0000CBDR,2010-08-25,278,128
USR0000CBDR,2010-08-26,322,161
USR0000CBDR,2010-08-27,317,194
USR0000CBDR,2010-08-28,306,183
USR0000CBDR,2010-08-29,289,172
USR0000CBDR,2010-08-30,267,133
USR0000CBDR,2010-08-31,239,106
USR0000CBDR,2010-09-01,294,100
USR0000CBDR,2010-09-02,178,72
USR0000CBDR,2010-09-03,228,56
USR0000CBDR,2010-09-04,311,133
USR0000CBDR,2010-09-05,306,167
USR0000CBDR,2010-09-06,228,78
USR0000CBDR,2010-09-07,244,61
USR0000CBDR,2010-09-08,261,106
USR0000CBDR,2010-09-09,289,117
USR0000CBDR,2010-09-10,217,100
USR0000CBDR,2010-09-11,256,89
USR0000CBDR,2010-09-12,267,128
USR0000CBDR,2010-09-13,294,133
USR0000CBDR,2010-09-14,289,139
USR0000CBDR,2010-09-15,278,106
USR0000CBDR,2010-09-16,294,83
USR0000CBDR,2010-09-17,261,133
USR0000CBDR,2010-09-18,167,78
USR0000CBDR,2010-09-19,306,111
USR0000CBDR,2010-09-20,294,161
USR0000CBDR,2010-09-21,217,72
USR0000CBDR,2010-09-22,222,100
USR0000CBDR,2010-09-23,228,106
USR0000CBDR,2010-09-24,244,106
USR0000CBDR,2010-09-25,239,111
USR0000CBDR,2010-09-26,283,117
USR0000CBDR,2010-09-27,283,139
USR0000CBDR,2010-09-28,294,128
USR0000CBDR,2010-09-29,261,106
USR0000CBDR,2010-09-30,217,78
USR0000CBDR,2010-10-01,239,94
USR0000CBDR,2010-10-02,172,56
USR0000CBDR,2010-10-03,233,128
USR0000CBDR,2010-10-04,250,133
USR0000CBDR,2010-10-05,244,122
USR0000CBDR,2010-10-06,161,106
USR0000CBDR,2010-10-07,222,94
USR0000CBDR,2010-10-08,200,78
USR0000CBDR,2010-10-09,139,56
USR0000CBDR,2010-10-10,111,72
USR0000CBDR,2010-10-11,178,44
USR0000CBDR,2010-10-12,94,22
USR0000CBDR,2010-10-13,150,28
USR0000CBDR,2010-10-14,228,61
USR0000CBDR,2010-10-15,256,100
USR0000CBDR,2010-10-16,167,56
USR0000CBDR,2010-10-17,217,67
USR0000CBDR,2010-10-18,117,22
USR0000CBDR,2010-10-19,200,33
USR0000CBDR,2010-10-20,194,50
USR0000CBDR,2010-10-21,194,67
USR0000CBDR,2010-10-22,111,61
USR0000CBDR,2010-10-23,133,39
USR0000CBDR,2010-10-24,133,50
USR0000CBDR,2010-10-25,122,0
USR0000CBDR,2010-10-26,44,-17
USR0000CBDR,2010-10-27,72,-11
USR0000CBDR,2010-10-28,144,0
USR0000CBDR,2010-10-29,228,83
USR0000CBDR,2010-10-30,206,83
USR0000CBDR,2010-10-31,133,33
USR0000CBDR,2010-11-01,139,11
USR0000CBDR,2010-11-02,183,33
USR0000CBDR,2010-11-03,139,33
USR0000CBDR,2010-11-04,139,-22
USR0000CBDR,2010-11-05,217,67
USR0000CBDR,2010-11-06,222,89
USR0000CBDR,2010-11-07,194,67
USR0000CBDR,2010-11-08,189,67
USR0000CBDR,2010-11-09,89,-44
USR0000CBDR,2010-11-10,17,-61
USR0000CBDR,2010-11-11,-17,-44
USR0000CBDR,2010-11-12,50,-89
USR0000CBDR,2010-11-13,28,-50
USR0000CBDR,2010-11-14,61,-72
USR0000CBDR,2010-11-15,44,-28
USR0000CBDR,2010-11-16,72,-22
USR0000CBDR,2010-11-17,44,-50
USR0000CBDR,2010-11-18,161,50
USR0000CBDR,2010-11-19,156,-39
USR0000CBDR,2010-11-20,161,-56
USR0000CBDR,2010-11-21,94,-39
USR0000CBDR,2010-11-22,11,-39
USR0000CBDR,2010-11-23,67,-67
USR0000CBDR,2010-11-24,0,-122
USR0000CBDR,2010-11-25,17,-111
USR0000CBDR,2010-11-26,67,-33
USR0000CBDR,2010-11-27,128,6
USR0000CBDR,2010-11-28,94,-39
USR0000CBDR,2010-11-29,-28,-111
USR0000CBDR,2010-11-30,22,-78
USR0000CBDR,2010-12-01,128,6
USR0000CBDR,2010-12-02,117,28
USR0000CBDR,2010-12-03,133,-22
USR0000CBDR,2010-12-04,28,-67
USR0000CBDR,2010-12-05,28,-61
USR0000CBDR,2010-12-06,72,-17
USR0000CBDR,2010-12-07,89,-6
USR0000CBDR,2010-12-08,156,-6
USR0000CBDR,2010-12-09,128,44
USR0000CBDR,2010-12-10,106,-17
USR0000CBDR,2010-12-11,33,-89
USR0000CBDR,2010-12-12,100,-83
USR0000CBDR,2010-12-13,161,61
USR0000CBDR,2010-12-14,150,50
USR0000CBDR,2010-12-15,94,-44
USR0000CBDR,2010-12-16,11,-89
USR0000CBDR,2010-12-17,-61,-94
USR0000CBDR,2010-12-18,17,-111
USR0000CBDR,2010-12-19,89,28
USR0000CBDR,2010-12-20,83,-17
USR0000CBDR,2010-12-21,-11,-44
USR0000CBDR,2010-12-22,39,-61
USR0000CBDR,2010-12-23,133,-44
USR0000CBDR,2010-12-24,50,-33
USR0000CBDR,2010-12-25,94,-50
USR0000CBDR,2010-12-26,117,-6
USR0000CBDR,2010-12-27,67,-17
USR0000CBDR,2010-12-28,67,-50
USR0000CBDR,2010-12-29,100,-6
USR0000CBDR,2010-12-30,0,-178
USR0000CBDR,2010-12-31,-117,-183
USR0000CBDR,2011-01-01,-61,-150
USR0000CBDR,2011-01-02,61,-72
USR0000CBDR,2011-01-03,6,-111
USR0000CBDR,2011-01-04,61,-111
USR0000CBDR,2011-01-05,56,-17
