id,date,tmax,tmin
USR0000CBEV,2010-05-01,NA,NA
USR0000CBEV,2010-05-02,NA,NA
USR0000CBEV,2010-05-03,NA,NA
USR0000CBEV,2010-05-04,NA,NA
USR0000CBEV,2010-05-05,NA,NA
USR0000CBEV,2010-05-06,NA,NA
USR0000CBEV,2010-05-07,NA,NA
USR0000CBEV,2010-05-08,NA,NA
USR0000CBEV,2010-05-09,NA,NA
USR0000CBEV,2010-05-10,NA,NA
USR0000CBEV,2010-05-11,NA,NA
USR0000CBEV,2010-05-12,NA,NA
USR0000CBEV,2010-05-13,NA,NA
USR0000CBEV,2010-05-14,NA,NA
USR0000CBEV,2010-05-15,NA,NA
USR0000CBEV,2010-05-16,NA,NA
USR0000CBEV,2010-05-17,NA,NA
USR0000CBEV,2010-05-18,NA,NA
USR0000CBEV,2010-05-19,NA,NA
USR0000CBEV,2010-05-20,NA,NA
USR0000CBEV,2010-05-21,NA,NA
USR0000CBEV,2010-05-22,NA,NA
USR0000CBEV,2010-05-23,NA,NA
USR0000CBEV,2010-05-24,NA,NA
USR0000CBEV,2010-05-25,NA,NA
USR0000CBEV,2010-05-26,NA,NA
USR0000CBEV,2010-05-27,NA,NA
USR0000CBEV,2010-05-28,NA,NA
USR0000CBEV,2010-05-29,NA,NA
USR0000CBEV,2010-05-30,-356,-356
USR0000CBEV,2010-05-31,283,-356
USR0000CBEV,2010-06-01,250,-356
USR0000CBEV,2010-06-02,278,-356
USR0000CBEV,2010-06-03,283,-356
USR0000CBEV,2010-06-04,306,128
USR0000CBEV,2010-06-05,317,128
USR0000CBEV,2010-06-06,317,144
USR0000CBEV,2010-06-07,272,139
USR0000CBEV,2010-06-08,267,139
USR0000CBEV,2010-06-09,267,128
USR0000CBEV,2010-06-10,267,128
USR0000CBEV,2010-06-11,256,122
USR0000CBEV,2010-06-12,278,122
USR0000CBEV,2010-06-13,278,122
USR0000CBEV,2010-06-14,311,139
USR0000CBEV,2010-06-15,294,133
USR0000CBEV,2010-06-16,278,122
USR0000CBEV,2010-06-17,289,111
USR0000CBEV,2010-06-18,283,117
USR0000CBEV,2010-06-19,289,-356
USR0000CBEV,2010-06-20,283,111
USR0000CBEV,2010-06-21,261,111
USR0000CBEV,2010-06-22,289,117
USR0000CBEV,2010-06-23,294,111
USR0000CBEV,2010-06-24,306,128
