id,date,tmax,tmin
USR0000CCOA,2010-01-01,233,83
USR0000CCOA,2010-01-02,272,133
USR0000CCOA,2010-01-03,267,94
USR0000CCOA,2010-01-04,239,72
USR0000CCOA,2010-01-05,272,94
USR0000CCOA,2010-01-06,261,67
USR0000CCOA,2010-01-07,250,50
USR0000CCOA,2010-01-08,250,100
USR0000CCOA,2010-01-09,244,117
USR0000CCOA,2010-01-10,261,100
USR0000CCOA,2010-01-11,272,111
USR0000CCOA,2010-01-12,250,94
USR0000CCOA,2010-01-13,172,89
USR0000CCOA,2010-01-14,228,61
USR0000CCOA,2010-01-15,228,100
USR0000CCOA,2010-01-16,211,72
USR0000CCOA,2010-01-17,189,72
USR0000CCOA,2010-01-18,150,78
USR0000CCOA,2010-01-19,133,67
USR0000CCOA,2010-01-20,128,78
USR0000CCOA,2010-01-21,122,83
USR0000CCOA,2010-01-22,111,44
USR0000CCOA,2010-01-23,150,28
USR0000CCOA,2010-01-24,183,28
USR0000CCOA,2010-01-25,211,50
USR0000CCOA,2010-01-26,156,50
USR0000CCOA,2010-01-27,189,83
USR0000CCOA,2010-01-28,206,83
USR0000CCOA,2010-01-29,217,67
USR0000CCOA,2010-01-30,178,50
USR0000CCOA,2010-01-31,222,50
USR0000CCOA,2010-02-01,211,67
USR0000CCOA,2010-02-02,189,72
USR0000CCOA,2010-02-03,206,56
USR0000CCOA,2010-02-04,183,67
USR0000CCOA,2010-02-05,128,83
USR0000CCOA,2010-02-06,178,89
USR0000CCOA,2010-02-07,161,67
USR0000CCOA,2010-02-08,183,56
USR0000CCOA,2010-02-09,156,50
USR0000CCOA,2010-02-10,183,28
USR0000CCOA,2010-02-11,194,44
USR0000CCOA,2010-02-12,206,72
USR0000CCOA,2010-02-13,272,67
USR0000CCOA,2010-02-14,289,89
USR0000CCOA,2010-02-15,278,106
USR0000CCOA,2010-02-16,283,106
USR0000CCOA,2010-02-17,283,94
USR0000CCOA,2010-02-18,228,89
USR0000CCOA,2010-02-19,161,100
USR0000CCOA,2010-02-20,161,89
USR0000CCOA,2010-02-21,189,94
USR0000CCOA,2010-02-22,178,100
USR0000CCOA,2010-02-23,222,61
USR0000CCOA,2010-02-24,178,83
USR0000CCOA,2010-02-25,211,106
USR0000CCOA,2010-02-26,250,106
USR0000CCOA,2010-02-27,150,83
USR0000CCOA,2010-02-28,206,56
USR0000CCOA,2010-03-01,222,78
USR0000CCOA,2010-03-02,200,100
USR0000CCOA,2010-03-03,200,83
USR0000CCOA,2010-03-04,167,67
USR0000CCOA,2010-03-05,206,50
USR0000CCOA,2010-03-06,161,83
USR0000CCOA,2010-03-07,183,78
USR0000CCOA,2010-03-08,189,67
USR0000CCOA,2010-03-09,156,72
USR0000CCOA,2010-03-10,167,39
USR0000CCOA,2010-03-11,211,61
USR0000CCOA,2010-03-12,217,56
USR0000CCOA,2010-03-13,194,61
USR0000CCOA,2010-03-14,239,89
USR0000CCOA,2010-03-15,278,106
USR0000CCOA,2010-03-16,300,133
USR0000CCOA,2010-03-17,300,106
USR0000CCOA,2010-03-18,278,106
USR0000CCOA,2010-03-19,261,100
USR0000CCOA,2010-03-20,283,94
USR0000CCOA,2010-03-21,283,117
USR0000CCOA,2010-03-22,250,100
USR0000CCOA,2010-03-23,272,100
USR0000CCOA,2010-03-24,261,94
USR0000CCOA,2010-03-25,206,89
USR0000CCOA,2010-03-26,239,89
USR0000CCOA,2010-03-27,267,111
USR0000CCOA,2010-03-28,306,111
USR0000CCOA,2010-03-29,294,106
USR0000CCOA,2010-03-30,217,89
USR0000CCOA,2010-03-31,178,83
USR0000CCOA,2010-04-01,178,72
USR0000CCOA,2010-04-02,211,61
USR0000CCOA,2010-04-03,222,72
USR0000CCOA,2010-04-04,206,100
USR0000CCOA,2010-04-05,189,89
USR0000CCOA,2010-04-06,250,61
USR0000CCOA,2010-04-07,289,117
USR0000CCOA,2010-04-08,300,117
USR0000CCOA,2010-04-09,272,106
USR0000CCOA,2010-04-10,217,106
USR0000CCOA,2010-04-11,183,106
USR0000CCOA,2010-04-12,183,100
USR0000CCOA,2010-04-13,211,67
USR0000CCOA,2010-04-14,222,78
USR0000CCOA,2010-04-15,244,94
USR0000CCOA,2010-04-16,233,100
USR0000CCOA,2010-04-17,267,89
USR0000CCOA,2010-04-18,283,106
USR0000CCOA,2010-04-19,256,133
USR0000CCOA,2010-04-20,244,100
USR0000CCOA,2010-04-21,161,83
USR0000CCOA,2010-04-22,161,72
USR0000CCOA,2010-04-23,211,56
USR0000CCOA,2010-04-24,244,106
USR0000CCOA,2010-04-25,261,94
USR0000CCOA,2010-04-26,283,106
USR0000CCOA,2010-04-27,239,106
USR0000CCOA,2010-04-28,211,117
USR0000CCOA,2010-04-29,200,89
USR0000CCOA,2010-04-30,244,78
USR0000CCOA,2010-05-01,256,83
USR0000CCOA,2010-05-02,239,100
USR0000CCOA,2010-05-03,306,100
USR0000CCOA,2010-05-04,294,122
USR0000CCOA,2010-05-05,272,122
USR0000CCOA,2010-05-06,267,139
USR0000CCOA,2010-05-07,300,122
USR0000CCOA,2010-05-08,289,128
USR0000CCOA,2010-05-09,239,117
USR0000CCOA,2010-05-10,222,100
USR0000CCOA,2010-05-11,222,89
USR0000CCOA,2010-05-12,278,89
USR0000CCOA,2010-05-13,267,128
USR0000CCOA,2010-05-14,267,106
USR0000CCOA,2010-05-15,283,117
USR0000CCOA,2010-05-16,256,128
USR0000CCOA,2010-05-17,194,128
USR0000CCOA,2010-05-18,233,128
USR0000CCOA,2010-05-19,261,133
USR0000CCOA,2010-05-20,283,122
USR0000CCOA,2010-05-21,256,128
USR0000CCOA,2010-05-22,222,122
USR0000CCOA,2010-05-23,200,100
USR0000CCOA,2010-05-24,228,83
USR0000CCOA,2010-05-25,244,94
USR0000CCOA,2010-05-26,244,106
USR0000CCOA,2010-05-27,228,139
USR0000CCOA,2010-05-28,228,111
USR0000CCOA,2010-05-29,344,106
USR0000CCOA,2010-05-30,328,128
USR0000CCOA,2010-05-31,283,122
USR0000CCOA,2010-06-01,261,128
USR0000CCOA,2010-06-02,278,139
USR0000CCOA,2010-06-03,283,133
USR0000CCOA,2010-06-04,300,144
USR0000CCOA,2010-06-05,322,150
USR0000CCOA,2010-06-06,322,161
USR0000CCOA,2010-06-07,306,161
USR0000CCOA,2010-06-08,283,161
USR0000CCOA,2010-06-09,261,156
USR0000CCOA,2010-06-10,278,161
USR0000CCOA,2010-06-11,239,150
USR0000CCOA,2010-06-12,239,144
USR0000CCOA,2010-06-13,306,128
USR0000CCOA,2010-06-14,339,156
USR0000CCOA,2010-06-15,311,144
USR0000CCOA,2010-06-16,272,139
USR0000CCOA,2010-06-17,289,128
USR0000CCOA,2010-06-18,278,139
USR0000CCOA,2010-06-19,289,128
USR0000CCOA,2010-06-20,300,133
USR0000CCOA,2010-06-21,261,144
USR0000CCOA,2010-06-22,289,133
USR0000CCOA,2010-06-23,300,133
USR0000CCOA,2010-06-24,311,139
USR0000CCOA,2010-06-25,294,144
USR0000CCOA,2010-06-26,278,144
USR0000CCOA,2010-06-27,300,139
USR0000CCOA,2010-06-28,267,144
USR0000CCOA,2010-06-29,278,161
USR0000CCOA,2010-06-30,322,167
USR0000CCOA,2010-07-01,311,144
USR0000CCOA,2010-07-02,306,139
USR0000CCOA,2010-07-03,283,139
USR0000CCOA,2010-07-04,283,139
USR0000CCOA,2010-07-05,267,156
USR0000CCOA,2010-07-06,239,139
USR0000CCOA,2010-07-07,261,144
USR0000CCOA,2010-07-08,261,144
USR0000CCOA,2010-07-09,294,133
USR0000CCOA,2010-07-10,300,156
USR0000CCOA,2010-07-11,294,156
USR0000CCOA,2010-07-12,322,167
USR0000CCOA,2010-07-13,372,172
USR0000CCOA,2010-07-14,394,200
USR0000CCOA,2010-07-15,406,217
USR0000CCOA,2010-07-16,406,228
USR0000CCOA,2010-07-17,389,206
USR0000CCOA,2010-07-18,344,200
USR0000CCOA,2010-07-19,333,178
USR0000CCOA,2010-07-20,306,167
