id,date,tmax,tmin
USR0000CDVR,2010-01-01,206,106
USR0000CDVR,2010-01-02,239,133
USR0000CDVR,2010-01-03,222,133
USR0000CDVR,2010-01-04,206,122
USR0000CDVR,2010-01-05,228,117
USR0000CDVR,2010-01-06,233,144
USR0000CDVR,2010-01-07,233,139
USR0000CDVR,2010-01-08,211,139
USR0000CDVR,2010-01-09,194,128
USR0000CDVR,2010-01-10,228,133
USR0000CDVR,2010-01-11,233,133
USR0000CDVR,2010-01-12,217,106
USR0000CDVR,2010-01-13,128,83
USR0000CDVR,2010-01-14,183,106
USR0000CDVR,2010-01-15,178,117
USR0000CDVR,2010-01-16,189,89
USR0000CDVR,2010-01-17,156,67
USR0000CDVR,2010-01-18,111,83
USR0000CDVR,2010-01-19,100,44
USR0000CDVR,2010-01-20,83,44
USR0000CDVR,2010-01-21,83,50
USR0000CDVR,2010-01-22,44,17
USR0000CDVR,2010-01-23,111,33
USR0000CDVR,2010-01-24,156,33
USR0000CDVR,2010-01-25,167,61
USR0000CDVR,2010-01-26,167,56
USR0000CDVR,2010-01-27,144,83
USR0000CDVR,2010-01-28,167,100
USR0000CDVR,2010-01-29,172,67
USR0000CDVR,2010-01-30,156,56
USR0000CDVR,2010-01-31,178,72
USR0000CDVR,2010-02-01,172,83
USR0000CDVR,2010-02-02,172,78
USR0000CDVR,2010-02-03,189,78
USR0000CDVR,2010-02-04,133,61
USR0000CDVR,2010-02-05,106,83
USR0000CDVR,2010-02-06,128,72
USR0000CDVR,2010-02-07,128,50
USR0000CDVR,2010-02-08,144,44
USR0000CDVR,2010-02-09,89,39
USR0000CDVR,2010-02-10,144,50
USR0000CDVR,2010-02-11,150,33
USR0000CDVR,2010-02-12,200,50
USR0000CDVR,2010-02-13,228,111
USR0000CDVR,2010-02-14,239,150
USR0000CDVR,2010-02-15,233,139
USR0000CDVR,2010-02-16,239,139
USR0000CDVR,2010-02-17,244,111
USR0000CDVR,2010-02-18,200,89
USR0000CDVR,2010-02-19,117,72
USR0000CDVR,2010-02-20,117,67
USR0000CDVR,2010-02-21,111,72
