id,date,tmax,tmin
USR0000CFOR,2010-01-01,67,22
USR0000CFOR,2010-01-02,128,33
USR0000CFOR,2010-01-03,150,72
USR0000CFOR,2010-01-04,161,67
USR0000CFOR,2010-01-05,156,78
USR0000CFOR,2010-01-06,161,83
USR0000CFOR,2010-01-07,150,72
USR0000CFOR,2010-01-08,128,72
USR0000CFOR,2010-01-09,156,78
USR0000CFOR,2010-01-10,161,72
USR0000CFOR,2010-01-11,156,89
USR0000CFOR,2010-01-12,111,39
USR0000CFOR,2010-01-13,83,22
USR0000CFOR,2010-01-14,156,17
USR0000CFOR,2010-01-15,144,50
USR0000CFOR,2010-01-16,117,50
USR0000CFOR,2010-01-17,72,6
USR0000CFOR,2010-01-18,56,11
USR0000CFOR,2010-01-19,33,0
USR0000CFOR,2010-01-20,22,0
USR0000CFOR,2010-01-21,11,-11
USR0000CFOR,2010-01-22,11,-17
USR0000CFOR,2010-01-23,28,-17
USR0000CFOR,2010-01-24,17,-22
USR0000CFOR,2010-01-25,44,17
USR0000CFOR,2010-01-26,78,28
USR0000CFOR,2010-01-27,139,17
USR0000CFOR,2010-01-28,128,11
USR0000CFOR,2010-01-29,106,17
USR0000CFOR,2010-01-30,56,0
USR0000CFOR,2010-01-31,128,0
USR0000CFOR,2010-02-01,94,17
USR0000CFOR,2010-02-02,122,28
USR0000CFOR,2010-02-03,100,17
USR0000CFOR,2010-02-04,78,22
USR0000CFOR,2010-02-05,72,22
USR0000CFOR,2010-02-06,44,6
USR0000CFOR,2010-02-07,72,0
USR0000CFOR,2010-02-08,61,-6
USR0000CFOR,2010-02-09,44,0
USR0000CFOR,2010-02-10,100,11
USR0000CFOR,2010-02-11,94,28
USR0000CFOR,2010-02-12,106,22
USR0000CFOR,2010-02-13,172,22
USR0000CFOR,2010-02-14,178,61
USR0000CFOR,2010-02-15,161,67
USR0000CFOR,2010-02-16,161,67
USR0000CFOR,2010-02-17,178,72
USR0000CFOR,2010-02-18,167,50
USR0000CFOR,2010-02-19,100,28
USR0000CFOR,2010-02-20,56,11
USR0000CFOR,2010-02-21,22,-22
USR0000CFOR,2010-02-22,117,-33
USR0000CFOR,2010-02-23,67,0
USR0000CFOR,2010-02-24,72,17
USR0000CFOR,2010-02-25,133,6
