id,date,tmax,tmin
USR0000CGOO,2010-01-01,239,89
USR0000CGOO,2010-01-02,261,56
USR0000CGOO,2010-01-03,244,78
USR0000CGOO,2010-01-04,250,133
USR0000CGOO,2010-01-05,261,78
USR0000CGOO,2010-01-06,250,56
USR0000CGOO,2010-01-07,239,39
USR0000CGOO,2010-01-08,233,111
USR0000CGOO,2010-01-09,261,150
USR0000CGOO,2010-01-10,272,61
USR0000CGOO,2010-01-11,250,100
USR0000CGOO,2010-01-12,250,67
USR0000CGOO,2010-01-13,156,39
USR0000CGOO,2010-01-14,217,28
USR0000CGOO,2010-01-15,206,50
USR0000CGOO,2010-01-16,222,50
USR0000CGOO,2010-01-17,178,39
USR0000CGOO,2010-01-18,144,89
USR0000CGOO,2010-01-19,133,39
USR0000CGOO,2010-01-20,133,61
USR0000CGOO,2010-01-21,133,83
USR0000CGOO,2010-01-22,100,50
USR0000CGOO,2010-01-23,139,28
USR0000CGOO,2010-01-24,178,0
USR0000CGOO,2010-01-25,206,17
USR0000CGOO,2010-01-26,194,28
USR0000CGOO,2010-01-27,183,67
USR0000CGOO,2010-01-28,183,22
USR0000CGOO,2010-01-29,200,44
USR0000CGOO,2010-01-30,189,22
USR0000CGOO,2010-01-31,178,11
USR0000CGOO,2010-02-01,200,33
USR0000CGOO,2010-02-02,194,39
USR0000CGOO,2010-02-03,178,17
USR0000CGOO,2010-02-04,172,17
USR0000CGOO,2010-02-05,161,72
USR0000CGOO,2010-02-06,133,89
USR0000CGOO,2010-02-07,139,50
USR0000CGOO,2010-02-08,161,39
USR0000CGOO,2010-02-09,139,50
USR0000CGOO,2010-02-10,144,33
USR0000CGOO,2010-02-11,178,11
USR0000CGOO,2010-02-12,200,56
USR0000CGOO,2010-02-13,250,39
USR0000CGOO,2010-02-14,256,100
USR0000CGOO,2010-02-15,278,122
USR0000CGOO,2010-02-16,250,67
USR0000CGOO,2010-02-17,250,67
USR0000CGOO,2010-02-18,222,44
USR0000CGOO,2010-02-19,144,78
USR0000CGOO,2010-02-20,156,78
USR0000CGOO,2010-02-21,133,78
USR0000CGOO,2010-02-22,161,28
USR0000CGOO,2010-02-23,200,17
USR0000CGOO,2010-02-24,189,17
USR0000CGOO,2010-02-25,200,78
USR0000CGOO,2010-02-26,244,78
USR0000CGOO,2010-02-27,133,67
USR0000CGOO,2010-02-28,161,50
USR0000CGOO,2010-03-01,206,44
USR0000CGOO,2010-03-02,183,67
USR0000CGOO,2010-03-03,161,56
USR0000CGOO,2010-03-04,139,50
USR0000CGOO,2010-03-05,194,11
USR0000CGOO,2010-03-06,139,61
USR0000CGOO,2010-03-07,100,72
USR0000CGOO,2010-03-08,133,89
USR0000CGOO,2010-03-09,122,28
USR0000CGOO,2010-03-10,128,6
USR0000CGOO,2010-03-11,200,6
USR0000CGOO,2010-03-12,206,28
USR0000CGOO,2010-03-13,167,28
USR0000CGOO,2010-03-14,211,11
USR0000CGOO,2010-03-15,228,56
USR0000CGOO,2010-03-16,244,172
USR0000CGOO,2010-03-17,278,94
USR0000CGOO,2010-03-18,239,56
USR0000CGOO,2010-03-19,228,78
USR0000CGOO,2010-03-20,272,44
USR0000CGOO,2010-03-21,267,100
USR0000CGOO,2010-03-22,228,67
USR0000CGOO,2010-03-23,217,72
USR0000CGOO,2010-03-24,239,44
USR0000CGOO,2010-03-25,200,17
USR0000CGOO,2010-03-26,211,50
USR0000CGOO,2010-03-27,228,33
USR0000CGOO,2010-03-28,261,72
USR0000CGOO,2010-03-29,272,56
USR0000CGOO,2010-03-30,200,44
USR0000CGOO,2010-03-31,156,50
USR0000CGOO,2010-04-01,150,28
USR0000CGOO,2010-04-02,189,11
USR0000CGOO,2010-04-03,189,17
USR0000CGOO,2010-04-04,178,50
USR0000CGOO,2010-04-05,150,61
USR0000CGOO,2010-04-06,222,6
USR0000CGOO,2010-04-07,233,67
USR0000CGOO,2010-04-08,272,72
USR0000CGOO,2010-04-09,256,39
USR0000CGOO,2010-04-10,200,67
USR0000CGOO,2010-04-11,183,83
USR0000CGOO,2010-04-12,161,83
USR0000CGOO,2010-04-13,178,56
USR0000CGOO,2010-04-14,206,28
USR0000CGOO,2010-04-15,217,39
USR0000CGOO,2010-04-16,217,72
USR0000CGOO,2010-04-17,261,56
USR0000CGOO,2010-04-18,272,72
USR0000CGOO,2010-04-19,239,89
USR0000CGOO,2010-04-20,217,67
USR0000CGOO,2010-04-21,128,56
USR0000CGOO,2010-04-22,117,28
USR0000CGOO,2010-04-23,183,6
USR0000CGOO,2010-04-24,228,72
USR0000CGOO,2010-04-25,256,50
USR0000CGOO,2010-04-26,267,72
USR0000CGOO,2010-04-27,244,61
USR0000CGOO,2010-04-28,172,100
USR0000CGOO,2010-04-29,150,56
USR0000CGOO,2010-04-30,189,50
USR0000CGOO,2010-05-01,211,28
USR0000CGOO,2010-05-02,217,89
USR0000CGOO,2010-05-03,278,44
USR0000CGOO,2010-05-04,283,61
USR0000CGOO,2010-05-05,261,67
USR0000CGOO,2010-05-06,244,89
USR0000CGOO,2010-05-07,272,72
USR0000CGOO,2010-05-08,272,83
USR0000CGOO,2010-05-09,194,78
USR0000CGOO,2010-05-10,200,94
USR0000CGOO,2010-05-11,183,56
USR0000CGOO,2010-05-12,239,28
USR0000CGOO,2010-05-13,256,67
USR0000CGOO,2010-05-14,250,78
USR0000CGOO,2010-05-15,272,106
USR0000CGOO,2010-05-16,239,106
USR0000CGOO,2010-05-17,161,100
USR0000CGOO,2010-05-18,211,89
USR0000CGOO,2010-05-19,256,111
USR0000CGOO,2010-05-20,283,89
USR0000CGOO,2010-05-21,250,89
USR0000CGOO,2010-05-22,194,72
USR0000CGOO,2010-05-23,161,50
USR0000CGOO,2010-05-24,217,22
USR0000CGOO,2010-05-25,228,72
USR0000CGOO,2010-05-26,228,44
USR0000CGOO,2010-05-27,228,67
USR0000CGOO,2010-05-28,222,78
USR0000CGOO,2010-05-29,300,44
USR0000CGOO,2010-05-30,294,61
USR0000CGOO,2010-05-31,267,67
USR0000CGOO,2010-06-01,250,72
USR0000CGOO,2010-06-02,256,94
USR0000CGOO,2010-06-03,289,94
USR0000CGOO,2010-06-04,306,94
USR0000CGOO,2010-06-05,328,117
USR0000CGOO,2010-06-06,322,111
USR0000CGOO,2010-06-07,306,106
USR0000CGOO,2010-06-08,283,111
USR0000CGOO,2010-06-09,261,94
USR0000CGOO,2010-06-10,250,117
USR0000CGOO,2010-06-11,189,117
USR0000CGOO,2010-06-12,239,100
USR0000CGOO,2010-06-13,289,67
USR0000CGOO,2010-06-14,322,94
USR0000CGOO,2010-06-15,317,100
USR0000CGOO,2010-06-16,267,89
USR0000CGOO,2010-06-17,289,50
USR0000CGOO,2010-06-18,278,67
USR0000CGOO,2010-06-19,283,89
USR0000CGOO,2010-06-20,289,61
USR0000CGOO,2010-06-21,256,78
USR0000CGOO,2010-06-22,289,44
USR0000CGOO,2010-06-23,311,78
USR0000CGOO,2010-06-24,317,78
USR0000CGOO,2010-06-25,294,78
USR0000CGOO,2010-06-26,272,111
