id,date,tmax,tmin
USR0000CLIN,2010-01-01,144,89
USR0000CLIN,2010-01-02,156,44
USR0000CLIN,2010-01-03,133,33
USR0000CLIN,2010-01-04,128,22
USR0000CLIN,2010-01-05,72,17
USR0000CLIN,2010-01-06,83,56
USR0000CLIN,2010-01-07,78,61
USR0000CLIN,2010-01-08,111,67
USR0000CLIN,2010-01-09,100,67
USR0000CLIN,2010-01-10,89,61
USR0000CLIN,2010-01-11,100,67
USR0000CLIN,2010-01-12,161,94
USR0000CLIN,2010-01-13,167,78
USR0000CLIN,2010-01-14,128,17
USR0000CLIN,2010-01-15,133,44
USR0000CLIN,2010-01-16,128,28
USR0000CLIN,2010-01-17,111,89
USR0000CLIN,2010-01-18,128,106
USR0000CLIN,2010-01-19,122,61
USR0000CLIN,2010-01-20,117,89
USR0000CLIN,2010-01-21,94,61
USR0000CLIN,2010-01-22,94,50
USR0000CLIN,2010-01-23,122,44
USR0000CLIN,2010-01-24,89,39
USR0000CLIN,2010-01-25,106,72
USR0000CLIN,2010-01-26,122,67
USR0000CLIN,2010-01-27,133,33
USR0000CLIN,2010-01-28,139,28
USR0000CLIN,2010-01-29,161,56
USR0000CLIN,2010-01-30,161,50
USR0000CLIN,2010-01-31,150,11
USR0000CLIN,2010-02-01,150,44
USR0000CLIN,2010-02-02,122,28
USR0000CLIN,2010-02-03,167,56
USR0000CLIN,2010-02-04,150,83
USR0000CLIN,2010-02-05,172,100
USR0000CLIN,2010-02-06,133,89
USR0000CLIN,2010-02-07,150,56
USR0000CLIN,2010-02-08,150,78
USR0000CLIN,2010-02-09,133,33
USR0000CLIN,2010-02-10,144,0
USR0000CLIN,2010-02-11,156,94
USR0000CLIN,2010-02-12,183,78
USR0000CLIN,2010-02-13,178,61
USR0000CLIN,2010-02-14,189,33
USR0000CLIN,2010-02-15,200,50
USR0000CLIN,2010-02-16,200,72
USR0000CLIN,2010-02-17,211,72
USR0000CLIN,2010-02-18,189,61
USR0000CLIN,2010-02-19,150,94
USR0000CLIN,2010-02-20,139,89
USR0000CLIN,2010-02-21,128,33
USR0000CLIN,2010-02-22,167,6
USR0000CLIN,2010-02-23,117,61
USR0000CLIN,2010-02-24,139,94
USR0000CLIN,2010-02-25,167,39
USR0000CLIN,2010-02-26,178,89
USR0000CLIN,2010-02-27,161,50
USR0000CLIN,2010-02-28,178,28
USR0000CLIN,2010-03-01,189,89
USR0000CLIN,2010-03-02,133,89
USR0000CLIN,2010-03-03,111,67
USR0000CLIN,2010-03-04,139,28
USR0000CLIN,2010-03-05,150,28
USR0000CLIN,2010-03-06,167,50
USR0000CLIN,2010-03-07,200,50
USR0000CLIN,2010-03-08,128,22
USR0000CLIN,2010-03-09,128,17
USR0000CLIN,2010-03-10,133,22
USR0000CLIN,2010-03-11,167,22
USR0000CLIN,2010-03-12,122,50
USR0000CLIN,2010-03-13,150,0
USR0000CLIN,2010-03-14,172,-11
USR0000CLIN,2010-03-15,206,56
USR0000CLIN,2010-03-16,233,61
USR0000CLIN,2010-03-17,250,78
USR0000CLIN,2010-03-18,244,44
USR0000CLIN,2010-03-19,256,33
USR0000CLIN,2010-03-20,228,89
USR0000CLIN,2010-03-21,228,78
USR0000CLIN,2010-03-22,211,61
USR0000CLIN,2010-03-23,233,50
USR0000CLIN,2010-03-24,228,78
USR0000CLIN,2010-03-25,167,56
USR0000CLIN,2010-03-26,183,28
USR0000CLIN,2010-03-27,228,11
USR0000CLIN,2010-03-28,250,100
USR0000CLIN,2010-03-29,172,106
USR0000CLIN,2010-03-30,161,78
USR0000CLIN,2010-03-31,144,56
USR0000CLIN,2010-04-01,178,44
USR0000CLIN,2010-04-02,106,67
USR0000CLIN,2010-04-03,161,33
USR0000CLIN,2010-04-04,128,67
USR0000CLIN,2010-04-05,150,44
USR0000CLIN,2010-04-06,178,22
USR0000CLIN,2010-04-07,239,17
USR0000CLIN,2010-04-08,222,78
USR0000CLIN,2010-04-09,233,39
USR0000CLIN,2010-04-10,144,106
USR0000CLIN,2010-04-11,150,78
USR0000CLIN,2010-04-12,122,89
USR0000CLIN,2010-04-13,178,72
USR0000CLIN,2010-04-14,183,56
USR0000CLIN,2010-04-15,206,44
USR0000CLIN,2010-04-16,222,72
USR0000CLIN,2010-04-17,228,72
USR0000CLIN,2010-04-18,256,61
USR0000CLIN,2010-04-19,228,100
USR0000CLIN,2010-04-20,161,67
USR0000CLIN,2010-04-21,161,67
USR0000CLIN,2010-04-22,206,83
USR0000CLIN,2010-04-23,233,61
USR0000CLIN,2010-04-24,250,83
USR0000CLIN,2010-04-25,283,61
USR0000CLIN,2010-04-26,272,78
USR0000CLIN,2010-04-27,183,89
USR0000CLIN,2010-04-28,150,50
USR0000CLIN,2010-04-29,183,17
USR0000CLIN,2010-04-30,222,22
USR0000CLIN,2010-05-01,261,44
USR0000CLIN,2010-05-02,267,56
USR0000CLIN,2010-05-03,306,78
USR0000CLIN,2010-05-04,261,83
USR0000CLIN,2010-05-05,217,50
USR0000CLIN,2010-05-06,233,50
USR0000CLIN,2010-05-07,261,39
USR0000CLIN,2010-05-08,250,100
USR0000CLIN,2010-05-09,189,106
USR0000CLIN,2010-05-10,150,56
USR0000CLIN,2010-05-11,211,44
USR0000CLIN,2010-05-12,267,61
USR0000CLIN,2010-05-13,294,78
USR0000CLIN,2010-05-14,289,122
USR0000CLIN,2010-05-15,300,106
USR0000CLIN,2010-05-16,278,128
USR0000CLIN,2010-05-17,183,111
USR0000CLIN,2010-05-18,233,106
USR0000CLIN,2010-05-19,206,122
USR0000CLIN,2010-05-20,233,89
USR0000CLIN,2010-05-21,211,44
USR0000CLIN,2010-05-22,183,17
USR0000CLIN,2010-05-23,233,22
USR0000CLIN,2010-05-24,194,78
USR0000CLIN,2010-05-25,211,89
USR0000CLIN,2010-05-26,211,106
USR0000CLIN,2010-05-27,189,83
USR0000CLIN,2010-05-28,206,61
USR0000CLIN,2010-05-29,278,61
USR0000CLIN,2010-05-30,311,89
USR0000CLIN,2010-05-31,261,161
USR0000CLIN,2010-06-01,278,150
USR0000CLIN,2010-06-02,306,139
USR0000CLIN,2010-06-03,289,161
USR0000CLIN,2010-06-04,289,178
USR0000CLIN,2010-06-05,328,150
USR0000CLIN,2010-06-06,339,172
USR0000CLIN,2010-06-07,311,150
USR0000CLIN,2010-06-08,317,144
USR0000CLIN,2010-06-09,278,133
USR0000CLIN,2010-06-10,256,111
USR0000CLIN,2010-06-11,300,133
USR0000CLIN,2010-06-12,333,139
USR0000CLIN,2010-06-13,361,117
USR0000CLIN,2010-06-14,361,183
USR0000CLIN,2010-06-15,306,144
USR0000CLIN,2010-06-16,289,100
USR0000CLIN,2010-06-17,311,122
USR0000CLIN,2010-06-18,289,128
USR0000CLIN,2010-06-19,261,111
USR0000CLIN,2010-06-20,289,78
USR0000CLIN,2010-06-21,322,100
USR0000CLIN,2010-06-22,339,133
USR0000CLIN,2010-06-23,356,189
USR0000CLIN,2010-06-24,322,150
USR0000CLIN,2010-06-25,317,139
USR0000CLIN,2010-06-26,372,150
USR0000CLIN,2010-06-27,400,172
USR0000CLIN,2010-06-28,400,200
USR0000CLIN,2010-06-29,378,194
USR0000CLIN,2010-06-30,339,167
USR0000CLIN,2010-07-01,333,144
USR0000CLIN,2010-07-02,322,144
USR0000CLIN,2010-07-03,333,133
USR0000CLIN,2010-07-04,372,133
USR0000CLIN,2010-07-05,372,172
USR0000CLIN,2010-07-06,333,144
USR0000CLIN,2010-07-07,350,133
USR0000CLIN,2010-07-08,361,144
USR0000CLIN,2010-07-09,361,167
USR0000CLIN,2010-07-10,383,167
