id,date,tmax,tmin
USR0000CPUL,2010-01-01,161,94
USR0000CPUL,2010-01-02,128,94
USR0000CPUL,2010-01-03,167,67
USR0000CPUL,2010-01-04,144,56
USR0000CPUL,2010-01-05,161,39
USR0000CPUL,2010-01-06,150,44
USR0000CPUL,2010-01-07,150,39
USR0000CPUL,2010-01-08,172,61
USR0000CPUL,2010-01-09,156,56
USR0000CPUL,2010-01-10,150,33
USR0000CPUL,2010-01-11,133,61
USR0000CPUL,2010-01-12,172,117
USR0000CPUL,2010-01-13,172,83
USR0000CPUL,2010-01-14,172,61
USR0000CPUL,2010-01-15,133,67
USR0000CPUL,2010-01-16,156,56
USR0000CPUL,2010-01-17,111,94
USR0000CPUL,2010-01-18,117,89
USR0000CPUL,2010-01-19,128,83
USR0000CPUL,2010-01-20,111,78
USR0000CPUL,2010-01-21,83,39
USR0000CPUL,2010-01-22,100,50
USR0000CPUL,2010-01-23,139,61
USR0000CPUL,2010-01-24,106,56
USR0000CPUL,2010-01-25,128,94
USR0000CPUL,2010-01-26,111,72
USR0000CPUL,2010-01-27,139,50
USR0000CPUL,2010-01-28,161,61
USR0000CPUL,2010-01-29,150,56
USR0000CPUL,2010-01-30,144,67
USR0000CPUL,2010-01-31,161,56
USR0000CPUL,2010-02-01,183,67
USR0000CPUL,2010-02-02,144,67
USR0000CPUL,2010-02-03,172,67
USR0000CPUL,2010-02-04,139,94
USR0000CPUL,2010-02-05,172,83
USR0000CPUL,2010-02-06,122,78
USR0000CPUL,2010-02-07,139,72
USR0000CPUL,2010-02-08,128,72
USR0000CPUL,2010-02-09,133,61
USR0000CPUL,2010-02-10,150,56
USR0000CPUL,2010-02-11,178,61
USR0000CPUL,2010-02-12,167,100
USR0000CPUL,2010-02-13,194,83
USR0000CPUL,2010-02-14,206,78
USR0000CPUL,2010-02-15,222,78
USR0000CPUL,2010-02-16,222,72
USR0000CPUL,2010-02-17,222,72
USR0000CPUL,2010-02-18,189,83
USR0000CPUL,2010-02-19,133,83
USR0000CPUL,2010-02-20,122,72
USR0000CPUL,2010-02-21,117,78
USR0000CPUL,2010-02-22,172,67
USR0000CPUL,2010-02-23,117,67
USR0000CPUL,2010-02-24,161,83
USR0000CPUL,2010-02-25,189,72
USR0000CPUL,2010-02-26,150,89
USR0000CPUL,2010-02-27,139,72
USR0000CPUL,2010-02-28,200,72
USR0000CPUL,2010-03-01,161,89
USR0000CPUL,2010-03-02,139,89
USR0000CPUL,2010-03-03,128,44
USR0000CPUL,2010-03-04,150,39
USR0000CPUL,2010-03-05,150,50
USR0000CPUL,2010-03-06,200,72
USR0000CPUL,2010-03-07,150,83
USR0000CPUL,2010-03-08,111,44
USR0000CPUL,2010-03-09,122,28
USR0000CPUL,2010-03-10,156,33
USR0000CPUL,2010-03-11,178,44
USR0000CPUL,2010-03-12,133,50
USR0000CPUL,2010-03-13,161,33
USR0000CPUL,2010-03-14,206,50
USR0000CPUL,2010-03-15,244,50
USR0000CPUL,2010-03-16,256,83
USR0000CPUL,2010-03-17,272,100
USR0000CPUL,2010-03-18,272,83
USR0000CPUL,2010-03-19,283,133
USR0000CPUL,2010-03-20,217,83
USR0000CPUL,2010-03-21,217,61
USR0000CPUL,2010-03-22,222,61
USR0000CPUL,2010-03-23,256,67
USR0000CPUL,2010-03-24,200,56
USR0000CPUL,2010-03-25,156,67
USR0000CPUL,2010-03-26,206,50
USR0000CPUL,2010-03-27,239,67
USR0000CPUL,2010-03-28,233,78
USR0000CPUL,2010-03-29,161,100
USR0000CPUL,2010-03-30,133,72
