id,date,tmax,tmin
USR0000CSFD,2010-01-01,239,117
USR0000CSFD,2010-01-02,283,100
USR0000CSFD,2010-01-03,278,133
USR0000CSFD,2010-01-04,261,128
USR0000CSFD,2010-01-05,272,128
USR0000CSFD,2010-01-06,272,111
USR0000CSFD,2010-01-07,267,100
USR0000CSFD,2010-01-08,272,128
USR0000CSFD,2010-01-09,256,133
USR0000CSFD,2010-01-10,278,117
USR0000CSFD,2010-01-11,283,117
USR0000CSFD,2010-01-12,256,94
USR0000CSFD,2010-01-13,172,100
USR0000CSFD,2010-01-14,233,50
USR0000CSFD,2010-01-15,NA,NA
USR0000CSFD,2010-01-16,NA,NA
USR0000CSFD,2010-01-17,NA,NA
USR0000CSFD,2010-01-18,NA,NA
USR0000CSFD,2010-01-19,133,83
USR0000CSFD,2010-01-20,117,72
USR0000CSFD,2010-01-21,111,78
USR0000CSFD,2010-01-22,100,56
USR0000CSFD,2010-01-23,167,44
USR0000CSFD,2010-01-24,194,61
USR0000CSFD,2010-01-25,206,78
USR0000CSFD,2010-01-26,183,61
USR0000CSFD,2010-01-27,206,100
USR0000CSFD,2010-01-28,222,61
USR0000CSFD,2010-01-29,217,100
USR0000CSFD,2010-01-30,200,61
USR0000CSFD,2010-01-31,206,61
USR0000CSFD,2010-02-01,222,78
USR0000CSFD,2010-02-02,206,78
USR0000CSFD,2010-02-03,211,78
USR0000CSFD,2010-02-04,194,94
USR0000CSFD,2010-02-05,128,111
USR0000CSFD,2010-02-06,172,83
USR0000CSFD,2010-02-07,189,56
USR0000CSFD,2010-02-08,194,78
USR0000CSFD,2010-02-09,144,50
USR0000CSFD,2010-02-10,189,28
USR0000CSFD,2010-02-11,194,72
USR0000CSFD,2010-02-12,211,89
USR0000CSFD,2010-02-13,278,111
USR0000CSFD,2010-02-14,300,144
USR0000CSFD,2010-02-15,300,150
USR0000CSFD,2010-02-16,300,156
USR0000CSFD,2010-02-17,283,117
USR0000CSFD,2010-02-18,239,72
USR0000CSFD,2010-02-19,183,100
USR0000CSFD,2010-02-20,178,89
USR0000CSFD,2010-02-21,189,100
USR0000CSFD,2010-02-22,211,72
USR0000CSFD,2010-02-23,211,83
USR0000CSFD,2010-02-24,189,94
USR0000CSFD,2010-02-25,233,106
USR0000CSFD,2010-02-26,250,128
USR0000CSFD,2010-02-27,172,78
USR0000CSFD,2010-02-28,211,61
USR0000CSFD,2010-03-01,250,94
USR0000CSFD,2010-03-02,206,100
USR0000CSFD,2010-03-03,211,89
USR0000CSFD,2010-03-04,200,56
USR0000CSFD,2010-03-05,222,72
USR0000CSFD,2010-03-06,161,78
USR0000CSFD,2010-03-07,194,72
USR0000CSFD,2010-03-08,183,100
USR0000CSFD,2010-03-09,172,39
USR0000CSFD,2010-03-10,194,50
USR0000CSFD,2010-03-11,217,67
USR0000CSFD,2010-03-12,233,100
USR0000CSFD,2010-03-13,217,78
USR0000CSFD,2010-03-14,244,67
USR0000CSFD,2010-03-15,289,106
USR0000CSFD,2010-03-16,328,161
USR0000CSFD,2010-03-17,328,161
USR0000CSFD,2010-03-18,272,128
USR0000CSFD,2010-03-19,278,100
USR0000CSFD,2010-03-20,311,106
USR0000CSFD,2010-03-21,306,94
USR0000CSFD,2010-03-22,244,83
USR0000CSFD,2010-03-23,272,89
USR0000CSFD,2010-03-24,272,89
USR0000CSFD,2010-03-25,211,100
USR0000CSFD,2010-03-26,256,83
USR0000CSFD,2010-03-27,300,89
USR0000CSFD,2010-03-28,311,139
USR0000CSFD,2010-03-29,300,100
USR0000CSFD,2010-03-30,228,83
USR0000CSFD,2010-03-31,189,89
USR0000CSFD,2010-04-01,200,78
USR0000CSFD,2010-04-02,222,78
USR0000CSFD,2010-04-03,228,78
USR0000CSFD,2010-04-04,206,94
USR0000CSFD,2010-04-05,200,89
USR0000CSFD,2010-04-06,256,78
USR0000CSFD,2010-04-07,311,117
USR0000CSFD,2010-04-08,306,139
USR0000CSFD,2010-04-09,283,117
USR0000CSFD,2010-04-10,228,94
USR0000CSFD,2010-04-11,178,111
USR0000CSFD,2010-04-12,183,67
USR0000CSFD,2010-04-13,222,78
USR0000CSFD,2010-04-14,239,83
USR0000CSFD,2010-04-15,278,100
USR0000CSFD,2010-04-16,256,78
USR0000CSFD,2010-04-17,283,94
USR0000CSFD,2010-04-18,294,106
USR0000CSFD,2010-04-19,267,100
USR0000CSFD,2010-04-20,222,72
USR0000CSFD,2010-04-21,167,50
USR0000CSFD,2010-04-22,167,50
USR0000CSFD,2010-04-23,233,72
USR0000CSFD,2010-04-24,256,100
USR0000CSFD,2010-04-25,283,83
USR0000CSFD,2010-04-26,289,89
USR0000CSFD,2010-04-27,239,106
USR0000CSFD,2010-04-28,228,106
USR0000CSFD,2010-04-29,217,89
USR0000CSFD,2010-04-30,250,61
USR0000CSFD,2010-05-01,256,89
USR0000CSFD,2010-05-02,256,117
USR0000CSFD,2010-05-03,317,94
USR0000CSFD,2010-05-04,294,111
USR0000CSFD,2010-05-05,278,111
USR0000CSFD,2010-05-06,283,133
