id,date,tmax,tmin
USR0000CSNL,2010-01-01,150,44
USR0000CSNL,2010-01-02,106,83
USR0000CSNL,2010-01-03,111,111
USR0000CSNL,2010-01-04,106,106
USR0000CSNL,2010-01-05,NA,NA
USR0000CSNL,2010-01-06,94,94
USR0000CSNL,2010-01-07,NA,NA
USR0000CSNL,2010-01-08,NA,NA
USR0000CSNL,2010-01-09,NA,NA
USR0000CSNL,2010-01-10,NA,NA
USR0000CSNL,2010-01-11,NA,NA
USR0000CSNL,2010-01-12,167,150
USR0000CSNL,2010-01-13,183,78
USR0000CSNL,2010-01-14,156,56
USR0000CSNL,2010-01-15,117,50
USR0000CSNL,2010-01-16,128,61
USR0000CSNL,2010-01-17,122,61
USR0000CSNL,2010-01-18,133,106
USR0000CSNL,2010-01-19,128,72
USR0000CSNL,2010-01-20,133,83
USR0000CSNL,2010-01-21,NA,NA
USR0000CSNL,2010-01-22,111,83
USR0000CSNL,2010-01-23,144,50
USR0000CSNL,2010-01-24,111,44
USR0000CSNL,2010-01-25,117,106
USR0000CSNL,2010-01-26,NA,NA
USR0000CSNL,2010-01-27,150,56
USR0000CSNL,2010-01-28,156,33
USR0000CSNL,2010-01-29,167,44
USR0000CSNL,2010-01-30,167,44
USR0000CSNL,2010-01-31,150,33
USR0000CSNL,2010-02-01,156,33
USR0000CSNL,2010-02-02,156,56
USR0000CSNL,2010-02-03,172,33
USR0000CSNL,2010-02-04,144,72
USR0000CSNL,2010-02-05,172,100
USR0000CSNL,2010-02-06,122,78
USR0000CSNL,2010-02-07,139,72
USR0000CSNL,2010-02-08,150,89
USR0000CSNL,2010-02-09,117,67
USR0000CSNL,2010-02-10,156,33
USR0000CSNL,2010-02-11,150,50
USR0000CSNL,2010-02-12,200,50
USR0000CSNL,2010-02-13,183,56
USR0000CSNL,2010-02-14,200,56
USR0000CSNL,2010-02-15,194,56
USR0000CSNL,2010-02-16,200,61
USR0000CSNL,2010-02-17,217,56
USR0000CSNL,2010-02-18,206,78
USR0000CSNL,2010-02-19,156,106
USR0000CSNL,2010-02-20,167,89
USR0000CSNL,2010-02-21,122,83
USR0000CSNL,2010-02-22,156,72
USR0000CSNL,2010-02-23,106,56
USR0000CSNL,2010-02-24,161,100
USR0000CSNL,2010-02-25,178,89
USR0000CSNL,2010-02-26,183,78
USR0000CSNL,2010-02-27,156,78
USR0000CSNL,2010-02-28,189,78
USR0000CSNL,2010-03-01,194,61
USR0000CSNL,2010-03-02,150,94
USR0000CSNL,2010-03-03,128,106
USR0000CSNL,2010-03-04,150,56
USR0000CSNL,2010-03-05,144,56
USR0000CSNL,2010-03-06,161,78
USR0000CSNL,2010-03-07,194,106
USR0000CSNL,2010-03-08,150,50
USR0000CSNL,2010-03-09,139,56
USR0000CSNL,2010-03-10,133,50
USR0000CSNL,2010-03-11,172,28
USR0000CSNL,2010-03-12,150,50
USR0000CSNL,2010-03-13,144,56
USR0000CSNL,2010-03-14,172,28
USR0000CSNL,2010-03-15,211,39
USR0000CSNL,2010-03-16,244,67
USR0000CSNL,2010-03-17,233,94
USR0000CSNL,2010-03-18,233,128
USR0000CSNL,2010-03-19,250,61
USR0000CSNL,2010-03-20,261,61
USR0000CSNL,2010-03-21,233,72
USR0000CSNL,2010-03-22,206,72
USR0000CSNL,2010-03-23,228,67
USR0000CSNL,2010-03-24,244,56
USR0000CSNL,2010-03-25,183,67
USR0000CSNL,2010-03-26,189,39
USR0000CSNL,2010-03-27,222,44
USR0000CSNL,2010-03-28,272,67
USR0000CSNL,2010-03-29,244,67
USR0000CSNL,2010-03-30,172,94
USR0000CSNL,2010-03-31,167,61
USR0000CSNL,2010-04-01,172,56
USR0000CSNL,2010-04-02,156,33
USR0000CSNL,2010-04-03,156,44
USR0000CSNL,2010-04-04,156,28
USR0000CSNL,2010-04-05,156,61
USR0000CSNL,2010-04-06,183,33
USR0000CSNL,2010-04-07,228,44
USR0000CSNL,2010-04-08,239,72
USR0000CSNL,2010-04-09,222,83
USR0000CSNL,2010-04-10,189,100
USR0000CSNL,2010-04-11,156,78
USR0000CSNL,2010-04-12,161,78
USR0000CSNL,2010-04-13,189,56
USR0000CSNL,2010-04-14,200,61
USR0000CSNL,2010-04-15,222,50
USR0000CSNL,2010-04-16,228,83
USR0000CSNL,2010-04-17,244,72
USR0000CSNL,2010-04-18,267,67
USR0000CSNL,2010-04-19,250,106
USR0000CSNL,2010-04-20,128,78
USR0000CSNL,2010-04-21,128,61
USR0000CSNL,2010-04-22,172,72
USR0000CSNL,2010-04-23,222,67
