id,date,tmax,tmin
USR0000NBUF,2010-01-01,128,-11
USR0000NBUF,2010-01-02,100,-50
USR0000NBUF,2010-01-03,50,-89
USR0000NBUF,2010-01-04,6,-67
USR0000NBUF,2010-01-05,56,-50
USR0000NBUF,2010-01-06,56,-78
USR0000NBUF,2010-01-07,67,0
USR0000NBUF,2010-01-08,89,-6
USR0000NBUF,2010-01-09,44,-22
USR0000NBUF,2010-01-10,56,6
USR0000NBUF,2010-01-11,56,17
USR0000NBUF,2010-01-12,128,0
USR0000NBUF,2010-01-13,94,11
USR0000NBUF,2010-01-14,100,-6
USR0000NBUF,2010-01-15,56,-11
USR0000NBUF,2010-01-16,83,-6
USR0000NBUF,2010-01-17,61,0
USR0000NBUF,2010-01-18,67,6
USR0000NBUF,2010-01-19,61,-6
USR0000NBUF,2010-01-20,39,-22
USR0000NBUF,2010-01-21,33,-33
USR0000NBUF,2010-01-22,61,-17
USR0000NBUF,2010-01-23,61,-39
USR0000NBUF,2010-01-24,28,-33
USR0000NBUF,2010-01-25,28,-6
USR0000NBUF,2010-01-26,61,-17
USR0000NBUF,2010-01-27,78,-11
USR0000NBUF,2010-01-28,83,-22
USR0000NBUF,2010-01-29,50,0
USR0000NBUF,2010-01-30,72,-6
USR0000NBUF,2010-01-31,89,-28
USR0000NBUF,2010-02-01,56,-22
USR0000NBUF,2010-02-02,106,-17
USR0000NBUF,2010-02-03,100,0
USR0000NBUF,2010-02-04,78,-6
USR0000NBUF,2010-02-05,128,17
USR0000NBUF,2010-02-06,78,0
USR0000NBUF,2010-02-07,100,17
USR0000NBUF,2010-02-08,78,0
USR0000NBUF,2010-02-09,67,0
USR0000NBUF,2010-02-10,78,-28
USR0000NBUF,2010-02-11,100,17
USR0000NBUF,2010-02-12,144,-6
USR0000NBUF,2010-02-13,139,-6
USR0000NBUF,2010-02-14,144,-22
USR0000NBUF,2010-02-15,161,11
USR0000NBUF,2010-02-16,156,17
USR0000NBUF,2010-02-17,156,11
USR0000NBUF,2010-02-18,133,6
USR0000NBUF,2010-02-19,117,6
USR0000NBUF,2010-02-20,94,-22
USR0000NBUF,2010-02-21,67,-17
USR0000NBUF,2010-02-22,67,-56
USR0000NBUF,2010-02-23,39,-61
USR0000NBUF,2010-02-24,106,-11
USR0000NBUF,2010-02-25,117,-17
USR0000NBUF,2010-02-26,128,6
USR0000NBUF,2010-02-27,106,22
USR0000NBUF,2010-02-28,144,0
USR0000NBUF,2010-03-01,150,-11
USR0000NBUF,2010-03-02,111,6
USR0000NBUF,2010-03-03,89,-11
USR0000NBUF,2010-03-04,89,-11
USR0000NBUF,2010-03-05,117,-39
USR0000NBUF,2010-03-06,128,22
USR0000NBUF,2010-03-07,172,-6
USR0000NBUF,2010-03-08,117,0
USR0000NBUF,2010-03-09,67,-33
USR0000NBUF,2010-03-10,72,-28
USR0000NBUF,2010-03-11,150,-72
USR0000NBUF,2010-03-12,122,-6
USR0000NBUF,2010-03-13,78,-22
USR0000NBUF,2010-03-14,122,-50
USR0000NBUF,2010-03-15,172,-44
USR0000NBUF,2010-03-16,217,-28
USR0000NBUF,2010-03-17,233,44
USR0000NBUF,2010-03-18,172,44
USR0000NBUF,2010-03-19,178,0
USR0000NBUF,2010-03-20,211,-22
USR0000NBUF,2010-03-21,189,17
USR0000NBUF,2010-03-22,150,11
USR0000NBUF,2010-03-23,156,-6
USR0000NBUF,2010-03-24,200,-22
USR0000NBUF,2010-03-25,100,11
USR0000NBUF,2010-03-26,122,-6
USR0000NBUF,2010-03-27,167,-17
USR0000NBUF,2010-03-28,206,0
USR0000NBUF,2010-03-29,183,78
USR0000NBUF,2010-03-30,83,0
USR0000NBUF,2010-03-31,83,-28
USR0000NBUF,2010-04-01,94,0
USR0000NBUF,2010-04-02,106,-39
USR0000NBUF,2010-04-03,67,-39
USR0000NBUF,2010-04-04,89,-56
USR0000NBUF,2010-04-05,78,-28
USR0000NBUF,2010-04-06,139,-11
USR0000NBUF,2010-04-07,183,0
USR0000NBUF,2010-04-08,183,11
USR0000NBUF,2010-04-09,144,0
USR0000NBUF,2010-04-10,172,28
USR0000NBUF,2010-04-11,156,22
USR0000NBUF,2010-04-12,106,11
USR0000NBUF,2010-04-13,139,11
USR0000NBUF,2010-04-14,161,0
USR0000NBUF,2010-04-15,200,-11
USR0000NBUF,2010-04-16,200,44
USR0000NBUF,2010-04-17,228,6
USR0000NBUF,2010-04-18,250,28
USR0000NBUF,2010-04-19,244,67
USR0000NBUF,2010-04-20,128,39
USR0000NBUF,2010-04-21,89,22
USR0000NBUF,2010-04-22,111,39
USR0000NBUF,2010-04-23,200,50
USR0000NBUF,2010-04-24,217,44
USR0000NBUF,2010-04-25,211,39
USR0000NBUF,2010-04-26,250,28
USR0000NBUF,2010-04-27,144,6
USR0000NBUF,2010-04-28,83,-11
USR0000NBUF,2010-04-29,106,0
USR0000NBUF,2010-04-30,156,6
USR0000NBUF,2010-05-01,189,39
USR0000NBUF,2010-05-02,206,11
USR0000NBUF,2010-05-03,244,28
USR0000NBUF,2010-05-04,200,33
USR0000NBUF,2010-05-05,150,11
USR0000NBUF,2010-05-06,156,-17
USR0000NBUF,2010-05-07,211,-17
USR0000NBUF,2010-05-08,206,61
USR0000NBUF,2010-05-09,200,50
USR0000NBUF,2010-05-10,117,6
USR0000NBUF,2010-05-11,144,17
USR0000NBUF,2010-05-12,189,39
USR0000NBUF,2010-05-13,222,39
USR0000NBUF,2010-05-14,261,39
USR0000NBUF,2010-05-15,283,83
USR0000NBUF,2010-05-16,261,94
USR0000NBUF,2010-05-17,200,61
USR0000NBUF,2010-05-18,194,33
USR0000NBUF,2010-05-19,217,61
USR0000NBUF,2010-05-20,200,50
USR0000NBUF,2010-05-21,156,6
USR0000NBUF,2010-05-22,111,0
USR0000NBUF,2010-05-23,167,11
USR0000NBUF,2010-05-24,167,56
USR0000NBUF,2010-05-25,189,6
