id,date,tmax,tmin
USR0000OWAN,2010-01-01,50,0
USR0000OWAN,2010-01-02,11,-11
USR0000OWAN,2010-01-03,56,-6
USR0000OWAN,2010-01-04,67,39
USR0000OWAN,2010-01-05,67,50
USR0000OWAN,2010-01-06,56,-39
USR0000OWAN,2010-01-07,0,-44
USR0000OWAN,2010-01-08,56,-11
USR0000OWAN,2010-01-09,61,11
USR0000OWAN,2010-01-10,67,6
USR0000OWAN,2010-01-11,106,61
USR0000OWAN,2010-01-12,61,28
USR0000OWAN,2010-01-13,28,0
USR0000OWAN,2010-01-14,56,0
USR0000OWAN,2010-01-15,100,0
USR0000OWAN,2010-01-16,39,0
USR0000OWAN,2010-01-17,33,6
USR0000OWAN,2010-01-18,72,-6
USR0000OWAN,2010-01-19,56,-6
USR0000OWAN,2010-01-20,22,-11
USR0000OWAN,2010-01-21,78,-6
USR0000OWAN,2010-01-22,17,-22
USR0000OWAN,2010-01-23,33,-28
USR0000OWAN,2010-01-24,28,-17
USR0000OWAN,2010-01-25,33,0
USR0000OWAN,2010-01-26,33,-17
USR0000OWAN,2010-01-27,61,-33
USR0000OWAN,2010-01-28,89,-17
USR0000OWAN,2010-01-29,28,0
USR0000OWAN,2010-01-30,28,0
USR0000OWAN,2010-01-31,50,-6
USR0000OWAN,2010-02-01,11,-11
USR0000OWAN,2010-02-02,100,-11
USR0000OWAN,2010-02-03,22,0
USR0000OWAN,2010-02-04,28,0
USR0000OWAN,2010-02-05,111,0
USR0000OWAN,2010-02-06,33,-6
USR0000OWAN,2010-02-07,44,-22
USR0000OWAN,2010-02-08,89,-22
USR0000OWAN,2010-02-09,100,-22
USR0000OWAN,2010-02-10,22,-11
USR0000OWAN,2010-02-11,44,6
USR0000OWAN,2010-02-12,33,0
USR0000OWAN,2010-02-13,56,0
USR0000OWAN,2010-02-14,44,0
USR0000OWAN,2010-02-15,106,0
USR0000OWAN,2010-02-16,78,17
USR0000OWAN,2010-02-17,139,0
USR0000OWAN,2010-02-18,89,-11
USR0000OWAN,2010-02-19,78,-11
USR0000OWAN,2010-02-20,61,-28
USR0000OWAN,2010-02-21,72,-39
USR0000OWAN,2010-02-22,106,-44
USR0000OWAN,2010-02-23,83,0
USR0000OWAN,2010-02-24,33,0
USR0000OWAN,2010-02-25,67,-6
USR0000OWAN,2010-02-26,44,22
USR0000OWAN,2010-02-27,89,0
USR0000OWAN,2010-02-28,128,0
USR0000OWAN,2010-03-01,117,22
USR0000OWAN,2010-03-02,56,0
USR0000OWAN,2010-03-03,44,0
USR0000OWAN,2010-03-04,56,-11
USR0000OWAN,2010-03-05,94,-17
USR0000OWAN,2010-03-06,139,0
USR0000OWAN,2010-03-07,94,-6
USR0000OWAN,2010-03-08,22,-61
USR0000OWAN,2010-03-09,11,-50
USR0000OWAN,2010-03-10,50,-44
USR0000OWAN,2010-03-11,17,-28
USR0000OWAN,2010-03-12,28,-39
USR0000OWAN,2010-03-13,50,-50
USR0000OWAN,2010-03-14,94,-50
USR0000OWAN,2010-03-15,144,17
USR0000OWAN,2010-03-16,150,-6
USR0000OWAN,2010-03-17,56,-39
USR0000OWAN,2010-03-18,133,-28
USR0000OWAN,2010-03-19,139,6
USR0000OWAN,2010-03-20,183,6
USR0000OWAN,2010-03-21,39,-6
USR0000OWAN,2010-03-22,89,-17
USR0000OWAN,2010-03-23,122,-22
USR0000OWAN,2010-03-24,167,11
USR0000OWAN,2010-03-25,28,-17
USR0000OWAN,2010-03-26,50,-17
USR0000OWAN,2010-03-27,117,-22
USR0000OWAN,2010-03-28,39,0
USR0000OWAN,2010-03-29,28,-28
USR0000OWAN,2010-03-30,28,-33
USR0000OWAN,2010-03-31,78,-39
USR0000OWAN,2010-04-01,67,-50
USR0000OWAN,2010-04-02,11,-44
USR0000OWAN,2010-04-03,22,-44
USR0000OWAN,2010-04-04,44,-33
USR0000OWAN,2010-04-05,33,-33
USR0000OWAN,2010-04-06,22,-28
USR0000OWAN,2010-04-07,72,-17
USR0000OWAN,2010-04-08,17,-61
USR0000OWAN,2010-04-09,39,-61
USR0000OWAN,2010-04-10,83,-28
USR0000OWAN,2010-04-11,139,-6
USR0000OWAN,2010-04-12,128,0
USR0000OWAN,2010-04-13,117,-17
USR0000OWAN,2010-04-14,139,-17
USR0000OWAN,2010-04-15,156,0
USR0000OWAN,2010-04-16,156,39
USR0000OWAN,2010-04-17,117,28
USR0000OWAN,2010-04-18,200,17
USR0000OWAN,2010-04-19,156,28
USR0000OWAN,2010-04-20,56,-6
USR0000OWAN,2010-04-21,22,-17
USR0000OWAN,2010-04-22,89,-11
USR0000OWAN,2010-04-23,156,0
USR0000OWAN,2010-04-24,56,-17
USR0000OWAN,2010-04-25,156,-17
USR0000OWAN,2010-04-26,128,28
USR0000OWAN,2010-04-27,56,-11
USR0000OWAN,2010-04-28,61,-17
USR0000OWAN,2010-04-29,50,-17
USR0000OWAN,2010-04-30,83,-11
USR0000OWAN,2010-05-01,44,0
USR0000OWAN,2010-05-02,83,-6
USR0000OWAN,2010-05-03,44,-33
USR0000OWAN,2010-05-04,72,-33
USR0000OWAN,2010-05-05,67,-33
USR0000OWAN,2010-05-06,89,-22
USR0000OWAN,2010-05-07,150,0
USR0000OWAN,2010-05-08,128,6
USR0000OWAN,2010-05-09,144,6
USR0000OWAN,2010-05-10,61,0
USR0000OWAN,2010-05-11,50,0
USR0000OWAN,2010-05-12,111,6
USR0000OWAN,2010-05-13,172,22
USR0000OWAN,2010-05-14,178,67
USR0000OWAN,2010-05-15,189,78
USR0000OWAN,2010-05-16,183,83
USR0000OWAN,2010-05-17,189,44
USR0000OWAN,2010-05-18,94,22
USR0000OWAN,2010-05-19,150,-6
USR0000OWAN,2010-05-20,67,-11
USR0000OWAN,2010-05-21,50,-11
USR0000OWAN,2010-05-22,56,-17
USR0000OWAN,2010-05-23,50,-11
USR0000OWAN,2010-05-24,67,-6
USR0000OWAN,2010-05-25,106,22
USR0000OWAN,2010-05-26,83,11
USR0000OWAN,2010-05-27,100,11
USR0000OWAN,2010-05-28,61,6
USR0000OWAN,2010-05-29,83,6
USR0000OWAN,2010-05-30,117,33
USR0000OWAN,2010-05-31,94,50
USR0000OWAN,2010-06-01,94,44
USR0000OWAN,2010-06-02,100,17
USR0000OWAN,2010-06-03,89,11
USR0000OWAN,2010-06-04,106,39
USR0000OWAN,2010-06-05,167,28
USR0000OWAN,2010-06-06,122,67
USR0000OWAN,2010-06-07,122,39
USR0000OWAN,2010-06-08,189,33
USR0000OWAN,2010-06-09,94,22
USR0000OWAN,2010-06-10,67,22
USR0000OWAN,2010-06-11,83,17
USR0000OWAN,2010-06-12,217,72
USR0000OWAN,2010-06-13,189,22
USR0000OWAN,2010-06-14,128,-6
USR0000OWAN,2010-06-15,61,0
USR0000OWAN,2010-06-16,50,0
USR0000OWAN,2010-06-17,78,17
USR0000OWAN,2010-06-18,133,22
USR0000OWAN,2010-06-19,94,39
USR0000OWAN,2010-06-20,67,33
USR0000OWAN,2010-06-21,133,33
USR0000OWAN,2010-06-22,183,50
USR0000OWAN,2010-06-23,211,106
USR0000OWAN,2010-06-24,206,94
USR0000OWAN,2010-06-25,183,78
USR0000OWAN,2010-06-26,200,72
USR0000OWAN,2010-06-27,211,89
USR0000OWAN,2010-06-28,211,78
USR0000OWAN,2010-06-29,139,39
USR0000OWAN,2010-06-30,150,22
USR0000OWAN,2010-07-01,156,50
USR0000OWAN,2010-07-02,89,39
USR0000OWAN,2010-07-03,117,28
USR0000OWAN,2010-07-04,133,44
USR0000OWAN,2010-07-05,94,28
USR0000OWAN,2010-07-06,250,78
USR0000OWAN,2010-07-07,294,139
USR0000OWAN,2010-07-08,311,167
USR0000OWAN,2010-07-09,283,144
USR0000OWAN,2010-07-10,233,122
USR0000OWAN,2010-07-11,244,117
USR0000OWAN,2010-07-12,133,39
USR0000OWAN,2010-07-13,150,22
USR0000OWAN,2010-07-14,250,50
USR0000OWAN,2010-07-15,272,128
USR0000OWAN,2010-07-16,233,94
USR0000OWAN,2010-07-17,233,78
USR0000OWAN,2010-07-18,189,78
USR0000OWAN,2010-07-19,217,56
USR0000OWAN,2010-07-20,233,78
