id,date,tmax,tmin
USR0000TCON,2010-01-01,128,6
USR0000TCON,2010-01-02,133,-17
USR0000TCON,2010-01-03,94,6
USR0000TCON,2010-01-04,78,-17
USR0000TCON,2010-01-05,94,-44
USR0000TCON,2010-01-06,117,-28
USR0000TCON,2010-01-07,100,-22
USR0000TCON,2010-01-08,-6,-56
USR0000TCON,2010-01-09,50,-89
USR0000TCON,2010-01-10,78,-72
USR0000TCON,2010-01-11,128,-67
USR0000TCON,2010-01-12,183,-17
USR0000TCON,2010-01-13,144,-6
USR0000TCON,2010-01-14,133,72
USR0000TCON,2010-01-15,111,89
USR0000TCON,2010-01-16,106,56
USR0000TCON,2010-01-17,172,39
USR0000TCON,2010-01-18,211,28
USR0000TCON,2010-01-19,244,100
USR0000TCON,2010-01-20,233,178
USR0000TCON,2010-01-21,244,78
USR0000TCON,2010-01-22,250,61
USR0000TCON,2010-01-23,228,117
USR0000TCON,2010-01-24,194,67
USR0000TCON,2010-01-25,183,17
USR0000TCON,2010-01-26,211,17
USR0000TCON,2010-01-27,194,44
USR0000TCON,2010-01-28,183,128
USR0000TCON,2010-01-29,167,22
USR0000TCON,2010-01-30,22,6
USR0000TCON,2010-01-31,83,6
USR0000TCON,2010-02-01,100,11
USR0000TCON,2010-02-02,144,72
USR0000TCON,2010-02-03,117,78
USR0000TCON,2010-02-04,117,78
USR0000TCON,2010-02-05,150,56
USR0000TCON,2010-02-06,167,33
USR0000TCON,2010-02-07,106,22
USR0000TCON,2010-02-08,194,67
USR0000TCON,2010-02-09,94,0
USR0000TCON,2010-02-10,94,-11
USR0000TCON,2010-02-11,50,22
USR0000TCON,2010-02-12,39,11
USR0000TCON,2010-02-13,100,11
USR0000TCON,2010-02-14,200,0
USR0000TCON,2010-02-15,106,-17
USR0000TCON,2010-02-16,139,-22
USR0000TCON,2010-02-17,156,-22
USR0000TCON,2010-02-18,172,-17
USR0000TCON,2010-02-19,156,56
USR0000TCON,2010-02-20,200,83
USR0000TCON,2010-02-21,222,117
USR0000TCON,2010-02-22,122,61
USR0000TCON,2010-02-23,67,6
USR0000TCON,2010-02-24,106,-11
