id,date,tmax,tmin
USR0000VBAC,2010-01-01,61,17
USR0000VBAC,2010-01-02,6,-33
USR0000VBAC,2010-01-03,6,-56
USR0000VBAC,2010-01-04,22,-50
USR0000VBAC,2010-01-05,22,-50
USR0000VBAC,2010-01-06,50,-44
USR0000VBAC,2010-01-07,56,-33
USR0000VBAC,2010-01-08,39,-17
USR0000VBAC,2010-01-09,17,-39
USR0000VBAC,2010-01-10,0,-33
USR0000VBAC,2010-01-11,50,-56
USR0000VBAC,2010-01-12,28,-11
USR0000VBAC,2010-01-13,61,-22
USR0000VBAC,2010-01-14,89,-11
USR0000VBAC,2010-01-15,144,6
USR0000VBAC,2010-01-16,83,-6
USR0000VBAC,2010-01-17,172,39
USR0000VBAC,2010-01-18,117,44
USR0000VBAC,2010-01-19,172,56
USR0000VBAC,2010-01-20,78,33
USR0000VBAC,2010-01-21,67,33
USR0000VBAC,2010-01-22,67,33
USR0000VBAC,2010-01-23,61,28
USR0000VBAC,2010-01-24,172,50
USR0000VBAC,2010-01-25,167,100
USR0000VBAC,2010-01-26,106,56
USR0000VBAC,2010-01-27,67,22
USR0000VBAC,2010-01-28,144,33
USR0000VBAC,2010-01-29,22,-17
USR0000VBAC,2010-01-30,11,-44
USR0000VBAC,2010-01-31,0,-61
USR0000VBAC,2010-02-01,56,-44
USR0000VBAC,2010-02-02,56,-39
USR0000VBAC,2010-02-03,67,22
USR0000VBAC,2010-02-04,50,22
USR0000VBAC,2010-02-05,89,22
USR0000VBAC,2010-02-06,100,-22
USR0000VBAC,2010-02-07,28,-22
USR0000VBAC,2010-02-08,44,-22
USR0000VBAC,2010-02-09,56,-33
USR0000VBAC,2010-02-10,44,-17
USR0000VBAC,2010-02-11,72,6
USR0000VBAC,2010-02-12,33,-6
USR0000VBAC,2010-02-13,17,-11
USR0000VBAC,2010-02-14,61,-22
USR0000VBAC,2010-02-15,111,-6
USR0000VBAC,2010-02-16,50,0
USR0000VBAC,2010-02-17,44,-17
USR0000VBAC,2010-02-18,94,-6
USR0000VBAC,2010-02-19,106,6
USR0000VBAC,2010-02-20,94,0
USR0000VBAC,2010-02-21,111,22
USR0000VBAC,2010-02-22,94,28
USR0000VBAC,2010-02-23,89,50
USR0000VBAC,2010-02-24,67,22
USR0000VBAC,2010-02-25,72,11
USR0000VBAC,2010-02-26,83,0
USR0000VBAC,2010-02-27,83,6
USR0000VBAC,2010-02-28,94,0
USR0000VBAC,2010-03-01,122,22
USR0000VBAC,2010-03-02,67,28
USR0000VBAC,2010-03-03,39,6
USR0000VBAC,2010-03-04,94,28
USR0000VBAC,2010-03-05,72,22
USR0000VBAC,2010-03-06,72,33
USR0000VBAC,2010-03-07,106,22
USR0000VBAC,2010-03-08,117,39
USR0000VBAC,2010-03-09,122,44
USR0000VBAC,2010-03-10,217,56
USR0000VBAC,2010-03-11,150,94
USR0000VBAC,2010-03-12,117,94
USR0000VBAC,2010-03-13,189,94
USR0000VBAC,2010-03-14,150,100
USR0000VBAC,2010-03-15,106,72
USR0000VBAC,2010-03-16,106,39
USR0000VBAC,2010-03-17,144,50
USR0000VBAC,2010-03-18,122,61
USR0000VBAC,2010-03-19,172,78
USR0000VBAC,2010-03-20,250,106
USR0000VBAC,2010-03-21,222,117
USR0000VBAC,2010-03-22,161,106
USR0000VBAC,2010-03-23,150,78
USR0000VBAC,2010-03-24,206,83
USR0000VBAC,2010-03-25,211,94
USR0000VBAC,2010-03-26,194,56
USR0000VBAC,2010-03-27,89,56
USR0000VBAC,2010-03-28,167,67
USR0000VBAC,2010-03-29,150,94
USR0000VBAC,2010-03-30,178,83
USR0000VBAC,2010-03-31,211,89
USR0000VBAC,2010-04-01,144,89
USR0000VBAC,2010-04-02,161,83
USR0000VBAC,2010-04-03,172,72
USR0000VBAC,2010-04-04,222,128
USR0000VBAC,2010-04-05,294,122
USR0000VBAC,2010-04-06,289,194
USR0000VBAC,2010-04-07,300,194
USR0000VBAC,2010-04-08,267,189
USR0000VBAC,2010-04-09,211,100
USR0000VBAC,2010-04-10,150,94
USR0000VBAC,2010-04-11,228,122
USR0000VBAC,2010-04-12,189,117
USR0000VBAC,2010-04-13,178,100
USR0000VBAC,2010-04-14,139,67
USR0000VBAC,2010-04-15,167,56
USR0000VBAC,2010-04-16,294,139
USR0000VBAC,2010-04-17,217,117
USR0000VBAC,2010-04-18,144,89
USR0000VBAC,2010-04-19,161,94
USR0000VBAC,2010-04-20,178,100
USR0000VBAC,2010-04-21,161,111
USR0000VBAC,2010-04-22,211,106
USR0000VBAC,2010-04-23,211,133
USR0000VBAC,2010-04-24,172,128
USR0000VBAC,2010-04-25,261,172
USR0000VBAC,2010-04-26,267,144
USR0000VBAC,2010-04-27,183,117
USR0000VBAC,2010-04-28,172,94
USR0000VBAC,2010-04-29,222,94
USR0000VBAC,2010-04-30,283,144
USR0000VBAC,2010-05-01,306,183
USR0000VBAC,2010-05-02,317,217
USR0000VBAC,2010-05-03,289,228
USR0000VBAC,2010-05-04,261,189
USR0000VBAC,2010-05-05,278,178
USR0000VBAC,2010-05-06,311,194
USR0000VBAC,2010-05-07,217,167
USR0000VBAC,2010-05-08,311,178
USR0000VBAC,2010-05-09,194,139
USR0000VBAC,2010-05-10,161,89
USR0000VBAC,2010-05-11,172,89
USR0000VBAC,2010-05-12,283,150
USR0000VBAC,2010-05-13,161,133
USR0000VBAC,2010-05-14,311,167
USR0000VBAC,2010-05-15,278,178
USR0000VBAC,2010-05-16,217,167
USR0000VBAC,2010-05-17,189,150
USR0000VBAC,2010-05-18,200,144
USR0000VBAC,2010-05-19,189,133
USR0000VBAC,2010-05-20,217,139
USR0000VBAC,2010-05-21,239,172
