id,date,prcp,tmax,tmin
USW00014933,2010-01-01,0,-133,-217
USW00014933,2010-01-02,0,-172,-272
USW00014933,2010-01-03,0,-128,-211
USW00014933,2010-01-04,0,-156,-244
USW00014933,2010-01-05,0,-128,-228
USW00014933,2010-01-06,48,-100,-189
USW00014933,2010-01-07,25,-100,-178
USW00014933,2010-01-08,0,-144,-189
USW00014933,2010-01-09,0,-133,-222
USW00014933,2010-01-10,0,-50,-206
USW00014933,2010-01-11,0,-39,-106
USW00014933,2010-01-12,0,-56,-128
USW00014933,2010-01-13,0,67,-72
USW00014933,2010-01-14,0,22,-17
USW00014933,2010-01-15,0,-17,-44
USW00014933,2010-01-16,0,6,-56
USW00014933,2010-01-17,0,11,-22
USW00014933,2010-01-18,0,-11,-50
USW00014933,2010-01-19,0,-22,-50
USW00014933,2010-01-20,170,11,-33
USW00014933,2010-01-21,0,17,0
USW00014933,2010-01-22,0,17,0
USW00014933,2010-01-23,107,50,17
USW00014933,2010-01-24,3,28,-28
USW00014933,2010-01-25,71,-28,-106
USW00014933,2010-01-26,0,-72,-122
USW00014933,2010-01-27,0,-39,-111
USW00014933,2010-01-28,0,-111,-161
USW00014933,2010-01-29,0,-94,-161
USW00014933,2010-01-30,0,-61,-139
USW00014933,2010-01-31,0,-56,-106
USW00014933,2010-02-01,20,0,-100
USW00014933,2010-02-02,3,-11,-128
USW00014933,2010-02-03,0,-22,-156
USW00014933,2010-02-04,0,17,-22
USW00014933,2010-02-05,33,11,-11
USW00014933,2010-02-06,0,0,-39
USW00014933,2010-02-07,28,-11,-50
USW00014933,2010-02-08,48,-17,-183
USW00014933,2010-02-09,3,-33,-228
USW00014933,2010-02-10,0,-56,-144
USW00014933,2010-02-11,3,-28,-178
USW00014933,2010-02-12,0,-6,-61
USW00014933,2010-02-13,18,-6,-44
USW00014933,2010-02-14,33,-39,-100
USW00014933,2010-02-15,13,-50,-94
USW00014933,2010-02-16,0,-39,-89
USW00014933,2010-02-17,0,-22,-122
USW00014933,2010-02-18,0,11,-144
USW00014933,2010-02-19,74,-28,-78
USW00014933,2010-02-20,0,6,-39
USW00014933,2010-02-21,0,-17,-78
USW00014933,2010-02-22,0,-44,-117
USW00014933,2010-02-23,0,-56,-150
USW00014933,2010-02-24,0,-100,-200
USW00014933,2010-02-25,0,-28,-222
USW00014933,2010-02-26,0,6,-167
USW00014933,2010-02-27,0,-6,-111
USW00014933,2010-02-28,0,17,-117
USW00014933,2010-03-01,0,28,-89
USW00014933,2010-03-02,0,33,-106
USW00014933,2010-03-03,0,33,-94
USW00014933,2010-03-04,0,50,-94
USW00014933,2010-03-05,0,61,-50
USW00014933,2010-03-06,79,50,-6
USW00014933,2010-03-07,8,39,17
USW00014933,2010-03-08,0,72,11
USW00014933,2010-03-09,97,67,17
USW00014933,2010-03-10,38,78,28
USW00014933,2010-03-11,132,78,33
USW00014933,2010-03-12,8,78,22
USW00014933,2010-03-13,15,67,33
USW00014933,2010-03-14,0,128,44
USW00014933,2010-03-15,0,111,28
USW00014933,2010-03-16,3,67,22
USW00014933,2010-03-17,13,150,39
USW00014933,2010-03-18,0,178,17
USW00014933,2010-03-19,71,94,-17
USW00014933,2010-03-20,25,39,-17
USW00014933,2010-03-21,0,100,-17
USW00014933,2010-03-22,0,139,-33
USW00014933,2010-03-23,0,161,11
USW00014933,2010-03-24,38,106,72
USW00014933,2010-03-25,0,117,17
USW00014933,2010-03-26,0,128,-6
USW00014933,2010-03-27,28,122,50
USW00014933,2010-03-28,0,139,33
USW00014933,2010-03-29,0,178,-6
USW00014933,2010-03-30,0,250,94
USW00014933,2010-03-31,0,261,128
USW00014933,2010-04-01,0,300,144
USW00014933,2010-04-02,66,217,83
USW00014933,2010-04-03,0,178,28
USW00014933,2010-04-04,0,178,83
USW00014933,2010-04-05,3,183,28
USW00014933,2010-04-06,183,300,111
USW00014933,2010-04-07,124,111,44
USW00014933,2010-04-08,0,139,6
USW00014933,2010-04-09,0,222,6
USW00014933,2010-04-10,0,200,89
USW00014933,2010-04-11,0,222,83
USW00014933,2010-04-12,0,261,111
USW00014933,2010-04-13,0,272,122
USW00014933,2010-04-14,0,283,156
USW00014933,2010-04-15,8,272,144
USW00014933,2010-04-16,0,172,94
USW00014933,2010-04-17,0,189,56
USW00014933,2010-04-18,0,200,44
USW00014933,2010-04-19,0,222,78
USW00014933,2010-04-20,0,228,83
USW00014933,2010-04-21,0,211,100
USW00014933,2010-04-22,0,228,78
USW00014933,2010-04-23,170,167,133
USW00014933,2010-04-24,183,200,128
USW00014933,2010-04-25,300,133,100
USW00014933,2010-04-26,33,106,83
USW00014933,2010-04-27,5,178,78
USW00014933,2010-04-28,0,211,61
USW00014933,2010-04-29,0,278,139
USW00014933,2010-04-30,117,217,139
USW00014933,2010-05-01,0,217,94
USW00014933,2010-05-02,36,228,111
USW00014933,2010-05-03,0,206,89
USW00014933,2010-05-04,5,278,94
USW00014933,2010-05-05,3,217,94
USW00014933,2010-05-06,0,189,67
USW00014933,2010-05-07,147,156,67
USW00014933,2010-05-08,0,117,39
USW00014933,2010-05-09,0,167,17
USW00014933,2010-05-10,229,128,89
USW00014933,2010-05-11,61,133,89
USW00014933,2010-05-12,549,117,72
USW00014933,2010-05-13,74,144,83
USW00014933,2010-05-14,0,200,50
USW00014933,2010-05-15,0,217,83
USW00014933,2010-05-16,0,178,139
USW00014933,2010-05-17,13,222,122
USW00014933,2010-05-18,0,244,89
USW00014933,2010-05-19,0,239,111
USW00014933,2010-05-20,48,178,139
USW00014933,2010-05-21,3,217,139
USW00014933,2010-05-22,0,294,128
USW00014933,2010-05-23,0,289,228
USW00014933,2010-05-24,0,328,217
USW00014933,2010-05-25,15,306,194
USW00014933,2010-05-26,0,294,178
USW00014933,2010-05-27,0,300,172
USW00014933,2010-05-28,0,294,139
USW00014933,2010-05-29,0,306,156
USW00014933,2010-05-30,36,322,172
USW00014933,2010-05-31,0,283,161
USW00014933,2010-06-01,401,306,150
USW00014933,2010-06-02,0,261,178
USW00014933,2010-06-03,3,261,144
USW00014933,2010-06-04,81,311,194
USW00014933,2010-06-05,142,289,161
USW00014933,2010-06-06,0,289,139
USW00014933,2010-06-07,33,244,189
USW00014933,2010-06-08,124,267,189
USW00014933,2010-06-09,0,294,167
USW00014933,2010-06-10,218,239,178
USW00014933,2010-06-11,48,311,206
USW00014933,2010-06-12,246,289,194
USW00014933,2010-06-13,140,250,178
USW00014933,2010-06-14,109,283,194
USW00014933,2010-06-15,76,261,183
USW00014933,2010-06-16,0,300,156
USW00014933,2010-06-17,132,328,194
USW00014933,2010-06-18,122,283,172
USW00014933,2010-06-19,117,294,183
USW00014933,2010-06-20,15,267,206
USW00014933,2010-06-21,142,289,189
USW00014933,2010-06-22,46,333,217
USW00014933,2010-06-23,300,300,200
USW00014933,2010-06-24,0,283,183
USW00014933,2010-06-25,8,317,189
USW00014933,2010-06-26,447,333,194
USW00014933,2010-06-27,455,289,200
USW00014933,2010-06-28,0,289,189
USW00014933,2010-06-29,0,267,156
USW00014933,2010-06-30,0,283,161
USW00014933,2010-07-01,0,289,178
USW00014933,2010-07-02,0,306,178
USW00014933,2010-07-03,0,322,194
USW00014933,2010-07-04,152,267,217
USW00014933,2010-07-05,132,267,217
USW00014933,2010-07-06,0,300,217
USW00014933,2010-07-07,20,294,228
USW00014933,2010-07-08,0,278,211
USW00014933,2010-07-09,0,311,194
USW00014933,2010-07-10,0,306,189
USW00014933,2010-07-11,23,283,211
USW00014933,2010-07-12,51,278,206
USW00014933,2010-07-13,0,317,200
USW00014933,2010-07-14,20,361,228
USW00014933,2010-07-15,0,306,211
USW00014933,2010-07-16,0,322,189
USW00014933,2010-07-17,0,350,233
USW00014933,2010-07-18,404,317,211
USW00014933,2010-07-19,140,278,206
USW00014933,2010-07-20,41,300,217
USW00014933,2010-07-21,0,294,222
USW00014933,2010-07-22,0,344,250
USW00014933,2010-07-23,147,311,228
USW00014933,2010-07-24,5,278,217
USW00014933,2010-07-25,0,300,189
USW00014933,2010-07-26,0,306,206
USW00014933,2010-07-27,0,333,222
USW00014933,2010-07-28,0,311,222
USW00014933,2010-07-29,0,289,189
USW00014933,2010-07-30,246,267,211
USW00014933,2010-07-31,0,311,217
USW00014933,2010-08-01,0,311,206
USW00014933,2010-08-02,76,294,222
USW00014933,2010-08-03,368,328,228
USW00014933,2010-08-04,43,300,222
USW00014933,2010-08-05,0,300,206
USW00014933,2010-08-06,0,300,194
USW00014933,2010-08-07,0,322,211
USW00014933,2010-08-08,615,350,222
USW00014933,2010-08-09,361,317,222
USW00014933,2010-08-10,483,339,222
USW00014933,2010-08-11,193,344,217
USW00014933,2010-08-12,0,344,250
USW00014933,2010-08-13,5,328,239
USW00014933,2010-08-14,0,322,222
USW00014933,2010-08-15,0,283,183
USW00014933,2010-08-16,0,300,167
USW00014933,2010-08-17,150,239,178
USW00014933,2010-08-18,0,283,167
USW00014933,2010-08-19,0,311,200
USW00014933,2010-08-20,79,267,217
USW00014933,2010-08-21,0,339,200
USW00014933,2010-08-22,0,328,228
USW00014933,2010-08-23,0,311,217
USW00014933,2010-08-24,3,272,167
USW00014933,2010-08-25,0,272,139
USW00014933,2010-08-26,0,283,144
USW00014933,2010-08-27,0,300,178
USW00014933,2010-08-28,0,317,167
USW00014933,2010-08-29,0,333,194
USW00014933,2010-08-30,0,322,222
USW00014933,2010-08-31,356,311,211
USW00014933,2010-09-01,3,278,206
USW00014933,2010-09-02,13,278,156
USW00014933,2010-09-03,0,233,133
USW00014933,2010-09-04,0,233,94
USW00014933,2010-09-05,8,278,150
USW00014933,2010-09-06,25,294,144
USW00014933,2010-09-07,0,239,133
USW00014933,2010-09-08,0,250,111
USW00014933,2010-09-09,0,233,178
USW00014933,2010-09-10,185,222,172
USW00014933,2010-09-11,0,261,156
USW00014933,2010-09-12,0,306,133
USW00014933,2010-09-13,36,283,161
USW00014933,2010-09-14,0,289,167
USW00014933,2010-09-15,13,272,172
USW00014933,2010-09-16,0,194,117
USW00014933,2010-09-17,0,278,111
USW00014933,2010-09-18,147,217,100
USW00014933,2010-09-19,38,144,100
USW00014933,2010-09-20,0,317,144
USW00014933,2010-09-21,61,272,189
USW00014933,2010-09-22,0,283,189
USW00014933,2010-09-23,373,267,161
USW00014933,2010-09-24,0,228,128
USW00014933,2010-09-25,140,133,94
USW00014933,2010-09-26,0,200,67
USW00014933,2010-09-27,0,217,72
USW00014933,2010-09-28,0,233,128
USW00014933,2010-09-29,0,278,100
USW00014933,2010-09-30,0,244,111
USW00014933,2010-10-01,0,261,94
USW00014933,2010-10-02,0,161,67
USW00014933,2010-10-03,0,167,39
USW00014933,2010-10-04,0,183,39
USW00014933,2010-10-05,0,222,56
USW00014933,2010-10-06,0,278,94
USW00014933,2010-10-07,0,256,61
USW00014933,2010-10-08,0,306,94
USW00014933,2010-10-09,0,300,128
USW00014933,2010-10-10,0,283,139
USW00014933,2010-10-11,0,244,150
USW00014933,2010-10-12,8,283,111
USW00014933,2010-10-13,0,211,78
USW00014933,2010-10-14,0,244,50
USW00014933,2010-10-15,0,200,56
USW00014933,2010-10-16,0,244,94
USW00014933,2010-10-17,0,194,50
USW00014933,2010-10-18,0,178,56
USW00014933,2010-10-19,0,189,28
USW00014933,2010-10-20,0,228,61
USW00014933,2010-10-21,0,178,50
USW00014933,2010-10-22,0,256,56
USW00014933,2010-10-23,89,239,156
USW00014933,2010-10-24,0,189,122
USW00014933,2010-10-25,0,222,106
USW00014933,2010-10-26,56,161,78
USW00014933,2010-10-27,0,139,44
USW00014933,2010-10-28,0,94,0
USW00014933,2010-10-29,0,172,-22
USW00014933,2010-10-30,0,211,61
USW00014933,2010-10-31,0,117,28
USW00014933,2010-11-01,0,139,22
USW00014933,2010-11-02,0,139,11
USW00014933,2010-11-03,0,172,50
USW00014933,2010-11-04,0,106,0
USW00014933,2010-11-05,0,94,-33
USW00014933,2010-11-06,0,144,-17
USW00014933,2010-11-07,0,211,56
USW00014933,2010-11-08,0,211,94
USW00014933,2010-11-09,0,228,89
USW00014933,2010-11-10,0,206,56
USW00014933,2010-11-11,0,133,17
USW00014933,2010-11-12,498,94,50
USW00014933,2010-11-13,28,106,0
USW00014933,2010-11-14,0,78,-17
USW00014933,2010-11-15,0,117,-11
USW00014933,2010-11-16,0,72,6
USW00014933,2010-11-17,0,50,-6
USW00014933,2010-11-18,0,39,0
USW00014933,2010-11-19,0,94,-6
USW00014933,2010-11-20,0,61,-33
USW00014933,2010-11-21,8,133,28
USW00014933,2010-11-22,3,39,-17
USW00014933,2010-11-23,0,6,-72
USW00014933,2010-11-24,18,33,-33
USW00014933,2010-11-25,0,-17,-89
USW00014933,2010-11-26,0,39,-89
USW00014933,2010-11-27,0,72,-50
USW00014933,2010-11-28,0,144,0
USW00014933,2010-11-29,28,111,-22
USW00014933,2010-11-30,0,-22,-56
USW00014933,2010-12-01,0,0,-94
USW00014933,2010-12-02,0,56,-39
USW00014933,2010-12-03,0,17,-61
USW00014933,2010-12-04,0,-6,-89
USW00014933,2010-12-05,0,-28,-117
USW00014933,2010-12-06,0,-28,-111
USW00014933,2010-12-07,0,-39,-128
USW00014933,2010-12-08,0,-6,-122
USW00014933,2010-12-09,0,83,-44
USW00014933,2010-12-10,0,117,-39
USW00014933,2010-12-11,89,78,-83
