id,date,prcp,tmax,tmin
UVM00065503,2010-01-01,NA,337,167
UVM00065503,2010-01-02,NA,337,168
UVM00065503,2010-01-03,NA,NA,170
UVM00065503,2010-01-04,NA,348,144
UVM00065503,2010-01-05,NA,NA,137
UVM00065503,2010-01-06,NA,351,NA
UVM00065503,2010-01-07,NA,355,NA
UVM00065503,2010-01-08,NA,355,157
UVM00065503,2010-01-09,NA,350,NA
UVM00065503,2010-01-10,NA,NA,165
UVM00065503,2010-01-11,NA,NA,146
UVM00065503,2010-01-12,NA,364,176
UVM00065503,2010-01-13,NA,371,NA
UVM00065503,2010-01-14,NA,370,164
UVM00065503,2010-01-15,NA,366,NA
UVM00065503,2010-01-16,NA,365,152
UVM00065503,2010-01-17,NA,352,NA
UVM00065503,2010-01-18,NA,337,NA
UVM00065503,2010-01-19,NA,327,176
UVM00065503,2010-01-20,NA,335,150
UVM00065503,2010-01-21,NA,345,141
UVM00065503,2010-01-22,NA,346,158
UVM00065503,2010-01-23,NA,346,NA
UVM00065503,2010-01-24,NA,349,NA
UVM00065503,2010-01-25,NA,360,189
UVM00065503,2010-01-26,NA,NA,200
UVM00065503,2010-01-27,NA,NA,179
UVM00065503,2010-01-28,NA,NA,NA
UVM00065503,2010-01-29,NA,NA,NA
UVM00065503,2010-01-30,NA,363,180
UVM00065503,2010-01-31,NA,NA,179
UVM00065503,2010-02-01,NA,350,NA
UVM00065503,2010-02-02,NA,367,175
UVM00065503,2010-02-03,NA,385,185
UVM00065503,2010-02-04,NA,NA,NA
UVM00065503,2010-02-05,NA,370,219
UVM00065503,2010-02-06,NA,350,NA
UVM00065503,2010-02-07,NA,345,NA
UVM00065503,2010-02-08,NA,354,NA
UVM00065503,2010-02-09,NA,360,NA
UVM00065503,2010-02-10,NA,378,NA
UVM00065503,2010-02-11,NA,NA,180
UVM00065503,2010-02-12,NA,388,190
UVM00065503,2010-02-13,NA,358,NA
UVM00065503,2010-02-14,NA,387,NA
UVM00065503,2010-02-15,NA,395,229
UVM00065503,2010-02-16,NA,401,NA
UVM00065503,2010-02-17,NA,404,236
UVM00065503,2010-02-18,NA,410,NA
UVM00065503,2010-02-19,NA,417,230
UVM00065503,2010-02-20,NA,NA,NA
UVM00065503,2010-02-21,NA,423,NA
UVM00065503,2010-02-22,NA,420,NA
UVM00065503,2010-02-23,NA,418,225
UVM00065503,2010-02-24,NA,NA,216
UVM00065503,2010-02-25,NA,420,233
UVM00065503,2010-02-26,NA,420,210
UVM00065503,2010-02-27,NA,416,244
UVM00065503,2010-02-28,NA,415,239
UVM00065503,2010-03-01,NA,402,250
UVM00065503,2010-03-02,NA,403,230
UVM00065503,2010-03-03,NA,410,196
UVM00065503,2010-03-04,NA,402,NA
