id,date,prcp,tmax,tmin
UY000086360,2010-01-01,NA,NA,159
UY000086360,2010-01-02,NA,NA,198
UY000086360,2010-01-03,NA,NA,173
UY000086360,2010-01-04,NA,NA,247
UY000086360,2010-01-05,NA,NA,234
UY000086360,2010-01-06,201,NA,214
UY000086360,2010-01-07,0,NA,143
UY000086360,2010-01-08,NA,NA,150
UY000086360,2010-01-09,3,NA,235
UY000086360,2010-01-10,61,NA,211
UY000086360,2010-01-11,0,NA,198
UY000086360,2010-01-12,460,262,194
UY000086360,2010-01-13,20,NA,128
UY000086360,2010-01-14,0,NA,162
UY000086360,2010-01-15,NA,NA,176
UY000086360,2010-01-16,NA,NA,196
UY000086360,2010-01-17,0,NA,174
UY000086360,2010-01-18,0,NA,184
UY000086360,2010-01-19,99,NA,192
UY000086360,2010-01-20,0,NA,171
UY000086360,2010-01-21,NA,NA,200
UY000086360,2010-01-22,NA,NA,184
UY000086360,2010-01-23,NA,NA,160
UY000086360,2010-01-24,NA,NA,170
UY000086360,2010-01-25,NA,NA,199
UY000086360,2010-01-26,NA,NA,206
UY000086360,2010-01-27,NA,NA,196
UY000086360,2010-01-28,NA,NA,189
UY000086360,2010-01-29,NA,NA,200
UY000086360,2010-01-30,NA,NA,208
UY000086360,2010-01-31,NA,NA,NA
UY000086360,2010-02-01,211,NA,195
UY000086360,2010-02-02,239,NA,222
UY000086360,2010-02-03,10,NA,247
UY000086360,2010-02-04,589,NA,184
UY000086360,2010-02-05,61,NA,206
UY000086360,2010-02-06,1461,NA,202
UY000086360,2010-02-07,381,NA,206
UY000086360,2010-02-08,8,NA,220
UY000086360,2010-02-09,0,NA,164
UY000086360,2010-02-10,NA,NA,168
UY000086360,2010-02-11,NA,NA,193
UY000086360,2010-02-12,NA,NA,216
UY000086360,2010-02-13,NA,NA,222
UY000086360,2010-02-14,150,NA,199
UY000086360,2010-02-15,290,NA,207
UY000086360,2010-02-16,340,NA,182
UY000086360,2010-02-17,0,NA,166
UY000086360,2010-02-18,NA,NA,189
UY000086360,2010-02-19,NA,NA,230
UY000086360,2010-02-20,599,NA,208
UY000086360,2010-02-21,170,NA,224
UY000086360,2010-02-22,0,NA,234
UY000086360,2010-02-23,79,NA,208
UY000086360,2010-02-24,0,NA,142
UY000086360,2010-02-25,NA,NA,113
UY000086360,2010-02-26,NA,NA,120
UY000086360,2010-02-27,NA,NA,155
UY000086360,2010-02-28,NA,NA,144
UY000086360,2010-03-01,NA,NA,148
UY000086360,2010-03-02,NA,NA,179
UY000086360,2010-03-03,3,NA,208
UY000086360,2010-03-04,0,NA,201
UY000086360,2010-03-05,NA,NA,182
UY000086360,2010-03-06,NA,NA,186
UY000086360,2010-03-07,NA,NA,159
UY000086360,2010-03-08,NA,NA,166
UY000086360,2010-03-09,NA,NA,NA
UY000086360,2010-03-10,NA,NA,174
UY000086360,2010-03-11,NA,NA,157
UY000086360,2010-03-12,NA,NA,137
UY000086360,2010-03-13,NA,NA,148
UY000086360,2010-03-14,NA,NA,178
UY000086360,2010-03-15,NA,NA,125
UY000086360,2010-03-16,NA,NA,106
UY000086360,2010-03-17,NA,NA,164
UY000086360,2010-03-18,109,260,NA
UY000086360,2010-03-19,119,NA,190
UY000086360,2010-03-20,0,NA,182
UY000086360,2010-03-21,NA,NA,179
UY000086360,2010-03-22,NA,NA,145
UY000086360,2010-03-23,NA,NA,132
UY000086360,2010-03-24,NA,NA,126
UY000086360,2010-03-25,NA,NA,144
UY000086360,2010-03-26,NA,NA,160
UY000086360,2010-03-27,NA,NA,182
UY000086360,2010-03-28,NA,NA,178
UY000086360,2010-03-29,NA,NA,178
UY000086360,2010-03-30,NA,NA,154
UY000086360,2010-03-31,NA,NA,142
UY000086360,2010-04-01,NA,NA,158
UY000086360,2010-04-02,NA,NA,160
UY000086360,2010-04-03,NA,NA,152
UY000086360,2010-04-04,NA,NA,94
UY000086360,2010-04-05,NA,NA,72
UY000086360,2010-04-06,NA,NA,82
UY000086360,2010-04-07,NA,NA,84
UY000086360,2010-04-08,NA,NA,94
UY000086360,2010-04-09,NA,NA,106
UY000086360,2010-04-10,NA,NA,96
UY000086360,2010-04-11,NA,NA,100
UY000086360,2010-04-12,NA,NA,124
UY000086360,2010-04-13,NA,NA,168
UY000086360,2010-04-14,20,174,NA
UY000086360,2010-04-15,211,NA,80
UY000086360,2010-04-16,0,NA,74
UY000086360,2010-04-17,NA,NA,102
UY000086360,2010-04-18,NA,NA,180
UY000086360,2010-04-19,NA,NA,205
UY000086360,2010-04-20,10,NA,166
UY000086360,2010-04-21,0,NA,155
UY000086360,2010-04-22,NA,NA,140
UY000086360,2010-04-23,NA,NA,61
UY000086360,2010-04-24,NA,NA,38
UY000086360,2010-04-25,NA,NA,98
UY000086360,2010-04-26,0,NA,130
UY000086360,2010-04-27,0,NA,52
UY000086360,2010-04-28,NA,NA,38
UY000086360,2010-04-29,NA,NA,31
UY000086360,2010-04-30,NA,NA,36
UY000086360,2010-05-01,NA,NA,70
UY000086360,2010-05-02,NA,NA,66
UY000086360,2010-05-03,NA,NA,112
UY000086360,2010-05-04,150,NA,136
UY000086360,2010-05-05,0,NA,92
UY000086360,2010-05-06,NA,NA,114
UY000086360,2010-05-07,3,NA,86
UY000086360,2010-05-08,0,NA,40
UY000086360,2010-05-09,NA,NA,16
UY000086360,2010-05-10,NA,NA,18
UY000086360,2010-05-11,NA,NA,36
UY000086360,2010-05-12,NA,NA,60
UY000086360,2010-05-13,NA,NA,54
UY000086360,2010-05-14,NA,NA,92
UY000086360,2010-05-15,NA,NA,116
UY000086360,2010-05-16,NA,NA,90
UY000086360,2010-05-17,10,NA,83
UY000086360,2010-05-18,99,NA,116
UY000086360,2010-05-19,20,NA,136
UY000086360,2010-05-20,5,NA,140
UY000086360,2010-05-21,5,NA,147
UY000086360,2010-05-22,3,NA,127
UY000086360,2010-05-23,30,NA,164
UY000086360,2010-05-24,119,163,128
UY000086360,2010-05-25,5,NA,132
UY000086360,2010-05-26,0,NA,50
UY000086360,2010-05-27,0,NA,80
UY000086360,2010-05-28,NA,NA,132
UY000086360,2010-05-29,191,NA,136
UY000086360,2010-05-30,239,NA,NA
UY000086360,2010-05-31,0,NA,44
UY000086360,2010-06-01,NA,NA,16
UY000086360,2010-06-02,0,NA,24
UY000086360,2010-06-03,NA,NA,68
UY000086360,2010-06-04,NA,NA,88
UY000086360,2010-06-05,NA,NA,54
UY000086360,2010-06-06,NA,NA,48
UY000086360,2010-06-07,NA,NA,39
UY000086360,2010-06-08,NA,NA,42
UY000086360,2010-06-09,NA,NA,23
UY000086360,2010-06-10,NA,NA,10
UY000086360,2010-06-11,NA,NA,46
UY000086360,2010-06-12,NA,NA,126
UY000086360,2010-06-13,NA,NA,124
UY000086360,2010-06-14,NA,NA,148
UY000086360,2010-06-15,0,NA,82
UY000086360,2010-06-16,99,NA,119
UY000086360,2010-06-17,5,NA,120
UY000086360,2010-06-18,0,NA,106
UY000086360,2010-06-19,20,NA,NA
UY000086360,2010-06-20,0,NA,35
UY000086360,2010-06-21,NA,NA,22
UY000086360,2010-06-22,NA,NA,4
UY000086360,2010-06-23,NA,NA,63
UY000086360,2010-06-24,0,NA,177
UY000086360,2010-06-25,NA,NA,70
UY000086360,2010-06-26,NA,NA,74
UY000086360,2010-06-27,99,NA,NA
UY000086360,2010-06-28,0,NA,50
UY000086360,2010-06-29,NA,NA,0
UY000086360,2010-06-30,51,NA,99
UY000086360,2010-07-01,0,NA,135
UY000086360,2010-07-02,NA,NA,154
UY000086360,2010-07-03,NA,NA,164
UY000086360,2010-07-04,NA,NA,158
UY000086360,2010-07-05,NA,NA,154
UY000086360,2010-07-06,NA,NA,170
UY000086360,2010-07-07,330,183,NA
UY000086360,2010-07-08,89,NA,30
UY000086360,2010-07-09,0,NA,40
UY000086360,2010-07-10,NA,NA,33
UY000086360,2010-07-11,NA,NA,80
UY000086360,2010-07-12,NA,NA,40
UY000086360,2010-07-13,NA,NA,-16
UY000086360,2010-07-14,NA,NA,-10
UY000086360,2010-07-15,NA,NA,-10
UY000086360,2010-07-16,NA,NA,-30
UY000086360,2010-07-17,NA,NA,2
UY000086360,2010-07-18,30,NA,68
UY000086360,2010-07-19,99,NA,48
UY000086360,2010-07-20,10,NA,21
UY000086360,2010-07-21,0,NA,40
UY000086360,2010-07-22,NA,NA,-10
UY000086360,2010-07-23,NA,NA,-20
UY000086360,2010-07-24,NA,NA,-6
UY000086360,2010-07-25,51,NA,59
UY000086360,2010-07-26,0,NA,7
UY000086360,2010-07-27,NA,174,34
UY000086360,2010-07-28,NA,NA,72
UY000086360,2010-07-29,NA,NA,23
UY000086360,2010-07-30,NA,NA,144
UY000086360,2010-07-31,201,NA,98
