id,date,prcp,tmax,tmin
UYM00086580,2010-01-01,NA,NA,126
UYM00086580,2010-01-02,NA,NA,180
UYM00086580,2010-01-03,NA,NA,NA
UYM00086580,2010-01-04,10,NA,NA
UYM00086580,2010-01-05,310,NA,188
UYM00086580,2010-01-06,0,284,NA
UYM00086580,2010-01-07,NA,NA,112
UYM00086580,2010-01-08,NA,NA,132
UYM00086580,2010-01-09,NA,NA,NA
UYM00086580,2010-01-10,NA,NA,215
UYM00086580,2010-01-11,NA,304,205
UYM00086580,2010-01-12,249,294,200
UYM00086580,2010-01-13,5,NA,150
UYM00086580,2010-01-14,0,NA,152
UYM00086580,2010-01-15,NA,NA,150
UYM00086580,2010-01-16,0,320,195
UYM00086580,2010-01-17,5,NA,160
UYM00086580,2010-01-18,0,338,208
UYM00086580,2010-01-19,1501,320,NA
UYM00086580,2010-01-20,79,NA,191
UYM00086580,2010-01-21,0,NA,156
UYM00086580,2010-01-22,NA,315,NA
UYM00086580,2010-01-23,NA,310,190
UYM00086580,2010-01-24,NA,NA,180
UYM00086580,2010-01-25,NA,NA,200
UYM00086580,2010-01-26,NA,296,188
UYM00086580,2010-01-27,NA,282,185
UYM00086580,2010-01-28,NA,NA,NA
UYM00086580,2010-01-29,NA,NA,NA
UYM00086580,2010-01-30,NA,312,220
UYM00086580,2010-01-31,NA,318,NA
UYM00086580,2010-02-01,NA,NA,214
UYM00086580,2010-02-02,0,316,240
UYM00086580,2010-02-03,0,NA,NA
UYM00086580,2010-02-04,NA,322,198
UYM00086580,2010-02-05,NA,268,210
UYM00086580,2010-02-06,99,266,NA
UYM00086580,2010-02-07,0,260,200
UYM00086580,2010-02-08,279,NA,180
UYM00086580,2010-02-09,0,NA,156
UYM00086580,2010-02-10,NA,318,185
UYM00086580,2010-02-11,NA,310,230
UYM00086580,2010-02-12,NA,297,NA
UYM00086580,2010-02-13,NA,NA,NA
UYM00086580,2010-02-14,41,332,210
UYM00086580,2010-02-15,0,NA,200
UYM00086580,2010-02-16,0,265,NA
UYM00086580,2010-02-17,99,NA,170
UYM00086580,2010-02-18,0,NA,170
UYM00086580,2010-02-19,NA,NA,205
UYM00086580,2010-02-20,239,310,210
UYM00086580,2010-02-21,5,272,NA
UYM00086580,2010-02-22,0,NA,NA
UYM00086580,2010-02-23,381,280,NA
UYM00086580,2010-02-24,8,230,130
UYM00086580,2010-02-25,0,204,130
UYM00086580,2010-02-26,NA,NA,100
UYM00086580,2010-02-27,NA,NA,140
UYM00086580,2010-02-28,NA,244,150
UYM00086580,2010-03-01,NA,NA,NA
UYM00086580,2010-03-02,NA,NA,142
UYM00086580,2010-03-03,30,NA,NA
UYM00086580,2010-03-04,201,290,200
UYM00086580,2010-03-05,41,280,NA
UYM00086580,2010-03-06,0,268,NA
UYM00086580,2010-03-07,20,NA,NA
UYM00086580,2010-03-08,0,250,NA
UYM00086580,2010-03-09,0,NA,215
UYM00086580,2010-03-10,NA,NA,177
UYM00086580,2010-03-11,NA,292,168
UYM00086580,2010-03-12,51,234,NA
UYM00086580,2010-03-13,0,NA,125
UYM00086580,2010-03-14,NA,281,180
UYM00086580,2010-03-15,NA,222,146
UYM00086580,2010-03-16,NA,214,118
UYM00086580,2010-03-17,NA,NA,136
UYM00086580,2010-03-18,201,288,174
UYM00086580,2010-03-19,0,254,NA
UYM00086580,2010-03-20,NA,252,NA
UYM00086580,2010-03-21,NA,NA,165
UYM00086580,2010-03-22,130,NA,170
UYM00086580,2010-03-23,0,NA,136
UYM00086580,2010-03-24,NA,272,140
UYM00086580,2010-03-25,NA,228,120
UYM00086580,2010-03-26,NA,NA,NA
UYM00086580,2010-03-27,NA,288,NA
UYM00086580,2010-03-28,NA,250,NA
UYM00086580,2010-03-29,NA,NA,NA
UYM00086580,2010-03-30,NA,260,155
UYM00086580,2010-03-31,NA,NA,196
UYM00086580,2010-04-01,NA,297,170
UYM00086580,2010-04-02,NA,270,NA
UYM00086580,2010-04-03,NA,230,165
UYM00086580,2010-04-04,5,209,145
UYM00086580,2010-04-05,0,NA,NA
UYM00086580,2010-04-06,NA,NA,90
UYM00086580,2010-04-07,NA,NA,76
UYM00086580,2010-04-08,NA,210,NA
UYM00086580,2010-04-09,NA,NA,NA
UYM00086580,2010-04-10,NA,NA,120
UYM00086580,2010-04-11,NA,NA,148
UYM00086580,2010-04-12,NA,NA,140
UYM00086580,2010-04-13,NA,284,144
UYM00086580,2010-04-14,279,259,168
UYM00086580,2010-04-15,0,176,NA
UYM00086580,2010-04-16,180,NA,120
UYM00086580,2010-04-17,0,NA,90
UYM00086580,2010-04-18,30,NA,132
UYM00086580,2010-04-19,79,NA,170
UYM00086580,2010-04-20,0,231,NA
UYM00086580,2010-04-21,NA,214,NA
UYM00086580,2010-04-22,NA,198,88
UYM00086580,2010-04-23,NA,190,116
UYM00086580,2010-04-24,NA,NA,35
UYM00086580,2010-04-25,NA,190,72
UYM00086580,2010-04-26,20,178,NA
UYM00086580,2010-04-27,0,NA,NA
UYM00086580,2010-04-28,NA,NA,74
UYM00086580,2010-04-29,NA,NA,NA
UYM00086580,2010-04-30,NA,NA,74
UYM00086580,2010-05-01,NA,NA,115
