id,date,prcp,tmax,tmin
UZM00038565,2010-01-01,NA,164,32
UZM00038565,2010-01-02,NA,170,NA
UZM00038565,2010-01-03,NA,160,48
UZM00038565,2010-01-04,NA,173,134
UZM00038565,2010-01-05,NA,184,112
UZM00038565,2010-01-06,NA,NA,NA
UZM00038565,2010-01-07,NA,20,-30
UZM00038565,2010-01-08,NA,32,NA
UZM00038565,2010-01-09,NA,-8,-77
UZM00038565,2010-01-10,NA,33,-98
UZM00038565,2010-01-11,NA,81,-82
UZM00038565,2010-01-12,NA,163,-74
UZM00038565,2010-01-13,NA,96,NA
UZM00038565,2010-01-14,NA,137,27
UZM00038565,2010-01-15,NA,154,NA
UZM00038565,2010-01-16,NA,175,25
UZM00038565,2010-01-17,NA,100,NA
UZM00038565,2010-01-18,NA,-20,-69
UZM00038565,2010-01-19,NA,28,-88
UZM00038565,2010-01-20,NA,78,-41
UZM00038565,2010-01-21,NA,134,-13
UZM00038565,2010-01-22,NA,130,28
UZM00038565,2010-01-23,NA,67,NA
UZM00038565,2010-01-24,NA,90,NA
UZM00038565,2010-01-25,NA,109,-27
UZM00038565,2010-01-26,NA,137,7
UZM00038565,2010-01-27,20,NA,NA
UZM00038565,2010-01-28,81,-13,NA
UZM00038565,2010-01-29,NA,20,-90
UZM00038565,2010-01-30,NA,140,-10
UZM00038565,2010-01-31,NA,142,11
UZM00038565,2010-02-01,NA,148,10
UZM00038565,2010-02-02,NA,140,5
UZM00038565,2010-02-03,NA,110,NA
UZM00038565,2010-02-04,NA,65,-5
UZM00038565,2010-02-05,191,32,NA
UZM00038565,2010-02-06,28,47,NA
UZM00038565,2010-02-07,NA,35,NA
UZM00038565,2010-02-08,13,-64,NA
UZM00038565,2010-02-09,NA,-24,-111
UZM00038565,2010-02-10,NA,10,-95
UZM00038565,2010-02-11,NA,-30,NA
UZM00038565,2010-02-12,NA,-73,-148
UZM00038565,2010-02-13,NA,-65,NA
UZM00038565,2010-02-14,NA,-52,-190
UZM00038565,2010-02-15,NA,-10,-109
UZM00038565,2010-02-16,NA,41,-100
UZM00038565,2010-02-17,NA,155,-25
UZM00038565,2010-02-18,71,92,NA
UZM00038565,2010-02-19,150,112,26
UZM00038565,2010-02-20,NA,172,36
UZM00038565,2010-02-21,NA,80,47
UZM00038565,2010-02-22,NA,150,56
UZM00038565,2010-02-23,NA,202,NA
UZM00038565,2010-02-24,NA,104,20
UZM00038565,2010-02-25,74,73,31
UZM00038565,2010-02-26,NA,114,34
UZM00038565,2010-02-27,NA,82,25
UZM00038565,2010-02-28,61,109,24
UZM00038565,2010-03-01,NA,NA,57
UZM00038565,2010-03-02,NA,139,36
UZM00038565,2010-03-03,NA,101,52
UZM00038565,2010-03-04,114,110,50
UZM00038565,2010-03-05,NA,126,63
UZM00038565,2010-03-06,NA,160,69
UZM00038565,2010-03-07,NA,188,79
UZM00038565,2010-03-08,NA,228,NA
UZM00038565,2010-03-09,NA,NA,80
UZM00038565,2010-03-10,NA,230,98
UZM00038565,2010-03-11,NA,NA,NA
UZM00038565,2010-03-12,NA,52,-30
UZM00038565,2010-03-13,NA,NA,-4
UZM00038565,2010-03-14,NA,264,93
UZM00038565,2010-03-15,NA,270,99
UZM00038565,2010-03-16,NA,311,208
UZM00038565,2010-03-17,NA,263,NA
UZM00038565,2010-03-18,NA,140,60
UZM00038565,2010-03-19,NA,206,NA
UZM00038565,2010-03-20,NA,NA,NA
UZM00038565,2010-03-21,NA,89,-6
UZM00038565,2010-03-22,NA,105,NA
UZM00038565,2010-03-23,NA,130,-1
UZM00038565,2010-03-24,NA,152,NA
UZM00038565,2010-03-25,NA,195,28
UZM00038565,2010-03-26,NA,200,NA
UZM00038565,2010-03-27,NA,70,NA
UZM00038565,2010-03-28,NA,134,-16
UZM00038565,2010-03-29,NA,120,38
UZM00038565,2010-03-30,NA,127,NA
UZM00038565,2010-03-31,NA,190,76
UZM00038565,2010-04-01,NA,233,80
UZM00038565,2010-04-02,33,180,97
UZM00038565,2010-04-03,NA,185,110
UZM00038565,2010-04-04,NA,192,90
UZM00038565,2010-04-05,NA,246,80
UZM00038565,2010-04-06,NA,NA,NA
UZM00038565,2010-04-07,NA,160,76
UZM00038565,2010-04-08,NA,193,54
UZM00038565,2010-04-09,NA,240,82
UZM00038565,2010-04-10,NA,230,128
UZM00038565,2010-04-11,20,174,NA
UZM00038565,2010-04-12,NA,183,90
UZM00038565,2010-04-13,NA,226,74
UZM00038565,2010-04-14,NA,296,NA
UZM00038565,2010-04-15,NA,208,NA
UZM00038565,2010-04-16,NA,200,68
UZM00038565,2010-04-17,NA,221,90
UZM00038565,2010-04-18,NA,213,NA
UZM00038565,2010-04-19,NA,244,74
UZM00038565,2010-04-20,NA,286,71
UZM00038565,2010-04-21,NA,232,NA
UZM00038565,2010-04-22,NA,262,139
UZM00038565,2010-04-23,NA,295,118
UZM00038565,2010-04-24,NA,290,127
UZM00038565,2010-04-25,NA,291,108
UZM00038565,2010-04-26,NA,281,109
UZM00038565,2010-04-27,NA,234,114
UZM00038565,2010-04-28,NA,273,113
UZM00038565,2010-04-29,NA,210,89
UZM00038565,2010-04-30,NA,252,102
UZM00038565,2010-05-01,NA,199,103
UZM00038565,2010-05-02,NA,217,90
UZM00038565,2010-05-03,NA,219,105
UZM00038565,2010-05-04,NA,265,138
UZM00038565,2010-05-05,NA,285,130
UZM00038565,2010-05-06,NA,310,126
UZM00038565,2010-05-07,NA,322,152
UZM00038565,2010-05-08,NA,310,167
UZM00038565,2010-05-09,NA,310,150
UZM00038565,2010-05-10,NA,256,NA
UZM00038565,2010-05-11,NA,234,NA
UZM00038565,2010-05-12,NA,245,128
UZM00038565,2010-05-13,NA,290,146
UZM00038565,2010-05-14,NA,282,153
UZM00038565,2010-05-15,NA,250,136
UZM00038565,2010-05-16,NA,241,128
UZM00038565,2010-05-17,NA,283,NA
UZM00038565,2010-05-18,NA,296,143
UZM00038565,2010-05-19,NA,312,174
UZM00038565,2010-05-20,NA,352,162
UZM00038565,2010-05-21,NA,274,NA
UZM00038565,2010-05-22,NA,217,NA
UZM00038565,2010-05-23,NA,250,118
UZM00038565,2010-05-24,NA,300,126
UZM00038565,2010-05-25,NA,294,157
UZM00038565,2010-05-26,NA,270,169
UZM00038565,2010-05-27,NA,280,164
UZM00038565,2010-05-28,NA,290,145
UZM00038565,2010-05-29,NA,327,144
UZM00038565,2010-05-30,NA,336,158
UZM00038565,2010-05-31,NA,341,176
UZM00038565,2010-06-01,NA,262,185
UZM00038565,2010-06-02,NA,242,NA
UZM00038565,2010-06-03,NA,277,144
UZM00038565,2010-06-04,NA,285,129
UZM00038565,2010-06-05,NA,307,128
UZM00038565,2010-06-06,NA,311,144
UZM00038565,2010-06-07,NA,320,148
UZM00038565,2010-06-08,NA,350,175
UZM00038565,2010-06-09,NA,372,168
UZM00038565,2010-06-10,NA,378,206
UZM00038565,2010-06-11,NA,366,198
UZM00038565,2010-06-12,NA,370,NA
UZM00038565,2010-06-13,NA,360,190
UZM00038565,2010-06-14,NA,350,184
UZM00038565,2010-06-15,NA,367,180
UZM00038565,2010-06-16,NA,NA,197
UZM00038565,2010-06-17,NA,333,184
UZM00038565,2010-06-18,NA,357,206
UZM00038565,2010-06-19,NA,370,194
UZM00038565,2010-06-20,NA,407,232
UZM00038565,2010-06-21,NA,391,206
UZM00038565,2010-06-22,NA,348,206
UZM00038565,2010-06-23,NA,305,218
UZM00038565,2010-06-24,NA,304,206
UZM00038565,2010-06-25,NA,311,189
UZM00038565,2010-06-26,NA,335,182
UZM00038565,2010-06-27,NA,360,178
UZM00038565,2010-06-28,NA,365,185
UZM00038565,2010-06-29,NA,363,206
UZM00038565,2010-06-30,NA,370,192
UZM00038565,2010-07-01,NA,368,179
UZM00038565,2010-07-02,NA,379,189
UZM00038565,2010-07-03,NA,387,176
UZM00038565,2010-07-04,NA,380,209
UZM00038565,2010-07-05,NA,340,205
UZM00038565,2010-07-06,NA,365,192
UZM00038565,2010-07-07,NA,382,179
UZM00038565,2010-07-08,NA,390,201
UZM00038565,2010-07-09,NA,421,210
UZM00038565,2010-07-10,NA,363,NA
UZM00038565,2010-07-11,NA,355,188
UZM00038565,2010-07-12,NA,360,174
UZM00038565,2010-07-13,NA,375,192
UZM00038565,2010-07-14,NA,397,235
UZM00038565,2010-07-15,NA,395,NA
UZM00038565,2010-07-16,NA,398,238
UZM00038565,2010-07-17,NA,374,201
UZM00038565,2010-07-18,NA,350,226
UZM00038565,2010-07-19,NA,350,214
UZM00038565,2010-07-20,NA,379,196
UZM00038565,2010-07-21,NA,285,NA
UZM00038565,2010-07-22,NA,290,157
UZM00038565,2010-07-23,NA,296,149
UZM00038565,2010-07-24,NA,NA,144
UZM00038565,2010-07-25,NA,300,139
UZM00038565,2010-07-26,NA,325,208
UZM00038565,2010-07-27,NA,340,189
UZM00038565,2010-07-28,NA,350,230
UZM00038565,2010-07-29,NA,330,NA
UZM00038565,2010-07-30,NA,320,193
UZM00038565,2010-07-31,NA,315,NA
UZM00038565,2010-08-01,NA,332,166
