id,date,prcp,tmax,tmin
VE000080450,2010-01-01,NA,NA,NA
VE000080450,2010-01-02,NA,NA,NA
VE000080450,2010-01-03,NA,NA,220
VE000080450,2010-01-04,NA,NA,NA
VE000080450,2010-01-05,NA,NA,NA
VE000080450,2010-01-06,NA,NA,NA
VE000080450,2010-01-07,NA,NA,NA
VE000080450,2010-01-08,NA,NA,NA
VE000080450,2010-01-09,NA,NA,NA
VE000080450,2010-01-10,NA,NA,NA
VE000080450,2010-01-11,NA,NA,NA
VE000080450,2010-01-12,NA,NA,NA
VE000080450,2010-01-13,NA,NA,NA
VE000080450,2010-01-14,NA,351,240
VE000080450,2010-01-15,NA,NA,250
VE000080450,2010-01-16,NA,NA,246
VE000080450,2010-01-17,NA,NA,NA
VE000080450,2010-01-18,NA,NA,NA
VE000080450,2010-01-19,NA,354,NA
VE000080450,2010-01-20,NA,NA,NA
VE000080450,2010-01-21,NA,350,NA
VE000080450,2010-01-22,NA,341,245
VE000080450,2010-01-23,NA,NA,236
VE000080450,2010-01-24,NA,358,NA
VE000080450,2010-01-25,NA,352,NA
VE000080450,2010-01-26,NA,NA,238
VE000080450,2010-01-27,NA,NA,NA
VE000080450,2010-01-28,NA,356,229
VE000080450,2010-01-29,NA,334,NA
VE000080450,2010-01-30,NA,NA,NA
VE000080450,2010-01-31,NA,NA,NA
VE000080450,2010-02-01,NA,NA,254
VE000080450,2010-02-02,NA,NA,NA
VE000080450,2010-02-03,NA,NA,NA
VE000080450,2010-02-04,NA,360,NA
VE000080450,2010-02-05,NA,NA,NA
VE000080450,2010-02-06,NA,NA,NA
VE000080450,2010-02-07,NA,NA,NA
VE000080450,2010-02-08,NA,NA,NA
VE000080450,2010-02-09,NA,362,NA
VE000080450,2010-02-10,NA,360,252
VE000080450,2010-02-11,NA,NA,NA
VE000080450,2010-02-12,NA,NA,245
VE000080450,2010-02-13,NA,NA,NA
VE000080450,2010-02-14,NA,NA,270
VE000080450,2010-02-15,NA,NA,NA
VE000080450,2010-02-16,NA,370,250
VE000080450,2010-02-17,NA,NA,NA
VE000080450,2010-02-18,NA,NA,NA
VE000080450,2010-02-19,NA,374,270
VE000080450,2010-02-20,NA,NA,NA
VE000080450,2010-02-21,NA,NA,246
VE000080450,2010-02-22,NA,374,260
VE000080450,2010-02-23,NA,NA,NA
VE000080450,2010-02-24,NA,NA,NA
VE000080450,2010-02-25,NA,NA,NA
VE000080450,2010-02-26,NA,NA,263
VE000080450,2010-02-27,NA,376,NA
VE000080450,2010-02-28,NA,NA,NA
VE000080450,2010-03-01,NA,NA,254
VE000080450,2010-03-02,NA,NA,NA
VE000080450,2010-03-03,NA,NA,283
VE000080450,2010-03-04,NA,NA,270
VE000080450,2010-03-05,NA,386,261
VE000080450,2010-03-06,NA,NA,NA
VE000080450,2010-03-07,NA,386,NA
VE000080450,2010-03-08,NA,NA,NA
VE000080450,2010-03-09,NA,NA,265
VE000080450,2010-03-10,NA,NA,NA
VE000080450,2010-03-11,NA,384,NA
VE000080450,2010-03-12,NA,385,269
VE000080450,2010-03-13,NA,NA,262
VE000080450,2010-03-14,NA,380,258
VE000080450,2010-03-15,NA,384,NA
VE000080450,2010-03-16,NA,390,NA
VE000080450,2010-03-17,NA,NA,266
VE000080450,2010-03-18,NA,379,NA
