id,date,prcp,tmax,tmin
VEM00080472,2010-01-01,NA,NA,NA
VEM00080472,2010-01-02,NA,NA,174
VEM00080472,2010-01-03,NA,NA,NA
VEM00080472,2010-01-04,NA,347,NA
VEM00080472,2010-01-05,NA,NA,213
VEM00080472,2010-01-06,NA,NA,NA
VEM00080472,2010-01-07,NA,NA,NA
VEM00080472,2010-01-08,NA,NA,NA
VEM00080472,2010-01-09,NA,NA,NA
VEM00080472,2010-01-10,NA,NA,NA
VEM00080472,2010-01-11,NA,NA,196
VEM00080472,2010-01-12,NA,NA,NA
VEM00080472,2010-01-13,NA,NA,NA
VEM00080472,2010-01-14,NA,NA,NA
VEM00080472,2010-01-15,NA,NA,203
VEM00080472,2010-01-16,NA,NA,209
VEM00080472,2010-01-17,NA,NA,NA
VEM00080472,2010-01-18,NA,NA,217
VEM00080472,2010-01-19,NA,361,226
VEM00080472,2010-01-20,NA,NA,NA
VEM00080472,2010-01-21,NA,NA,NA
VEM00080472,2010-01-22,NA,NA,NA
VEM00080472,2010-01-23,NA,NA,NA
VEM00080472,2010-01-24,NA,360,NA
VEM00080472,2010-01-25,NA,360,229
VEM00080472,2010-01-26,NA,NA,196
VEM00080472,2010-01-27,NA,350,NA
VEM00080472,2010-01-28,NA,363,219
VEM00080472,2010-01-29,NA,318,NA
VEM00080472,2010-01-30,0,NA,218
VEM00080472,2010-01-31,NA,NA,NA
VEM00080472,2010-02-01,NA,352,225
VEM00080472,2010-02-02,NA,NA,NA
VEM00080472,2010-02-03,NA,356,NA
VEM00080472,2010-02-04,NA,NA,NA
VEM00080472,2010-02-05,NA,NA,NA
VEM00080472,2010-02-06,NA,NA,NA
VEM00080472,2010-02-07,NA,NA,NA
VEM00080472,2010-02-08,NA,NA,NA
VEM00080472,2010-02-09,NA,NA,225
VEM00080472,2010-02-10,NA,369,240
VEM00080472,2010-02-11,NA,363,225
VEM00080472,2010-02-12,NA,360,220
VEM00080472,2010-02-13,NA,NA,197
VEM00080472,2010-02-14,NA,NA,216
VEM00080472,2010-02-15,NA,NA,NA
VEM00080472,2010-02-16,NA,366,220
VEM00080472,2010-02-17,NA,NA,NA
VEM00080472,2010-02-18,NA,NA,239
VEM00080472,2010-02-19,NA,375,NA
VEM00080472,2010-02-20,NA,NA,NA
VEM00080472,2010-02-21,NA,366,225
VEM00080472,2010-02-22,NA,370,NA
VEM00080472,2010-02-23,NA,NA,208
VEM00080472,2010-02-24,NA,NA,246
VEM00080472,2010-02-25,NA,382,235
VEM00080472,2010-02-26,NA,NA,258
VEM00080472,2010-02-27,NA,NA,234
VEM00080472,2010-02-28,NA,362,NA
VEM00080472,2010-03-01,NA,NA,208
VEM00080472,2010-03-02,NA,NA,NA
VEM00080472,2010-03-03,NA,NA,NA
VEM00080472,2010-03-04,NA,NA,250
VEM00080472,2010-03-05,NA,384,NA
VEM00080472,2010-03-06,NA,NA,NA
VEM00080472,2010-03-07,NA,NA,NA
VEM00080472,2010-03-08,NA,NA,NA
VEM00080472,2010-03-09,NA,NA,245
VEM00080472,2010-03-10,NA,NA,NA
VEM00080472,2010-03-11,NA,376,NA
VEM00080472,2010-03-12,NA,NA,246
VEM00080472,2010-03-13,NA,NA,251
VEM00080472,2010-03-14,NA,376,243
VEM00080472,2010-03-15,NA,382,NA
VEM00080472,2010-03-16,NA,383,NA
VEM00080472,2010-03-17,NA,NA,256
VEM00080472,2010-03-18,0,NA,NA
VEM00080472,2010-03-19,0,350,NA
VEM00080472,2010-03-20,51,NA,210
VEM00080472,2010-03-21,0,NA,248
VEM00080472,2010-03-22,NA,NA,NA
VEM00080472,2010-03-23,NA,NA,NA
VEM00080472,2010-03-24,NA,372,NA
VEM00080472,2010-03-25,NA,NA,246
VEM00080472,2010-03-26,NA,NA,239
VEM00080472,2010-03-27,NA,NA,243
VEM00080472,2010-03-28,NA,NA,NA
VEM00080472,2010-03-29,NA,NA,253
VEM00080472,2010-03-30,NA,NA,NA
VEM00080472,2010-03-31,NA,378,250
VEM00080472,2010-04-01,NA,375,NA
VEM00080472,2010-04-02,NA,350,NA
VEM00080472,2010-04-03,NA,NA,NA
VEM00080472,2010-04-04,NA,NA,240
VEM00080472,2010-04-05,NA,340,NA
VEM00080472,2010-04-06,89,275,NA
VEM00080472,2010-04-07,71,NA,NA
VEM00080472,2010-04-08,61,NA,238
VEM00080472,2010-04-09,0,NA,228
VEM00080472,2010-04-10,NA,NA,NA
VEM00080472,2010-04-11,NA,340,235
VEM00080472,2010-04-12,10,NA,NA
VEM00080472,2010-04-13,0,354,NA
VEM00080472,2010-04-14,61,NA,NA
VEM00080472,2010-04-15,0,NA,230
VEM00080472,2010-04-16,559,322,203
VEM00080472,2010-04-17,0,NA,229
VEM00080472,2010-04-18,300,NA,228
VEM00080472,2010-04-19,0,NA,NA
VEM00080472,2010-04-20,5,334,235
VEM00080472,2010-04-21,211,343,232
VEM00080472,2010-04-22,0,NA,234
VEM00080472,2010-04-23,NA,NA,NA
VEM00080472,2010-04-24,NA,NA,245
VEM00080472,2010-04-25,5,NA,NA
VEM00080472,2010-04-26,0,NA,248
VEM00080472,2010-04-27,NA,NA,230
VEM00080472,2010-04-28,99,350,NA
VEM00080472,2010-04-29,0,NA,242
VEM00080472,2010-04-30,79,NA,227
VEM00080472,2010-05-01,0,NA,226
VEM00080472,2010-05-02,NA,NA,NA
VEM00080472,2010-05-03,NA,NA,NA
VEM00080472,2010-05-04,NA,NA,NA
VEM00080472,2010-05-05,NA,NA,228
VEM00080472,2010-05-06,NA,353,NA
VEM00080472,2010-05-07,NA,342,226
VEM00080472,2010-05-08,NA,NA,NA
VEM00080472,2010-05-09,NA,334,221
VEM00080472,2010-05-10,51,NA,243
VEM00080472,2010-05-11,0,NA,234
VEM00080472,2010-05-12,NA,339,NA
VEM00080472,2010-05-13,160,NA,NA
VEM00080472,2010-05-14,221,NA,220
VEM00080472,2010-05-15,30,NA,226
VEM00080472,2010-05-16,41,NA,NA
VEM00080472,2010-05-17,0,NA,225
VEM00080472,2010-05-18,10,336,NA
VEM00080472,2010-05-19,0,NA,242
VEM00080472,2010-05-20,20,NA,234
VEM00080472,2010-05-21,0,333,NA
VEM00080472,2010-05-22,NA,326,NA
VEM00080472,2010-05-23,NA,322,NA
VEM00080472,2010-05-24,NA,NA,NA
VEM00080472,2010-05-25,NA,325,NA
VEM00080472,2010-05-26,170,315,216
VEM00080472,2010-05-27,0,NA,NA
VEM00080472,2010-05-28,130,276,NA
VEM00080472,2010-05-29,450,NA,NA
VEM00080472,2010-05-30,0,NA,NA
VEM00080472,2010-05-31,NA,NA,246
VEM00080472,2010-06-01,NA,NA,NA
VEM00080472,2010-06-02,361,NA,NA
VEM00080472,2010-06-03,0,NA,225
VEM00080472,2010-06-04,NA,336,NA
