id,date,prcp,tmax,tmin
VM000048900,2010-01-01,NA,330,NA
VM000048900,2010-01-02,NA,NA,220
VM000048900,2010-01-03,NA,326,NA
VM000048900,2010-01-04,NA,324,NA
VM000048900,2010-01-05,NA,332,NA
VM000048900,2010-01-06,NA,334,NA
VM000048900,2010-01-07,NA,340,216
VM000048900,2010-01-08,NA,327,NA
VM000048900,2010-01-09,NA,320,NA
VM000048900,2010-01-10,NA,332,204
VM000048900,2010-01-11,NA,316,NA
VM000048900,2010-01-12,NA,320,NA
VM000048900,2010-01-13,NA,324,NA
VM000048900,2010-01-14,NA,320,NA
VM000048900,2010-01-15,NA,324,193
VM000048900,2010-01-16,NA,306,202
VM000048900,2010-01-17,NA,320,NA
VM000048900,2010-01-18,NA,324,NA
VM000048900,2010-01-19,NA,NA,NA
VM000048900,2010-01-20,231,240,210
VM000048900,2010-01-21,NA,326,230
VM000048900,2010-01-22,NA,NA,NA
VM000048900,2010-01-23,NA,332,NA
VM000048900,2010-01-24,NA,330,NA
VM000048900,2010-01-25,NA,334,222
VM000048900,2010-01-26,NA,314,NA
VM000048900,2010-01-27,NA,336,NA
VM000048900,2010-01-28,NA,324,212
VM000048900,2010-01-29,NA,334,223
VM000048900,2010-01-30,NA,324,NA
VM000048900,2010-01-31,NA,NA,NA
VM000048900,2010-02-01,NA,342,224
VM000048900,2010-02-02,NA,NA,NA
VM000048900,2010-02-03,NA,324,NA
VM000048900,2010-02-04,NA,347,NA
VM000048900,2010-02-05,NA,350,210
VM000048900,2010-02-06,NA,NA,NA
VM000048900,2010-02-07,NA,NA,224
VM000048900,2010-02-08,NA,340,NA
VM000048900,2010-02-09,NA,335,NA
VM000048900,2010-02-10,NA,334,NA
VM000048900,2010-02-11,NA,346,210
VM000048900,2010-02-12,NA,NA,234
VM000048900,2010-02-13,NA,364,NA
VM000048900,2010-02-14,NA,344,220
VM000048900,2010-02-15,NA,364,NA
VM000048900,2010-02-16,NA,360,NA
VM000048900,2010-02-17,NA,352,210
VM000048900,2010-02-18,NA,356,223
VM000048900,2010-02-19,NA,343,NA
VM000048900,2010-02-20,NA,344,240
VM000048900,2010-02-21,NA,324,240
VM000048900,2010-02-22,NA,336,250
VM000048900,2010-02-23,NA,334,NA
VM000048900,2010-02-24,NA,330,NA
VM000048900,2010-02-25,NA,342,220
VM000048900,2010-02-26,NA,348,236
VM000048900,2010-02-27,NA,342,253
VM000048900,2010-02-28,NA,340,NA
VM000048900,2010-03-01,NA,338,NA
VM000048900,2010-03-02,NA,340,240
VM000048900,2010-03-03,NA,333,NA
VM000048900,2010-03-04,NA,330,242
VM000048900,2010-03-05,NA,332,NA
VM000048900,2010-03-06,NA,336,NA
VM000048900,2010-03-07,NA,334,244
VM000048900,2010-03-08,NA,342,250
VM000048900,2010-03-09,NA,342,NA
VM000048900,2010-03-10,NA,350,NA
VM000048900,2010-03-11,NA,354,NA
VM000048900,2010-03-12,NA,364,234
VM000048900,2010-03-13,NA,352,NA
VM000048900,2010-03-14,NA,354,NA
VM000048900,2010-03-15,NA,346,254
VM000048900,2010-03-16,NA,NA,NA
VM000048900,2010-03-17,NA,NA,NA
VM000048900,2010-03-18,NA,364,NA
VM000048900,2010-03-19,NA,364,230
VM000048900,2010-03-20,NA,353,251
VM000048900,2010-03-21,NA,350,NA
VM000048900,2010-03-22,NA,354,260
VM000048900,2010-03-23,NA,352,NA
VM000048900,2010-03-24,NA,NA,260
VM000048900,2010-03-25,NA,360,260
VM000048900,2010-03-26,NA,350,NA
VM000048900,2010-03-27,109,363,NA
VM000048900,2010-03-28,NA,365,234
VM000048900,2010-03-29,NA,354,NA
VM000048900,2010-03-30,NA,350,260
VM000048900,2010-03-31,NA,334,NA
VM000048900,2010-04-01,NA,345,255
VM000048900,2010-04-02,NA,344,NA
VM000048900,2010-04-03,NA,354,260
VM000048900,2010-04-04,NA,360,262
VM000048900,2010-04-05,NA,360,NA
VM000048900,2010-04-06,NA,342,270
VM000048900,2010-04-07,NA,360,NA
VM000048900,2010-04-08,NA,NA,NA
VM000048900,2010-04-09,NA,NA,260
VM000048900,2010-04-10,NA,NA,NA
VM000048900,2010-04-11,NA,357,270
VM000048900,2010-04-12,NA,330,NA
VM000048900,2010-04-13,NA,352,NA
VM000048900,2010-04-14,NA,362,260
VM000048900,2010-04-15,NA,360,263
VM000048900,2010-04-16,NA,360,NA
VM000048900,2010-04-17,NA,350,NA
VM000048900,2010-04-18,NA,363,252
VM000048900,2010-04-19,NA,356,NA
VM000048900,2010-04-20,NA,350,243
VM000048900,2010-04-21,NA,352,270
VM000048900,2010-04-22,NA,362,NA
VM000048900,2010-04-23,NA,357,NA
VM000048900,2010-04-24,NA,365,270
VM000048900,2010-04-25,NA,370,270
VM000048900,2010-04-26,NA,374,NA
VM000048900,2010-04-27,NA,347,NA
VM000048900,2010-04-28,NA,360,272
VM000048900,2010-04-29,NA,360,NA
VM000048900,2010-04-30,NA,350,NA
VM000048900,2010-05-01,NA,364,243
VM000048900,2010-05-02,NA,330,NA
VM000048900,2010-05-03,NA,350,270
VM000048900,2010-05-04,NA,344,NA
VM000048900,2010-05-05,NA,366,NA
VM000048900,2010-05-06,NA,360,NA
VM000048900,2010-05-07,NA,376,260
VM000048900,2010-05-08,NA,370,280
VM000048900,2010-05-09,NA,367,NA
VM000048900,2010-05-10,NA,370,NA
VM000048900,2010-05-11,NA,362,260
VM000048900,2010-05-12,NA,NA,280
VM000048900,2010-05-13,NA,376,NA
VM000048900,2010-05-14,NA,374,NA
VM000048900,2010-05-15,NA,360,258
VM000048900,2010-05-16,NA,364,NA
VM000048900,2010-05-17,NA,374,280
VM000048900,2010-05-18,NA,376,NA
VM000048900,2010-05-19,NA,364,NA
VM000048900,2010-05-20,NA,368,264
VM000048900,2010-05-21,NA,364,NA
VM000048900,2010-05-22,NA,360,NA
VM000048900,2010-05-23,NA,364,253
VM000048900,2010-05-24,NA,372,276
VM000048900,2010-05-25,NA,364,280
VM000048900,2010-05-26,NA,347,NA
VM000048900,2010-05-27,NA,360,NA
VM000048900,2010-05-28,NA,NA,260
VM000048900,2010-05-29,NA,NA,NA
VM000048900,2010-05-30,NA,364,NA
VM000048900,2010-05-31,NA,370,NA
VM000048900,2010-06-01,NA,375,260
VM000048900,2010-06-02,NA,354,NA
