id,date,prcp,tmax,tmin
VMM00048840,2010-01-01,10,192,174
VMM00048840,2010-01-02,5,205,NA
VMM00048840,2010-01-03,5,NA,170
VMM00048840,2010-01-04,0,234,186
VMM00048840,2010-01-05,0,262,200
VMM00048840,2010-01-06,15,228,NA
VMM00048840,2010-01-07,18,NA,NA
VMM00048840,2010-01-08,5,176,140
VMM00048840,2010-01-09,0,222,146
VMM00048840,2010-01-10,0,251,NA
VMM00048840,2010-01-11,3,NA,NA
VMM00048840,2010-01-12,30,140,130
VMM00048840,2010-01-13,0,153,133
VMM00048840,2010-01-14,0,176,132
VMM00048840,2010-01-15,0,204,144
VMM00048840,2010-01-16,28,166,NA
VMM00048840,2010-01-17,0,208,134
VMM00048840,2010-01-18,0,225,142
VMM00048840,2010-01-19,0,222,140
VMM00048840,2010-01-20,0,220,187
VMM00048840,2010-01-21,160,220,198
VMM00048840,2010-01-22,3,225,NA
VMM00048840,2010-01-23,439,155,145
VMM00048840,2010-01-24,0,180,144
VMM00048840,2010-01-25,5,180,NA
VMM00048840,2010-01-26,5,175,155
VMM00048840,2010-01-27,0,230,150
VMM00048840,2010-01-28,0,236,180
VMM00048840,2010-01-29,0,237,196
VMM00048840,2010-01-30,0,258,202
VMM00048840,2010-01-31,0,261,210
VMM00048840,2010-02-01,0,255,215
VMM00048840,2010-02-02,NA,NA,217
VMM00048840,2010-02-03,0,276,223
VMM00048840,2010-02-04,3,256,NA
VMM00048840,2010-02-05,0,253,227
VMM00048840,2010-02-06,15,267,228
VMM00048840,2010-02-07,0,275,231
VMM00048840,2010-02-08,0,267,225
VMM00048840,2010-02-09,0,276,NA
VMM00048840,2010-02-10,0,305,210
VMM00048840,2010-02-11,0,285,214
VMM00048840,2010-02-12,0,226,NA
VMM00048840,2010-02-13,13,176,154
VMM00048840,2010-02-14,5,186,NA
VMM00048840,2010-02-15,8,158,NA
VMM00048840,2010-02-16,18,139,118
VMM00048840,2010-02-17,5,140,115
VMM00048840,2010-02-18,0,142,115
VMM00048840,2010-02-19,0,155,117
VMM00048840,2010-02-20,0,185,138
VMM00048840,2010-02-21,0,NA,145
VMM00048840,2010-02-22,3,200,163
VMM00048840,2010-02-23,3,230,178
VMM00048840,2010-02-24,0,267,194
VMM00048840,2010-02-25,0,341,189
VMM00048840,2010-02-26,0,340,201
VMM00048840,2010-02-27,0,316,197
VMM00048840,2010-02-28,0,256,219
VMM00048840,2010-03-01,0,292,228
VMM00048840,2010-03-02,0,287,NA
VMM00048840,2010-03-03,0,290,216
VMM00048840,2010-03-04,0,272,214
VMM00048840,2010-03-05,0,294,NA
VMM00048840,2010-03-06,0,310,NA
VMM00048840,2010-03-07,0,213,NA
VMM00048840,2010-03-08,15,190,NA
VMM00048840,2010-03-09,8,160,140
VMM00048840,2010-03-10,0,176,137
VMM00048840,2010-03-11,0,196,NA
VMM00048840,2010-03-12,0,225,140
VMM00048840,2010-03-13,0,245,181
VMM00048840,2010-03-14,0,272,200
VMM00048840,2010-03-15,NA,264,215
VMM00048840,2010-03-16,NA,NA,NA
VMM00048840,2010-03-17,0,235,177
VMM00048840,2010-03-18,0,240,NA
VMM00048840,2010-03-19,0,253,182
VMM00048840,2010-03-20,0,NA,205
VMM00048840,2010-03-21,10,228,219
VMM00048840,2010-03-22,5,265,216
VMM00048840,2010-03-23,0,275,231
VMM00048840,2010-03-24,0,309,NA
VMM00048840,2010-03-25,10,212,NA
VMM00048840,2010-03-26,0,211,NA
VMM00048840,2010-03-27,0,207,148
VMM00048840,2010-03-28,0,230,180
VMM00048840,2010-03-29,0,256,195
VMM00048840,2010-03-30,13,252,200
VMM00048840,2010-03-31,0,257,214
VMM00048840,2010-04-01,0,284,227
VMM00048840,2010-04-02,13,NA,NA
