id,date,prcp,tmax,tmin
VMW00041010,2010-01-01,0,292,225
VMW00041010,2010-01-02,0,285,229
VMW00041010,2010-01-03,0,294,230
VMW00041010,2010-01-04,0,288,NA
VMW00041010,2010-01-05,0,286,213
VMW00041010,2010-01-06,0,287,214
VMW00041010,2010-01-07,0,288,NA
VMW00041010,2010-01-08,0,290,220
VMW00041010,2010-01-09,15,288,223
VMW00041010,2010-01-10,0,284,204
VMW00041010,2010-01-11,0,282,216
VMW00041010,2010-01-12,0,288,215
VMW00041010,2010-01-13,41,267,NA
VMW00041010,2010-01-14,30,277,NA
VMW00041010,2010-01-15,15,276,216
VMW00041010,2010-01-16,10,275,NA
VMW00041010,2010-01-17,51,255,214
VMW00041010,2010-01-18,51,251,211
VMW00041010,2010-01-19,511,248,215
VMW00041010,2010-01-20,231,288,NA
VMW00041010,2010-01-21,8,305,229
VMW00041010,2010-01-22,5,283,NA
VMW00041010,2010-01-23,8,283,NA
VMW00041010,2010-01-24,15,285,223
VMW00041010,2010-01-25,0,283,233
VMW00041010,2010-01-26,0,261,NA
VMW00041010,2010-01-27,0,284,214
VMW00041010,2010-01-28,0,287,231
VMW00041010,2010-01-29,3,279,228
VMW00041010,2010-01-30,0,NA,NA
VMW00041010,2010-01-31,0,281,212
VMW00041010,2010-02-01,0,294,227
VMW00041010,2010-02-02,NA,NA,230
VMW00041010,2010-02-03,0,294,NA
VMW00041010,2010-02-04,0,295,218
VMW00041010,2010-02-05,0,295,224
VMW00041010,2010-02-06,0,303,NA
VMW00041010,2010-02-07,0,302,224
VMW00041010,2010-02-08,0,304,228
VMW00041010,2010-02-09,0,308,214
VMW00041010,2010-02-10,0,311,222
VMW00041010,2010-02-11,0,314,218
VMW00041010,2010-02-12,0,309,225
VMW00041010,2010-02-13,5,294,NA
VMW00041010,2010-02-14,0,306,NA
VMW00041010,2010-02-15,0,304,220
VMW00041010,2010-02-16,0,294,233
VMW00041010,2010-02-17,0,302,230
VMW00041010,2010-02-18,0,283,NA
VMW00041010,2010-02-19,5,264,228
VMW00041010,2010-02-20,0,294,233
VMW00041010,2010-02-21,0,297,NA
VMW00041010,2010-02-22,0,304,230
VMW00041010,2010-02-23,0,312,238
VMW00041010,2010-02-24,0,305,238
VMW00041010,2010-02-25,0,303,NA
VMW00041010,2010-02-26,0,308,239
VMW00041010,2010-02-27,0,308,241
VMW00041010,2010-02-28,0,308,NA
VMW00041010,2010-03-01,0,306,239
VMW00041010,2010-03-02,0,306,259
VMW00041010,2010-03-03,0,303,NA
VMW00041010,2010-03-04,0,302,248
VMW00041010,2010-03-05,0,302,NA
VMW00041010,2010-03-06,0,316,233
VMW00041010,2010-03-07,0,302,239
VMW00041010,2010-03-08,0,312,NA
VMW00041010,2010-03-09,0,NA,NA
VMW00041010,2010-03-10,0,NA,NA
VMW00041010,2010-03-11,0,273,NA
VMW00041010,2010-03-12,0,287,213
VMW00041010,2010-03-13,0,309,228
VMW00041010,2010-03-14,0,315,NA
VMW00041010,2010-03-15,0,307,218
VMW00041010,2010-03-16,NA,NA,NA
VMW00041010,2010-03-17,23,304,259
VMW00041010,2010-03-18,0,303,NA
VMW00041010,2010-03-19,0,304,NA
VMW00041010,2010-03-20,0,303,227
VMW00041010,2010-03-21,0,307,NA
VMW00041010,2010-03-22,0,307,231
VMW00041010,2010-03-23,0,323,249
VMW00041010,2010-03-24,0,323,258
VMW00041010,2010-03-25,0,317,NA
VMW00041010,2010-03-26,94,283,NA
VMW00041010,2010-03-27,8,292,232
VMW00041010,2010-03-28,38,294,NA
VMW00041010,2010-03-29,99,262,229
VMW00041010,2010-03-30,0,292,229
VMW00041010,2010-03-31,0,301,240
VMW00041010,2010-04-01,0,310,247
VMW00041010,2010-04-02,0,317,255
VMW00041010,2010-04-03,0,305,NA
VMW00041010,2010-04-04,0,310,248
VMW00041010,2010-04-05,0,315,253
VMW00041010,2010-04-06,0,316,NA
VMW00041010,2010-04-07,0,317,251
VMW00041010,2010-04-08,0,326,253
VMW00041010,2010-04-09,0,316,NA
VMW00041010,2010-04-10,0,317,244
VMW00041010,2010-04-11,0,322,253
VMW00041010,2010-04-12,0,318,NA
VMW00041010,2010-04-13,0,320,252
VMW00041010,2010-04-14,0,324,251
VMW00041010,2010-04-15,53,326,251
VMW00041010,2010-04-16,803,309,243
VMW00041010,2010-04-17,168,306,253
VMW00041010,2010-04-18,0,315,252
VMW00041010,2010-04-19,0,319,260
VMW00041010,2010-04-20,0,323,258
VMW00041010,2010-04-21,0,325,256
VMW00041010,2010-04-22,0,328,272
VMW00041010,2010-04-23,0,325,NA
VMW00041010,2010-04-24,0,315,253
VMW00041010,2010-04-25,0,316,256
VMW00041010,2010-04-26,0,320,258
VMW00041010,2010-04-27,0,315,255
VMW00041010,2010-04-28,0,325,267
VMW00041010,2010-04-29,0,334,264
VMW00041010,2010-04-30,43,324,NA
VMW00041010,2010-05-01,5,314,NA
VMW00041010,2010-05-02,0,313,262
VMW00041010,2010-05-03,15,313,NA
VMW00041010,2010-05-04,104,326,261
VMW00041010,2010-05-05,0,332,266
VMW00041010,2010-05-06,0,335,NA
VMW00041010,2010-05-07,0,334,265
VMW00041010,2010-05-08,0,334,273
VMW00041010,2010-05-09,0,344,276
VMW00041010,2010-05-10,0,335,272
VMW00041010,2010-05-11,0,349,273
VMW00041010,2010-05-12,10,333,NA
VMW00041010,2010-05-13,0,335,272
VMW00041010,2010-05-14,0,346,274
VMW00041010,2010-05-15,0,334,272
VMW00041010,2010-05-16,0,335,279
VMW00041010,2010-05-17,0,337,271
VMW00041010,2010-05-18,0,340,272
VMW00041010,2010-05-19,0,343,273
VMW00041010,2010-05-20,0,343,272
VMW00041010,2010-05-21,0,344,NA
VMW00041010,2010-05-22,353,348,NA
VMW00041010,2010-05-23,0,347,264
VMW00041010,2010-05-24,0,354,280
VMW00041010,2010-05-25,0,324,NA
VMW00041010,2010-05-26,18,328,NA
VMW00041010,2010-05-27,3,341,266
VMW00041010,2010-05-28,NA,NA,NA
VMW00041010,2010-05-29,NA,NA,NA
VMW00041010,2010-05-30,0,334,262
VMW00041010,2010-05-31,0,340,NA
VMW00041010,2010-06-01,0,343,268
VMW00041010,2010-06-02,10,347,NA
VMW00041010,2010-06-03,0,339,265
VMW00041010,2010-06-04,0,332,NA
VMW00041010,2010-06-05,66,313,NA
VMW00041010,2010-06-06,23,324,260
VMW00041010,2010-06-07,0,324,265
VMW00041010,2010-06-08,0,326,NA
VMW00041010,2010-06-09,0,331,258
VMW00041010,2010-06-10,0,335,NA
VMW00041010,2010-06-11,0,334,260
VMW00041010,2010-06-12,0,338,258
VMW00041010,2010-06-13,0,347,274
VMW00041010,2010-06-14,0,344,271
VMW00041010,2010-06-15,0,347,NA
VMW00041010,2010-06-16,0,346,260
VMW00041010,2010-06-17,0,344,272
VMW00041010,2010-06-18,0,342,277
VMW00041010,2010-06-19,0,334,277
VMW00041010,2010-06-20,0,342,271
VMW00041010,2010-06-21,0,324,278
VMW00041010,2010-06-22,0,335,271
VMW00041010,2010-06-23,0,335,NA
VMW00041010,2010-06-24,0,344,268
VMW00041010,2010-06-25,0,350,272
VMW00041010,2010-06-26,0,350,272
VMW00041010,2010-06-27,0,348,280
VMW00041010,2010-06-28,3,344,NA
VMW00041010,2010-06-29,0,345,257
VMW00041010,2010-06-30,0,338,NA
VMW00041010,2010-07-01,51,294,248
VMW00041010,2010-07-02,0,324,256
VMW00041010,2010-07-03,0,334,NA
VMW00041010,2010-07-04,10,330,NA
VMW00041010,2010-07-05,137,331,NA
VMW00041010,2010-07-06,0,348,238
VMW00041010,2010-07-07,0,335,NA
VMW00041010,2010-07-08,0,335,249
VMW00041010,2010-07-09,0,333,259
VMW00041010,2010-07-10,0,339,250
VMW00041010,2010-07-11,0,342,252
VMW00041010,2010-07-12,8,337,NA
VMW00041010,2010-07-13,0,339,257
VMW00041010,2010-07-14,0,333,250
VMW00041010,2010-07-15,0,326,260
VMW00041010,2010-07-16,0,331,272
VMW00041010,2010-07-17,0,344,NA
VMW00041010,2010-07-18,0,334,260
VMW00041010,2010-07-19,0,343,259
VMW00041010,2010-07-20,30,342,NA
VMW00041010,2010-07-21,0,339,249
VMW00041010,2010-07-22,0,338,260
VMW00041010,2010-07-23,0,335,NA
VMW00041010,2010-07-24,0,318,265
VMW00041010,2010-07-25,175,281,NA
VMW00041010,2010-07-26,175,324,247
VMW00041010,2010-07-27,0,321,256
VMW00041010,2010-07-28,5,338,NA
VMW00041010,2010-07-29,0,323,250
VMW00041010,2010-07-30,0,333,NA
VMW00041010,2010-07-31,8,320,258
VMW00041010,2010-08-01,0,311,256
VMW00041010,2010-08-02,0,330,255
VMW00041010,2010-08-03,0,331,254
VMW00041010,2010-08-04,0,340,262
VMW00041010,2010-08-05,0,350,264
VMW00041010,2010-08-06,5,329,NA
VMW00041010,2010-08-07,0,324,267
VMW00041010,2010-08-08,23,331,NA
VMW00041010,2010-08-09,5,322,252
VMW00041010,2010-08-10,109,339,258
VMW00041010,2010-08-11,0,322,266
VMW00041010,2010-08-12,0,326,258
VMW00041010,2010-08-13,0,326,251
VMW00041010,2010-08-14,0,322,258
VMW00041010,2010-08-15,0,327,256
VMW00041010,2010-08-16,0,328,NA
VMW00041010,2010-08-17,48,322,248
VMW00041010,2010-08-18,0,319,259
VMW00041010,2010-08-19,183,281,NA
VMW00041010,2010-08-20,15,310,248
VMW00041010,2010-08-21,28,315,248
VMW00041010,2010-08-22,0,300,250
VMW00041010,2010-08-23,0,311,261
VMW00041010,2010-08-24,0,350,260
VMW00041010,2010-08-25,0,332,255
VMW00041010,2010-08-26,0,333,260
VMW00041010,2010-08-27,13,339,262
VMW00041010,2010-08-28,165,326,260
VMW00041010,2010-08-29,18,321,259
VMW00041010,2010-08-30,15,328,258
VMW00041010,2010-08-31,0,332,259
VMW00041010,2010-09-01,0,323,260
VMW00041010,2010-09-02,109,325,NA
VMW00041010,2010-09-03,0,317,NA
VMW00041010,2010-09-04,269,324,247
VMW00041010,2010-09-05,3,335,258
VMW00041010,2010-09-06,0,325,NA
VMW00041010,2010-09-07,0,331,260
VMW00041010,2010-09-08,0,323,261
VMW00041010,2010-09-09,147,332,NA
VMW00041010,2010-09-10,0,322,246
VMW00041010,2010-09-11,0,324,241
VMW00041010,2010-09-12,0,324,252
VMW00041010,2010-09-13,0,326,NA
VMW00041010,2010-09-14,43,324,252
VMW00041010,2010-09-15,0,315,254
VMW00041010,2010-09-16,0,305,NA
VMW00041010,2010-09-17,419,271,240
VMW00041010,2010-09-18,0,314,242
VMW00041010,2010-09-19,0,315,249
VMW00041010,2010-09-20,94,326,NA
VMW00041010,2010-09-21,0,325,245
VMW00041010,2010-09-22,0,324,255
VMW00041010,2010-09-23,0,323,258
VMW00041010,2010-09-24,0,318,258
VMW00041010,2010-09-25,5,318,258
VMW00041010,2010-09-26,0,320,260
VMW00041010,2010-09-27,0,324,256
VMW00041010,2010-09-28,0,319,NA
VMW00041010,2010-09-29,38,311,258
VMW00041010,2010-09-30,198,290,NA
VMW00041010,2010-10-01,391,252,244
VMW00041010,2010-10-02,10,280,247
VMW00041010,2010-10-03,107,309,248
VMW00041010,2010-10-04,71,285,249
VMW00041010,2010-10-05,0,311,250
VMW00041010,2010-10-06,0,308,257
VMW00041010,2010-10-07,0,318,254
VMW00041010,2010-10-08,NA,NA,NA
VMW00041010,2010-10-09,NA,307,245
VMW00041010,2010-10-10,15,294,246
VMW00041010,2010-10-11,267,303,245
VMW00041010,2010-10-12,518,296,NA
VMW00041010,2010-10-13,127,309,241
VMW00041010,2010-10-14,673,281,240
VMW00041010,2010-10-15,18,284,247
VMW00041010,2010-10-16,0,311,246
VMW00041010,2010-10-17,0,307,256
VMW00041010,2010-10-18,0,313,248
VMW00041010,2010-10-19,0,297,NA
VMW00041010,2010-10-20,0,310,247
VMW00041010,2010-10-21,8,287,NA
VMW00041010,2010-10-22,0,298,239
VMW00041010,2010-10-23,3,296,247
VMW00041010,2010-10-24,0,297,246
VMW00041010,2010-10-25,0,302,NA
VMW00041010,2010-10-26,0,315,245
VMW00041010,2010-10-27,18,308,NA
VMW00041010,2010-10-28,1115,267,234
VMW00041010,2010-10-29,3,284,254
VMW00041010,2010-10-30,3635,240,NA
VMW00041010,2010-10-31,1638,253,224
VMW00041010,2010-11-01,1379,267,229
VMW00041010,2010-11-02,2690,256,232
VMW00041010,2010-11-03,782,238,NA
VMW00041010,2010-11-04,107,260,226
VMW00041010,2010-11-05,0,290,230
VMW00041010,2010-11-06,0,297,244
VMW00041010,2010-11-07,5,284,NA
VMW00041010,2010-11-08,503,246,NA
VMW00041010,2010-11-09,264,256,228
VMW00041010,2010-11-10,0,287,241
VMW00041010,2010-11-11,0,288,239
VMW00041010,2010-11-12,15,287,NA
VMW00041010,2010-11-13,5,295,238
VMW00041010,2010-11-14,0,297,248
VMW00041010,2010-11-15,0,306,NA
VMW00041010,2010-11-16,8,300,NA
VMW00041010,2010-11-17,239,267,NA
VMW00041010,2010-11-18,610,261,NA
VMW00041010,2010-11-19,1250,239,NA
VMW00041010,2010-11-20,668,235,218
VMW00041010,2010-11-21,5,272,225
VMW00041010,2010-11-22,0,290,240
VMW00041010,2010-11-23,71,273,NA
VMW00041010,2010-11-24,0,288,227
VMW00041010,2010-11-25,0,288,230
VMW00041010,2010-11-26,8,254,NA
VMW00041010,2010-11-27,0,270,226
VMW00041010,2010-11-28,28,294,NA
VMW00041010,2010-11-29,439,272,236
VMW00041010,2010-11-30,343,268,227
VMW00041010,2010-12-01,559,277,229
VMW00041010,2010-12-02,3,274,247
VMW00041010,2010-12-03,43,270,NA
VMW00041010,2010-12-04,43,271,NA
VMW00041010,2010-12-05,828,263,233
VMW00041010,2010-12-06,76,267,238
