id,date,prcp,tmax,tmin
WZ004455110,2010-01-01,NA,NA,NA
WZ004455110,2010-01-02,NA,NA,NA
WZ004455110,2010-01-03,NA,NA,NA
WZ004455110,2010-01-04,NA,NA,NA
WZ004455110,2010-01-05,282,NA,166
WZ004455110,2010-01-06,0,NA,NA
WZ004455110,2010-01-07,NA,NA,NA
WZ004455110,2010-01-08,NA,NA,190
WZ004455110,2010-01-09,NA,294,190
WZ004455110,2010-01-10,NA,294,160
WZ004455110,2010-01-11,NA,NA,NA
WZ004455110,2010-01-12,NA,305,195
WZ004455110,2010-01-13,3,294,194
WZ004455110,2010-01-14,0,NA,200
WZ004455110,2010-01-15,NA,290,NA
WZ004455110,2010-01-16,NA,NA,NA
WZ004455110,2010-01-17,NA,NA,NA
WZ004455110,2010-01-18,NA,282,194
WZ004455110,2010-01-19,NA,NA,NA
WZ004455110,2010-01-20,61,212,NA
WZ004455110,2010-01-21,30,NA,188
WZ004455110,2010-01-22,0,NA,195
WZ004455110,2010-01-23,NA,NA,NA
WZ004455110,2010-01-24,231,302,200
WZ004455110,2010-01-25,0,NA,NA
WZ004455110,2010-01-26,3,303,225
WZ004455110,2010-01-27,991,284,200
WZ004455110,2010-01-28,NA,NA,NA
WZ004455110,2010-01-29,221,245,NA
WZ004455110,2010-01-30,18,NA,NA
WZ004455110,2010-01-31,0,NA,184
WZ004455110,2010-02-01,NA,315,215
WZ004455110,2010-02-02,221,250,NA
WZ004455110,2010-02-03,0,NA,NA
WZ004455110,2010-02-04,10,NA,195
WZ004455110,2010-02-05,109,293,200
WZ004455110,2010-02-06,0,NA,202
WZ004455110,2010-02-07,NA,NA,186
WZ004455110,2010-02-08,NA,319,NA
WZ004455110,2010-02-09,NA,295,195
WZ004455110,2010-02-10,NA,NA,190
WZ004455110,2010-02-11,NA,295,190
WZ004455110,2010-02-12,NA,NA,190
WZ004455110,2010-02-13,NA,330,215
WZ004455110,2010-02-14,320,NA,NA
WZ004455110,2010-02-15,10,306,176
WZ004455110,2010-02-16,0,NA,191
WZ004455110,2010-02-17,NA,330,NA
WZ004455110,2010-02-18,180,250,NA
WZ004455110,2010-02-19,10,NA,190
WZ004455110,2010-02-20,0,299,199
WZ004455110,2010-02-21,NA,NA,195
WZ004455110,2010-02-22,NA,NA,NA
WZ004455110,2010-02-23,NA,300,205
WZ004455110,2010-02-24,NA,297,184
WZ004455110,2010-02-25,NA,295,195
WZ004455110,2010-02-26,NA,250,200
WZ004455110,2010-02-27,170,NA,NA
WZ004455110,2010-02-28,0,NA,NA
WZ004455110,2010-03-01,NA,NA,165
WZ004455110,2010-03-02,NA,285,175
WZ004455110,2010-03-03,10,223,NA
WZ004455110,2010-03-04,10,NA,176
WZ004455110,2010-03-05,0,260,192
WZ004455110,2010-03-06,NA,NA,NA
WZ004455110,2010-03-07,NA,275,170
WZ004455110,2010-03-08,NA,284,174
WZ004455110,2010-03-09,NA,NA,185
WZ004455110,2010-03-10,NA,300,205
WZ004455110,2010-03-11,NA,NA,205
WZ004455110,2010-03-12,NA,NA,210
WZ004455110,2010-03-13,NA,331,215
WZ004455110,2010-03-14,NA,280,NA
WZ004455110,2010-03-15,NA,285,NA
WZ004455110,2010-03-16,NA,292,NA
WZ004455110,2010-03-17,NA,291,NA
WZ004455110,2010-03-18,10,295,175
WZ004455110,2010-03-19,0,NA,NA
WZ004455110,2010-03-20,NA,NA,NA
WZ004455110,2010-03-21,269,NA,NA
WZ004455110,2010-03-22,3,NA,194
WZ004455110,2010-03-23,0,280,180
WZ004455110,2010-03-24,NA,285,196
WZ004455110,2010-03-25,10,NA,186
WZ004455110,2010-03-26,0,320,205
WZ004455110,2010-03-27,NA,NA,220
WZ004455110,2010-03-28,NA,NA,NA
WZ004455110,2010-03-29,NA,270,NA
WZ004455110,2010-03-30,NA,NA,190
WZ004455110,2010-03-31,399,335,195
WZ004455110,2010-04-01,0,NA,200
WZ004455110,2010-04-02,152,284,201
WZ004455110,2010-04-03,51,NA,200
WZ004455110,2010-04-04,0,372,195
WZ004455110,2010-04-05,538,272,199
WZ004455110,2010-04-06,99,273,198
WZ004455110,2010-04-07,0,NA,NA
WZ004455110,2010-04-08,10,275,200
WZ004455110,2010-04-09,30,NA,NA
WZ004455110,2010-04-10,0,295,NA
WZ004455110,2010-04-11,NA,NA,NA
WZ004455110,2010-04-12,NA,NA,NA
