id,date,prcp,tmax,tmin
ZA000067475,2013-05-01,NA,NA,NA
ZA000067475,2013-05-02,NA,NA,NA
ZA000067475,2013-05-03,NA,NA,NA
ZA000067475,2013-05-04,NA,NA,NA
ZA000067475,2013-05-05,NA,NA,NA
ZA000067475,2013-05-06,NA,NA,NA
ZA000067475,2013-05-07,NA,NA,NA
ZA000067475,2013-05-08,NA,NA,NA
ZA000067475,2013-05-09,NA,NA,NA
ZA000067475,2013-05-10,NA,NA,NA
ZA000067475,2013-05-11,NA,NA,NA
ZA000067475,2013-05-12,NA,NA,NA
ZA000067475,2013-05-13,NA,NA,NA
ZA000067475,2013-05-14,NA,NA,NA
ZA000067475,2013-05-15,NA,NA,NA
ZA000067475,2013-05-16,NA,NA,NA
ZA000067475,2013-05-17,NA,NA,NA
ZA000067475,2013-05-18,NA,NA,NA
ZA000067475,2013-05-19,NA,NA,NA
ZA000067475,2013-05-20,NA,NA,NA
ZA000067475,2013-05-21,NA,NA,NA
ZA000067475,2013-05-22,NA,NA,NA
ZA000067475,2013-05-23,NA,NA,NA
ZA000067475,2013-05-24,NA,NA,NA
ZA000067475,2013-05-25,NA,NA,NA
ZA000067475,2013-05-26,NA,NA,NA
ZA000067475,2013-05-27,NA,NA,NA
ZA000067475,2013-05-28,NA,NA,NA
ZA000067475,2013-05-29,NA,NA,NA
ZA000067475,2013-05-30,NA,278,117
ZA000067475,2013-05-31,NA,NA,NA
ZA000067475,2013-07-01,NA,NA,NA
ZA000067475,2013-07-02,NA,NA,NA
ZA000067475,2013-07-03,NA,NA,NA
ZA000067475,2013-07-04,NA,NA,NA
ZA000067475,2013-07-05,NA,NA,NA
ZA000067475,2013-07-06,NA,NA,NA
ZA000067475,2013-07-07,NA,NA,NA
ZA000067475,2013-07-08,NA,NA,NA
ZA000067475,2013-07-09,NA,NA,NA
ZA000067475,2013-07-10,NA,NA,NA
ZA000067475,2013-07-11,NA,240,95
ZA000067475,2013-07-12,NA,NA,NA
ZA000067475,2013-07-13,NA,NA,NA
ZA000067475,2013-07-14,NA,NA,NA
ZA000067475,2013-07-15,NA,NA,NA
ZA000067475,2013-07-16,NA,NA,NA
ZA000067475,2013-07-17,NA,NA,NA
ZA000067475,2013-07-18,NA,NA,NA
ZA000067475,2013-07-19,NA,NA,NA
ZA000067475,2013-07-20,NA,NA,NA
ZA000067475,2013-07-21,NA,NA,NA
ZA000067475,2013-07-22,NA,NA,NA
ZA000067475,2013-07-23,NA,NA,NA
ZA000067475,2013-07-24,NA,NA,NA
ZA000067475,2013-07-25,NA,NA,NA
ZA000067475,2013-07-26,NA,NA,NA
ZA000067475,2013-07-27,NA,NA,NA
ZA000067475,2013-07-28,NA,NA,NA
ZA000067475,2013-07-29,NA,NA,NA
ZA000067475,2013-07-30,NA,NA,NA
ZA000067475,2013-07-31,NA,NA,NA
ZA000067475,2013-08-01,NA,NA,NA
ZA000067475,2013-08-02,NA,NA,NA
ZA000067475,2013-08-03,NA,NA,NA
ZA000067475,2013-08-04,NA,NA,NA
ZA000067475,2013-08-05,NA,NA,NA
ZA000067475,2013-08-06,NA,NA,NA
ZA000067475,2013-08-07,NA,NA,NA
ZA000067475,2013-08-08,NA,NA,NA
ZA000067475,2013-08-09,NA,NA,NA
ZA000067475,2013-08-10,NA,NA,NA
ZA000067475,2013-08-11,NA,NA,NA
ZA000067475,2013-08-12,NA,NA,NA
ZA000067475,2013-08-13,NA,NA,NA
ZA000067475,2013-08-14,NA,NA,NA
ZA000067475,2013-08-15,NA,NA,NA
ZA000067475,2013-08-16,NA,NA,NA
ZA000067475,2013-08-17,NA,NA,NA
ZA000067475,2013-08-18,NA,NA,NA
ZA000067475,2013-08-19,NA,300,110
ZA000067475,2013-08-20,NA,NA,NA
ZA000067475,2013-08-21,NA,NA,NA
ZA000067475,2013-08-22,NA,NA,NA
ZA000067475,2013-08-23,NA,NA,NA
ZA000067475,2013-08-24,NA,NA,NA
ZA000067475,2013-08-25,NA,NA,NA
ZA000067475,2013-08-26,NA,NA,NA
ZA000067475,2013-08-27,NA,NA,NA
ZA000067475,2013-08-28,NA,NA,NA
ZA000067475,2013-08-29,NA,NA,NA
ZA000067475,2013-08-30,NA,NA,NA
ZA000067475,2013-08-31,NA,NA,NA
ZA000067475,2013-10-01,NA,NA,NA
ZA000067475,2013-10-02,NA,NA,NA
ZA000067475,2013-10-03,NA,NA,NA
ZA000067475,2013-10-04,NA,NA,NA
ZA000067475,2013-10-05,NA,NA,NA
ZA000067475,2013-10-06,NA,NA,NA
ZA000067475,2013-10-07,NA,NA,NA
ZA000067475,2013-10-08,NA,NA,NA
ZA000067475,2013-10-09,NA,NA,NA
ZA000067475,2013-10-10,NA,NA,NA
ZA000067475,2013-10-11,NA,315,156
ZA000067475,2013-10-12,NA,NA,NA
ZA000067475,2013-10-13,NA,NA,NA
ZA000067475,2013-10-14,NA,NA,NA
ZA000067475,2013-10-15,NA,NA,NA
ZA000067475,2013-10-16,NA,NA,NA
ZA000067475,2013-10-17,NA,312,146
ZA000067475,2013-10-18,NA,NA,NA
ZA000067475,2013-10-19,NA,NA,NA
ZA000067475,2013-10-20,NA,NA,NA
ZA000067475,2013-10-21,NA,NA,NA
ZA000067475,2013-10-22,NA,NA,NA
ZA000067475,2013-10-23,NA,NA,NA
ZA000067475,2013-10-24,NA,NA,NA
ZA000067475,2013-10-25,NA,NA,NA
