id,date,tmax,tmin
ZA000067581,2013-06-01,NA,NA
ZA000067581,2013-06-02,NA,NA
ZA000067581,2013-06-03,NA,NA
ZA000067581,2013-06-04,NA,NA
ZA000067581,2013-06-05,NA,NA
ZA000067581,2013-06-06,NA,NA
ZA000067581,2013-06-07,NA,NA
ZA000067581,2013-06-08,NA,NA
ZA000067581,2013-06-09,NA,NA
ZA000067581,2013-06-10,NA,NA
ZA000067581,2013-06-11,279,132
ZA000067581,2013-06-12,232,136
ZA000067581,2013-06-13,NA,NA
ZA000067581,2013-06-14,NA,NA
ZA000067581,2013-06-15,NA,NA
ZA000067581,2013-06-16,NA,NA
ZA000067581,2013-06-17,NA,NA
ZA000067581,2013-06-18,NA,NA
ZA000067581,2013-06-19,245,128
ZA000067581,2013-06-20,NA,146
ZA000067581,2013-06-21,NA,NA
ZA000067581,2013-06-22,NA,NA
ZA000067581,2013-06-23,NA,NA
ZA000067581,2013-06-24,NA,110
ZA000067581,2013-06-25,NA,NA
ZA000067581,2013-06-26,NA,NA
ZA000067581,2013-06-27,NA,NA
ZA000067581,2013-06-28,NA,NA
ZA000067581,2013-06-29,NA,NA
ZA000067581,2013-06-30,NA,NA
ZA000067581,2014-03-01,NA,NA
ZA000067581,2014-03-02,NA,NA
ZA000067581,2014-03-03,NA,NA
ZA000067581,2014-03-04,NA,NA
ZA000067581,2014-03-05,NA,NA
ZA000067581,2014-03-06,NA,NA
ZA000067581,2014-03-07,NA,NA
ZA000067581,2014-03-08,NA,NA
ZA000067581,2014-03-09,NA,NA
ZA000067581,2014-03-10,NA,NA
ZA000067581,2014-03-11,NA,155
ZA000067581,2014-03-12,NA,NA
ZA000067581,2014-03-13,NA,NA
ZA000067581,2014-03-14,NA,NA
ZA000067581,2014-03-15,NA,NA
ZA000067581,2014-03-16,NA,NA
ZA000067581,2014-03-17,NA,NA
ZA000067581,2014-03-18,NA,NA
ZA000067581,2014-03-19,NA,NA
ZA000067581,2014-03-20,NA,NA
ZA000067581,2014-03-21,NA,NA
ZA000067581,2014-03-22,NA,NA
ZA000067581,2014-03-23,NA,NA
ZA000067581,2014-03-24,NA,NA
ZA000067581,2014-03-25,NA,NA
ZA000067581,2014-03-26,NA,NA
ZA000067581,2014-03-27,NA,NA
ZA000067581,2014-03-28,NA,NA
ZA000067581,2014-03-29,NA,NA
ZA000067581,2014-03-30,NA,NA
ZA000067581,2014-03-31,NA,NA
