id,date,prcp,tmax,tmin
ZI000067983,2010-01-01,NA,NA,NA
ZI000067983,2010-01-02,NA,NA,173
ZI000067983,2010-01-03,NA,NA,NA
ZI000067983,2010-01-04,NA,NA,NA
ZI000067983,2010-01-05,0,NA,177
ZI000067983,2010-01-06,NA,NA,NA
ZI000067983,2010-01-07,NA,NA,NA
ZI000067983,2010-01-08,NA,NA,NA
ZI000067983,2010-01-09,NA,NA,NA
ZI000067983,2010-01-10,NA,NA,NA
ZI000067983,2010-01-11,NA,NA,NA
ZI000067983,2010-01-12,NA,NA,NA
ZI000067983,2010-01-13,NA,NA,NA
ZI000067983,2010-01-14,NA,NA,NA
ZI000067983,2010-01-15,NA,NA,161
ZI000067983,2010-01-16,NA,NA,NA
ZI000067983,2010-01-17,NA,NA,NA
ZI000067983,2010-01-18,NA,NA,NA
ZI000067983,2010-01-19,NA,NA,NA
ZI000067983,2010-01-20,NA,NA,NA
ZI000067983,2010-01-21,NA,NA,NA
ZI000067983,2010-01-22,NA,NA,NA
ZI000067983,2010-01-23,NA,NA,NA
ZI000067983,2010-01-24,NA,NA,NA
ZI000067983,2010-01-25,NA,NA,NA
ZI000067983,2010-01-26,NA,NA,NA
ZI000067983,2010-01-27,0,NA,NA
ZI000067983,2010-01-28,NA,NA,NA
ZI000067983,2010-01-29,NA,NA,NA
ZI000067983,2010-01-30,NA,NA,NA
ZI000067983,2010-01-31,NA,NA,NA
ZI000067983,2010-03-01,NA,226,NA
ZI000067983,2010-03-02,NA,NA,NA
ZI000067983,2010-03-03,NA,NA,NA
ZI000067983,2010-03-04,NA,NA,NA
ZI000067983,2010-03-05,NA,NA,NA
ZI000067983,2010-03-06,NA,NA,NA
ZI000067983,2010-03-07,NA,NA,NA
ZI000067983,2010-03-08,NA,NA,NA
ZI000067983,2010-03-09,NA,NA,NA
ZI000067983,2010-03-10,NA,NA,NA
ZI000067983,2010-03-11,NA,NA,NA
ZI000067983,2010-03-12,NA,295,167
ZI000067983,2010-03-13,NA,NA,176
ZI000067983,2010-03-14,NA,NA,NA
ZI000067983,2010-03-15,191,NA,161
ZI000067983,2010-03-16,NA,NA,NA
ZI000067983,2010-03-17,NA,NA,NA
ZI000067983,2010-03-18,NA,NA,NA
ZI000067983,2010-03-19,NA,NA,NA
ZI000067983,2010-03-20,NA,NA,NA
ZI000067983,2010-03-21,NA,NA,NA
ZI000067983,2010-03-22,NA,NA,NA
ZI000067983,2010-03-23,NA,NA,NA
ZI000067983,2010-03-24,NA,NA,NA
ZI000067983,2010-03-25,NA,NA,NA
ZI000067983,2010-03-26,NA,NA,NA
ZI000067983,2010-03-27,NA,NA,NA
ZI000067983,2010-03-28,NA,NA,NA
